location,_2014_enrollment_pk_12,part_time,serving_more_than_one_location
02M011 - P.S. 011 WILLIAM T. HARRIS,872,,
02M116 - P.S. 116 MARY LINDLEY MURRAY,696,,
02M282 - URBAN ASSEMBLY MAKER ACADEMY,103,,
02M416 - ELEANOR ROOSEVELT HIGH SCHOOL,541,,
02M546 - ACADEMY FOR SOFTWARE ENGINEERING,344,,
"02M303 - FACING HISTORY SCHOOL, THE",406,,
02M432 - MURRAY HILL ACADEMY,283,,
02M429 - LEGACY SCHOOL FOR INTEGRATED STUDIES,19,,
02M040 - P.S. 040 AUGUSTUS SAINT-GAUDENS,624,,
02M551 - URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,447,,
02M217 - P.S./I.S. 217 ROOSEVELT ISLAND,536,0.6,0.6
03M860 - FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,411,,
02M399 - THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,437,0.9,
02M394 - EMMA LAZARUS HIGH SCHOOL,228,,
02M655 - LIFE SCIENCES SECONDARY SCHOOL,697,,
01M063 - THE STAR ACADEMY - P.S.63,199,,
02M126 - P.S. 126 JACOB AUGUST RIIS,811,,
03M402 - THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,353,,
02M545 - HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,416,0.4,
02M580 - RICHARD R. GREEN HIGH SCHOOL OF TEACHING,566,,
02M560 - HIGH SCHOOL M560 - CITY AS SCHOOL,658,,
02M427 - MANHATTAN ACADEMY FOR ARTS & LANGUAGE,334,,
03M404 - INNOVATION DIPLOMA PLUS,202,,
03M403 - THE GLOBAL LEARNING COLLABORATIVE,496,0.9,
02M625 - HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,336,,
02M543 - NEW DESIGN HIGH SCHOOL,441,0.2,0.2
03M859 - SPECIAL MUSIC SCHOOL,231,0.6,
03M166 - P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AN,615,0.6,0.6
02M933 - CITY KNOLL MIDDLE SCHOOL,79,,
02M425 - LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,699,,
"03M492 - HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",510,,
02M059 - P.S. 059 BEEKMAN HILL INTERNATIONAL,596,,
03M243 - M.S. 243 CENTER SCHOOL,230,,
02M294 - ESSEX STREET ACADEMY,358,,
03M333 - P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,759,0.6,
02M412 - N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,587,0.6,
03M258 - COMMUNITY ACTION SCHOOL - MS 258,255,,
03M149 - P.S. 149 SOJOURNER TRUTH,287,,
"02M267 - EAST SIDE ELEMENTARY SCHOOL, PS 267",320,0.8,
03M247 - M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,197,,
02M343 - THE PECK SLIP SCHOOL,161,,
02M340 - SIXTH AVENUE ELEMENTARY SCHOOL,83,,
02M600 - THE HIGH SCHOOL OF FASHION INDUSTRIES,1770,,
02M298 - PACE HIGH SCHOOL,423,,
03M283 - MANHATTAN THEATRE LAB HIGH SCHOOL,53,,
01M134 - P.S. 134 HENRIETTA SZOLD,255,,
02M003 - P.S. 003 CHARRETTE SCHOOL,809,0.4,
"01M539 - NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH",1735,,
01M364 - EARTH SCHOOL,321,,
02M158 - P.S. 158 BAYARD TAYLOR,761,,
01M140 - P.S. 140 NATHAN STRAUS,380,,
02M400 - HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,1301,,
01M650 - CASCADES HIGH SCHOOL,230,,
02M114 - EAST SIDE MIDDLE SCHOOL,449,,
02M177 - YORKVILLE EAST MIDDLE SCHOOL,56,,
02M533 - UNION SQUARE ACADEMY FOR HEALTH SCIENCES,319,,
02M531 - REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,246,,
03M241 - STEM INSTITUTE OF MANHATTAN,100,,
02M550 - LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,407,,
02M473 - WASHINGTON IRVING YABC,254,,
01M332 - UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,86,,
03M494 - HIGH SCHOOL OF ARTS AND TECHNOLOGY,594,,
02M418 - MILLENNIUM HIGH SCHOOL,659,,
02M437 - HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,483,,
02M570 - SATELLITE ACADEMY HIGH SCHOOL,266,,
02M051 - P.S. 051 ELIAS HOWE,350,0.6,0.6
