dbn,bilingual,atr,location_type,total_gc
01M515,1.0,,HIGH SCHOOL,4.0
02M130,,,ELEMENTARY,1.0
02M413,,,SECONDARY SCHOOL,3.0
03M185,,,EARLY CHILDHOOD,0.6
02M305,,,HIGH SCHOOL,0.0
03M421,0.4,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.4
02M290,,,ELEMENTARY,1.0
03M417,,,HIGH SCHOOL,2.0
02M289,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0
01M448,2.0,,HIGH SCHOOL,2.0
01M110,,,ELEMENTARY,1.0
02M374,1.0,,HIGH SCHOOL,2.0
02M605,,,HIGH SCHOOL,0.2
02M308,,1.0,HIGH SCHOOL,2.0
02M449,,,HIGH SCHOOL,0.0
03M076,,,ELEMENTARY,1.0
03M541,,,HIGH SCHOOL,1.4
02M111,,,K-8,1.0
03M485,,,HIGH SCHOOL,7.2
02M041,,,ELEMENTARY,2.0
02M392,,,HIGH SCHOOL,2.0
02M507,,,HIGH SCHOOL,4.0
02M104,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3.9
02M896,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0
02M575,,,HIGH SCHOOL,3.6
02M077,,,ELEMENTARY,0.6
02M313,,,HIGH SCHOOL,1.2
02M312,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.0
01M696,,,HIGH SCHOOL,2.8
01M378,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0
02M347,,,K-8,0.0
02M542,1.0,,HIGH SCHOOL,3.0
02M167,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3.8
01M458,,,HIGH SCHOOL,1.0
03M505,,,HIGH SCHOOL,2.0
02M139,,,HIGH SCHOOL,1.0
01M345,1.0,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0
02M042,,,ELEMENTARY,0.0
03M163,,,ELEMENTARY,1.0
01M301,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0
02M519,,1.0,HIGH SCHOOL,0.9
01M142,,,ELEMENTARY,1.0
02M407,,,SECONDARY SCHOOL,0.0
04M012,,,K-8,1.0
02M439,,,HIGH SCHOOL,0.0
01M315,,,ELEMENTARY,0.0
02M397,,,EARLY CHILDHOOD,1.0
02M001,,,ELEMENTARY,1.0
02M131,1.0,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2.0
01M188,,,K-8,2.0
02M459,,,HIGH SCHOOL,1.0
01M019,,,ELEMENTARY,1.0
02M586,,,HIGH SCHOOL,1.0
02M376,,,HIGH SCHOOL,2.0
01M184,,,K-8,2.0
03M009,,,ELEMENTARY,1.0
03M087,,,ELEMENTARY,1.0
03M415,,,SECONDARY SCHOOL,3.0
02M438,,,HIGH SCHOOL,2.0
02M527,,,ELEMENTARY,1.0
02M198,,,ELEMENTARY,1.0
02M460,,,HIGH SCHOOL,1.0
02M489,1.0,,HIGH SCHOOL,2.0
03M862,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.6
02M296,,,HIGH SCHOOL,1.0
02M260,,,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1.0
02M520,3.0,,HIGH SCHOOL,9.0
