dbn,location,full_time,ratio_gc_only,total_gc_sw,ratio_gc_sw
02M529,02M529 - JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,4.0,169.0,4.0,169.0
03M250,03M250 - M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,,189.0,0.8,189.0
02M411,02M411 - BARUCH COLLEGE CAMPUS HIGH SCHOOL,3.0,151.0,3.0,151.0
03M180,03M180 - P.S. 180 HUGO NEWMAN,2.0,313.0,3.0,209.0
03M452,03M452 - P.S. 452,,,1.0,286.0
01M450,01M450 - EAST SIDE COMMUNITY SCHOOL,2.0,333.0,5.0,134.0
02M212,02M212 - P.S. 212 MIDTOWN WEST,,361.0,1.4,181.0
01M064,01M064 - P.S. 064 ROBERT SIMON,1.0,282.0,2.0,141.0
02M442,"02M442 - BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",,,0.0,
02M534,02M534 - HARVEST COLLEGIATE HIGH SCHOOL,,,2.0,167.0
02M500,02M500 - UNITY CENTER FOR URBAN TECHNOLOGIES,2.0,142.0,2.0,142.0
02M420,02M420 - HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,6.0,278.0,7.4,208.0
02M047,02M047 - 47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,1.0,169.0,2.0,85.0
03M165,03M165 - P.S. 165 ROBERT E. SIMON,2.0,416.0,3.0,277.0
02M414,02M414 - N.Y.C. MUSEUM SCHOOL,2.0,236.0,2.0,236.0
02M544,02M544 - INDEPENDENCE HIGH SCHOOL,2.0,159.0,2.0,159.0
01M839,01M839 - TOMPKINS SQUARE MIDDLE SCHOOL,1.0,368.0,1.0,368.0
02M419,02M419 - LANDMARK HIGH SCHOOL,2.0,178.0,2.0,178.0
02M316,"02M316 - URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,",3.0,135.0,3.0,135.0
03M479,03M479 - BEACON HIGH SCHOOL,3.0,322.0,3.8,322.0
03M054,03M054 - J.H.S. 054 BOOKER T. WASHINGTON,2.0,271.0,2.4,271.0
01M363,01M363 - NEIGHBORHOOD SCHOOL,1.0,302.0,1.0,302.0
01M509,01M509 - MARTA VALLE HIGH SCHOOL,1.0,182.0,1.8,182.0
03M307,"03M307 - URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",1.0,206.0,1.8,206.0
02M475,02M475 - STUYVESANT HIGH SCHOOL,13.0,254.0,15.0,220.0
01M137,01M137 - P.S. 137 JOHN L. BERNSTEIN,1.0,186.0,1.0,186.0
02M280,02M280 - MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,,,0.0,
02M151,02M151 - YORKVILLE COMMUNITY SCHOOL,1.0,572.0,1.0,572.0
03M245,03M245 - M.S. M245 THE COMPUTER SCHOOL,1.0,206.0,1.5,206.0
02M408,02M408 - PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,1.0,268.0,1.2,268.0
01M292,01M292 - HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,1.0,128.0,2.0,85.0
02M565,02M565 - URBAN ACADEMY LABORATORY HIGH SCHOOL,,,0.0,
02M422,02M422 - QUEST TO LEARN,3.0,188.0,3.0,188.0
03M075,03M075 - P.S. 075 EMILY DICKINSON,1.0,283.0,2.4,189.0
03M334,03M334 - THE ANDERSON SCHOOL,1.0,574.0,1.0,574.0
