goal
3b
1c
3a
1b
4a
2a
1b
2b
1b
1a
1b
1a
2a
2a
1b
1e
1c
2a
2c
2b
3a
3b
""
1b
1a
4a
4b
4a
1b
3a
1b
1a
3a
1a
4a
3b
2b
2b
3a
1a
4a
2a
1b
3a
5b
2a
5a
1b
1
2b
2a
1c
2b
1a
2a
1a
1a
2b
1b
3a
2c
3a
2b
2a
1b
""
3b
1a
3c
2a
3a
1a
2a
2a
1b
1c
4b
1b
1c
4b
2a
2b
1c
1a
3c
2a
5c
1
4a
1a
4a
1b
3a
2a
2b
2b
3a
2b
4b
1a
3b
2a
2b
3a
2a
1a
1
3a
1
1c
3a
4a
1b
1a
2a
1c
4a
1b
2a
1
4a
3b
2a
2c
2a
1a
1a
1c
1a
1a
4b
4a
1b
1a
6a
1a
2a
2b
1b
1c
4a
1a
2b
4a
3a
1a
2c
2b
1a
2b
4a
1a
6b
1a
1b
2b
1b
2a
2a
2a
1c
3b
1
1c
1b
3a
1a
1b
1b
2a
1b
1a
1b
5a
2a
1c
2c
1a
1e
2a
3a
1a
1b
3a
1b
1c
5a
1a
3c
2a
3b
1a
""
1b
1c
5a
2c
5a
3a
2a
