ueid_base,recordedname,latinname
B057_1986_113,bladder campion,Silene latifolia
B057_1986_11,Smooth sumac,Rhus glabra
B057_1986_1,Cool season grass,
B057_1986_106,cool season grasses,
B057_1986_117,poor man's pepper,Lepidium virginicum ssp. virginicum
B057_1986_114,curly dock,Rumex crispus
B057_1986_110,csg,
B057_1986_110,black locust,Robinia pseudoacacia
B057_1986_105,bladder campion,Silene latifolia
B057_1986_12,Salt meadow cordgr,Spartina patens
B057_1986_108,black cherry,Prunus serotina
B057_1986_106,mugwort,Artemisia vulgaris
B057_1986_105,Mugwort,Artemisia vulgaris
B057_1986_104,moss,
B057_1986_105,pokeweed,Phytolacca americana var. americana
B057_1986_102,Smooth sumac,Rhus glabra
B057_1986_103,cyperus spp,Cyperus spp.
B057_1986_115,mugwort,Artemisia vulgaris
B057_1986_101,dewberry (Rubus),Rubus flagellaris
B057_1986_1,curly dock,Rumex crispus
B057_1986_102,pinks,Dianthus sp.
B057_1986_104,Switchgrass,Panicum virgatum
B057_1986_112,cool season grasses,
B057_1986_113,poor man's pepper,Lepidium virginicum ssp. virginicum
B057_1986_108,cool season grasses,
B057_1986_10,Spike grass,Distichlis spicata
B057_1986_114,mugwort,Artemisia vulgaris
B057_1986_110,mugwort,Artemisia vulgaris
B057_1986_10,switchgrass,Panicum virgatum
B057_1986_11,hawkweed,Hieracium sp.
B057_1986_11,Black locust,Robinia pseudoacacia
B057_1986_108,dewberry,Rubus flagellaris
B057_1986_101,mugwort,Artemisia vulgaris
B057_1986_1,chicory,Cichorium intybus
B057_1986_108,curly dock,Rumex crispus
B057_1986_113,mulberry,Morus sp.
B057_1986_101,poor man's pepper,Lepidium virginicum ssp. virginicum
B057_1986_105,seaside goldenrod,Solidago sempervirens
B057_1986_109,Phragmites,Phragmites australis
B057_1986_113,wild lettuce,Lactuca canadensis
B057_1986_11,Black cherry,Prunus serotina
B057_1986_110,Bayberry,Morella pensylvanica
B057_1986_112,Phragmites,Phragmites australis
B057_1986_104,black grass,Juncus gerardi
B057_1986_108,mulberry,Morus sp.
B057_1986_108,goldenrod,Solidago sp.
B057_1986_1,White poplar,Populus alba
B057_1986_110,goldenrod,Solidago sp.
B057_1986_108,poor man's pepper,Lepidium virginicum ssp. virginicum
B057_1986_111,Black grass,Juncus gerardi
B057_1986_104,Phragmites,Phragmites australis
B057_1986_110,path rush,Juncus tenuis
B057_1986_110,black grass,Juncus gerardi
B057_1986_101,Switchgrass,Panicum virgatum
B057_1986_105,lamb's quarters,Chenopodium album
B057_1986_10,distichlis,Distichlis spicata
B057_1986_116,csg,
B057_1986_111,Seaside goldenrod,Solidago sempervirens
B057_1986_113,great ragweed,Ambrosia trifida
B057_1986_111,Spike grass,Distichlis spicata
B057_1986_105,CSG,
B057_1986_114,black locust,Robinia pseudoacacia
B057_1986_107,Phragmites,Phragmites australis
B057_1986_105,curly dock,Rumex crispus
B057_1986_115,Black locust,Robinia pseudoacacia
B057_1986_103,Switchgrass,Panicum virgatum
B057_1986_114,marsh elder,Iva frutescens
B057_1986_111,Salt meadow cordgr,Spartina patens
B057_1986_102,goldenrod,Solidago sp.
B057_1986_113,goldenrod,Solidago sp.
B057_1986_105,clover,Trifolium sp.
B057_1986_113,path rush,Juncus tenuis
B057_1986_112,clover,Trifolium sp.
B057_1986_103,common evening primrose,Oenothera biennis
B057_1986_108,Switchgrass,Panicum virgatum
B057_1986_114,Goosefoot,Chenopodium sp.
B057_1986_117,black cherry,Prunus serotina
B057_1986_110,Phragmites,Phragmites australis
B057_1986_117,Ailanthus,Ailanthus altissima
B057_1986_11,Mugwort,Artemisia vulgaris
B057_1986_112,milkweed,Asclepias sp.
B057_1986_113,common plantain,Plantago major
B057_1986_113,Eastern Cottonwood,Populus deltoides
B057_1986_116,Ailanthus,Ailanthus altissima
B057_1986_112,switchgrass,Panicum virgatum
B057_1986_118,bayberry,Morella pensylvanica
B057_1986_112,Mugwort,Artemisia vulgaris
B057_1986_104,seaside goldenrod,Solidago sempervirens
B057_1986_108,Phragmites,Phragmites australis
B057_1986_105,Phragmites,Phragmites australis
B057_1986_108,lamb's quarters,Chenopodium album
B057_1986_115,seaside goldenrod,Solidago sempervirens
B057_1986_108,yarrow,Achillea millefolium
B057_1986_109,mulberry,Morus sp.
B057_1986_100,Dogbane,Apocynum sp.
B057_1986_107,goldenrod,Solidago sp.
B057_1986_106,Dogbane,Apocynum sp.
B057_1986_1,autumn olive,Elaeagnus umbellata
B057_1986_1,crab apple,Malus sp.
B057_1986_117,mulberry,Morus sp.
B057_1986_105,Black locust,Robinia pseudoacacia
B057_1986_114,seaside goldenrod,Solidago sempervirens
B057_1986_105,goosefoot,Chenopodium sp.
B057_1986_1,Willow oak,Quercus phellos
B057_1986_113,switchgrass,Panicum virgatum
B057_1986_1,London planetree,Platanus ×hispanica
B057_1986_109,Switchgrass,Panicum virgatum
B057_1986_1,Japanese black pine,Pinus thunbergii
B057_1986_106,Goldenrod,Solidago sp.
B057_1986_114,Phragmites,Phragmites australis
B057_1986_103,black locust,Robinia pseudoacacia
B057_1986_111,goosefoot,Chenopodium sp.
B057_1986_109,Mugwort,Artemisia vulgaris
B057_1986_106,daisy fleabane,Erigeron annuus
B057_1986_11,dodder,Cuscuta sp.
B057_1986_1,clover,Trifolium sp.
B057_1986_118,black grass,Juncus gerardi
B057_1986_106,bayberry,Morella pensylvanica
B057_1986_1,English plantain,Plantago lanceolata
B057_1986_102,bayberry,Morella pensylvanica
B057_1986_113,csg,
B057_1986_1,Japanese knotweed,Reynoutria japonica
B057_1986_10,Seaside lavender,Limonium carolinianum
B057_1986_110,clover,Trifolium sp.
B057_1986_103,bayberry,Morella pensylvanica
B057_1986_102,Ailanthus,Ailanthus altissima
B057_1986_115,Phragmites,Phragmites australis
B057_1986_102,Mugwort,Artemisia vulgaris
B057_1986_108,Rubus,Rubus sp.
B057_1986_108,English plantain,Plantago lanceolata
B057_1986_10,Black grass,Juncus gerardi
B057_1986_107,Mugwort,Artemisia vulgaris
B057_1986_113,yarrow,Achillea millefolium
B057_1986_10,goosefoot,Chenopodium sp.
B057_1986_102,Staghorn sumac,Rhus typhina
B057_1986_113,blue toadflax,Nuttallanthus canadensis
B057_1986_113,dogbane,Apocynum sp.
B057_1986_115,Cool season grass,
B057_1986_10,Salt medow cordgr,Spartina patens
B057_1986_112,English plantain,Plantago lanceolata
B057_1986_106,seaside goldenrod,Solidago sempervirens
B057_1986_10,goldenrod,Solidago sp.
B057_1986_108,common ragweed,Ambrosia artemisiifolia
B057_1986_106,English plantain,Plantago lanceolata
B057_1986_106,Phragmites,Phragmites australis
B057_1986_1,mugwort,Artemisia vulgaris
B057_1986_117,Phragmites,Phragmites australis
B057_1986_110,Autumn olive,Elaeagnus umbellata
