to_street,sign_descr,side_of_st
EAST 27 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT 7AM-7PM ALL DAYS -->,E
EAST 27 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,W
BROADWAY,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
2 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,N
2 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
9 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
30 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
WEST 29 STREET,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,E
11 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,N
WEST 34 STREET,TAXI RELIEF STAND 1 HOUR LIMIT NO PARKING ANYTIME EXCEPTTAXIS <----->,W
EAST 14 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,W
36 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
27 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,N
WEST 40 STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,W
STEINWAY STREET,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT <->,N
2 AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
ROOSEVELT AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,W
NOSTRAND AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT -->,S
WEST 190 STREET,TAXI (SYMBOL) TAXI/FHV Relief STAND 1 HOUR LIMIT 8AM-7PM EXCEPT SUNDAY -->,W
2 AVENUE,TAXI (SYMBOL) TAXI RELIEF STAND 1 HOUR LIMIT -->,S
FIRST AVENUE,TAXI (SYMBOL) TAXI/FHV RELIEF STAND 1 HOUR LIMIT 7AM-9PM ALL DAYS -->,S
