on_street,to_street,relief_sta
CROTONA AVENUE,EAST 187 STREET,TAXI/FHV
64 STREET,35 AVENUE,TAXI/FHV
GREENWICH STREET,CHAMBERS STREET,TAXI/FHV
43 AVENUE,36 STREET,TAXI/FHV
PELHAM PARKWAY SOUTH,EASTCHESTER ROAD,TAXI/FHV
44 AVENUE,22 STREET,TAXI/FHV
31 STREET,35 AVENUE,TAXI/FHV
LEXINGTON AVENUE,EAST 25 STREET,TAXI
WEST 37 STREET,10 AVENUE,TAXI
WEST KINGSBRIDGE ROAD,WEBB AVENUE,TAXI/FHV
EAST 87 STREET,2 AVENUE,TAXI
MAIDEN LANE,SOUTH STREET,TAXI/FHV
30 AVENUE,38 STREET,TAXI/FHV
PARK ROW,BEEKMAN STREET,TAXI
WEST 41 STREET,DYER AVENUE,TAXI
6 AVENUE,WEST 56 STREET,TAXI/FHV
12 STREET,33 ROAD,TAXI/FHV
DYCKMAN STREET,NAGLE AVENUE,TAXI/FHV
EAST 89 STREET,2 AVENUE,TAXI/FHV
EAST 86 STREET,YORK AVENUE,TAXI
EAST 28 STREET,MADISON AVENUE,TAXI/FHV
36 STREET,43 AVENUE,TAXI/FHV
WEST 49 STREET,11 AVENUE,TAXI
WEST 22 STREET,6 AVENUE,TAXI/FHV
EAST 28 STREET,MT CARMEL PLACE,TAXI/FHV
LEXINGTON AVENUE,EAST 24 STREET,TAXI/FHV
WEST 26 STREET,6 AVENUE,TAXI
54 STREET,QUEENS BOULEVARD,TAXI
EAST 2 STREET,1 AVENUE,TAXI/FHV
SOUTHERN BOULEVARD,EAST 178 STREET,TAXI/FHV
9 AVENUE,WEST 19 STREET,TAXI
CHATHAM SQUARE,CATHERINE STREET,TAXI
EAST 28 STREET,LEXINGTON AVENUE,TAXI
WEST 45 STREET,10 AVENUE,TAXI
PARK AVENUE,EAST 138 STREET,TAXI
WEST 55 STREET,11 AVENUE,TAXI
LEXINGTON AVENUE,EAST 27 STREET,TAXI
MADISON AVENUE,EAST 27 STREET,TAXI/FHV
WEST  231 STREET,BROADWAY,TAXI/FHV
EAST 23 STREET,2 AVENUE,TAXI
EAST 3 STREET,2 AVENUE,TAXI/FHV
WEST 20 STREET,9 AVENUE,TAXI/FHV
40 AVENUE,30 STREET,TAXI/FHV
9 AVENUE,WEST 29 STREET,TAXI
WEST 52 STREET,11 AVENUE,TAXI
10 AVENUE,WEST 34 STREET,TAXI
3 AVENUE,EAST 14 STREET,TAXI/FHV
SKILLMAN AVENUE,36 STREET,TAXI/FHV
41 AVENUE,27 STREET,TAXI/FHV
6 AVENUE,WEST 40 STREET,TAXI/FHV
28 AVENUE,STEINWAY STREET,TAXI/FHV
EAST 116 STREET,2 AVENUE,TAXI/FHV
55 STREET,ROOSEVELT AVENUE,TAXI/FHV
BEVERLEY ROAD,NOSTRAND AVENUE,TAXI/FHV
WADSWORTH AVENUE,WEST 190 STREET,TAXI/FHV
EAST 77 STREET,2 AVENUE,TAXI
EAST 41 STREET,FIRST AVENUE,TAXI/FHV
WEST 163 STREET,BROADWAY,TAXI/FHV
EAST 1 STREET,1 AVENUE,TAXI
THOMPSON STREET,AVENUE OF AMERICAS,TAXI
3 AVENUE,EAST 157 STREET,TAXI/FHV
4 AVENUE,16 STREET,TAXI/FHV
37 STREET,SKILLMAN AVENUE,TAXI/FHV
CHURCH STREET,WHITE STREET,TAXI/FHV
EAST 15 STREET,UNION SQUARE EAST,TAXI
WEST 16 STREET,8 AVENUE,TAXI/FHV
WEST 31 STREET,BROADWAY,TAXI
WEST 21 STREET,7 AVENUE,TAXI
EAST 11 STREET,1 AVENUE,TAXI/FHV
8 AVENUE,WEST 54 STREET,TAXI/FHV
HOYT AVENUE NORTH,28 STREET,TAXI/FHV
31 STREET,36 AVENUE,TAXI/FHV
6 AVENUE,WEST 39 STREET,TAXI/FHV
EAST 5 STREET,COOPER SQUARE,TAXI
36 STREET,43 AVENUE,TAXI/FHV
VAN DAM STREET,SKILLMAN AVENUE,TAXI/FHV
NORTH 6 STREET,WYTHE AVENUE,TAXI/FHV
WEST 181 STREET,FORT WASHINGTON AVENUE,TAXI/FHV
LEXINGTON AVENUE,EAST 28 STREET,TAXI
11 AVENUE,WEST 45 STREET,TAXI/FHV
EAST 78 STREET,THIRD AVENUE,TAXI
EAST 27 STREET,MADISON AVENUE,TAXI/FHV
45 AVENUE,23 STREET,TAXI/FHV
43 AVENUE,37 STREET,TAXI/FHV
QUEENS BOULEVARD,51 STREET,TAXI
WEST 41 STREET,9 AVENUE,TAXI/FHV
BROADWAY,72 STREET,TAXI
METROPOLITAN AVENUE,RED OAK DRIVE,TAXI/FHV
WEST 44 STREET,10 AVENUE,TAXI
11 AVENUE,WEST 43 STREET,TAXI
ROCKAWAY BEACH BOULEVARD,B 91 STREET,TAXI/FHV
DYCKMAN STREET,BROADWAY,TAXI/FHV
EAST HOUSTON STREET,EAST 1 STREET,TAXI
13 STREET,QUEENS PLAZA SOUTH,TAXI/FHV
9 AVENUE,WEST 41 STREET,TAXI/FHV
WEBSTER AVENUE,BEDFORD PARK BOULEVARD,TAXI/FHV
WEST 46 STREET,8 AVENUE,TAXI/FHV
WEST 51 STREET,9 AVENUE,TAXI
EAST 233 STREET,WHITE PLAINS ROAD,TAXI/FHV
CROSBY STREET,EAST HOUSTON STREET,TAXI
EAST 78 STREET,3 AVENUE,TAXI
21 STREET,43 AVENUE,TAXI/FHV
WEST 127 STREET,WEST 126 STREET,TAXI/FHV
WEST 46 STREET,10 AVENUE,TAXI
GRAND STREET,CHRYSTIE STREET,TAXI/FHV
EAST BROADWAY,RUTGERS STREET,TAXI
38 AVENUE,11 STREET,TAXI
44 ROAD,11 STREET,TAXI/FHV
WEST 127 STREET,WEST 126 STREET,TAXI/FHV
BRONX RIV AVENUE,EAST TREMONT AVENUE,TAXI
EAST 16 STREET,UNION SQUARE WEST,TAXI
PARK AVENUE,EAST 138 STREET,TAXI
34 STREET,38 AVENUE,TAXI/FHV
