shape_stle,space_coun,from_stree,borough
57.9998785299,3,EAST 183 STREET,Bronx
68.0001982662,3,34 AVENUE,Queens
65.999905366,3,READE STREET,Manhattan
93.9996638637,5,35 STREET,Queens
24.9386249179,1,WILSON AVENUE,Bronx
41.9998036467,2,21 STREET,Queens
69.9999638922,3,34 AVENUE,Queens
102.999756214,5,EAST 26 STREET,Manhattan
64.9998719924,3,9 AVENUE,Manhattan
40.9995821026,2,SEDGWICK AVENUE,Bronx
82.999600708,4,1 AVENUE,Manhattan
156.999868818,8,FRONT STREET,Manhattan
69.9997108106,3,STEINWAY STREET,Queens
69.0573947438,3,ANN STREET,Manhattan
245.999482173,12,9 AVENUE,Manhattan
67.4817653443,3,WEST 55 STREET,Manhattan
88.999694542,4,34 AVENUE,Queens
179.999389392,9,SHERMAN AVENUE,Manhattan
67.0000463589,3,1 AVENUE,Manhattan
82.9996619748,4,HENDERSON PLACE,Manhattan
118.037511185,6,5 AVENUE,Manhattan
114.0000666,6,SKILLMAN AVENUE,Queens
130.99974683,7,10 AVENUE,Manhattan
125.999786514,6,7 AVENUE,Manhattan
147.999935977,7,1 AVENUE,Manhattan
92.9704840861,5,EAST 25 STREET,Manhattan
52.0000772443,3,7 AVENUE,Manhattan
97.9998378695,5,ROOSEVELT AVENUE,Queens
79.9998932574,4,AVENUE A,Manhattan
119.99972371,6,EAST TREMONT AVENUE,Bronx
82.9997863616,4,WEST 20 STREET,Manhattan
41.9998280409,2,EAST BROADWAY,Manhattan
129.00166553,6,PARK AVENUE SOUTH,Manhattan
60.0000587275,3,9 AVENUE,Manhattan
177.99998018,9,EAST 135 STREET,Bronx
30.6653291052,2,10 AVENUE,Manhattan
197.402571764,10,EAST 28 STREET,Manhattan
100.662851608,5,EAST 26 STREET,Manhattan
86.0049092729,4,ALBANY CRESCENT,Bronx
89.9998029577,4,1 AVENUE,Manhattan
60.000004279,3,1 AVENUE,Manhattan
77.9998573731,4,10 AVENUE,Manhattan
221.999816157,11,NORTHERN BOULEVARD,Queens
49.0002164698,2,WEST 30 STREET,Manhattan
128.999561469,6,12 AVENUE,Manhattan
198.999700892,10,WEST 33 STREET,Manhattan
160.999652475,8,EAST 15 STREET,Manhattan
90.5806470335,5,37 STREET,Queens
54.00099137,3,CRESCENT STREET,Queens
63.7223980401,3,WEST 39 STREET,Manhattan
32.999814208,2,41 STREET,Queens
29.0018299074,1,3 AVENUE,Manhattan
66.000077584,3,QUEENS BOULEVARD,Queens
54.9997361268,3,EAST 29 STREET,Brooklyn
97.0062848485,5,ST NICHOLAS AVENUE,Manhattan
47.9998417972,2,1 AVENUE,Manhattan
134.999774403,7,FDR DRIVE,Manhattan
42.0027820787,2,ST NICHOLAS AVENUE,Manhattan
49.9999462529,2,EAST HOUSTON STREET,Manhattan
89.0000159506,4,GRAND STREET,Manhattan
48.9999667544,2,EAST 158 STREET,Bronx
66.9997865626,3,PROSPECT AVENUE,Brooklyn
130.008632596,6,43 AVENUE,Queens
124.999694085,6,FRANKLIN STREET,Manhattan
118.00076772,6,IRVING PLACE,Manhattan
132.999777666,7,9 AVENUE,Manhattan
141.000430147,7,5 AVENUE,Manhattan
163.655841081,8,6 AVENUE,Manhattan
75.0000641761,4,AVENUE A,Manhattan
73.6469654689,4,WEST 53 STREET,Manhattan
79.9999219523,4,29 STREET,Queens
81.999877918,4,37 AVENUE,Queens
68.0016020328,3,WEST 38 STREET,Manhattan
46.999740686,2,2 AVENUE,Manhattan
144.999717934,7,SKILLMAN AVENUE,Queens
35.0002872308,2,QUEENS BOULEVARD,Queens
29.0001043,1,BERRY STREET,Brooklyn
113.000398721,6,PINEHURST AVENUE,Manhattan
167.999652672,8,EAST 29 STREET,Manhattan
45.9997236749,2,WEST 46 STREET,Manhattan
37.9997009428,2,LEXINGTON AVENUE,Manhattan
110.438912343,6,PARK AVENUE SOUTH,Manhattan
86.0003633935,4,JACKSON AVENUE,Queens
203.102109496,10,36 STREET,Queens
251.074374714,13,50 STREET,Queens
300.999556581,15,8 AVENUE,Manhattan
78.0000765092,4,73 STREET,Queens
44.9999758426,2,PURDY STREET,Bronx
87.000980144,4,11 AVENUE,Manhattan
140.051328384,7,WEST 44 STREET,Manhattan
62.0000370774,3,B 92 STREET,Queens
173.206501681,9,VERMILYEA AVENUE,Manhattan
118.999643045,6,AVENUE A,Manhattan
199.99958182,10,43 AVENUE,Queens
71.0023489937,4,WEST 42 STREET,Manhattan
62.0036815825,3,EAST FORDHAM ROAD,Bronx
90.0000452968,4,9 AVENUE,Manhattan
86.9998003421,4,8 AVENUE,Manhattan
38.0045210036,2,CARPENTER AVENUE,Bronx
62.0000448863,3,PRINCE STREET,Manhattan
32.9999766767,2,LEXINGTON AVENUE,Manhattan
209.999445675,10,44 AVENUE,Queens
155.000017355,8,MORNINGSIDE AVENUE,Manhattan
121.999848208,6,11 AVENUE,Manhattan
133.355779539,7,FORSYTH STREET,Manhattan
210.999799003,11,CLINTON STREET,Manhattan
194.99948833,10,12 STREET,Queens
93.000084752,5,21 STREET,Queens
103.999769031,5,CONVENT AVENUE,Manhattan
50.0025544153,2,ROSEDALE AVENUE,Bronx
97.9996607271,5,5 AVENUE,Manhattan
222.999326307,11,EAST 135 STREET,Bronx
59.9999608423,3,37 AVENUE,Queens
