the_geom,shape_stle
"{'type': 'MultiLineString', 'coordinates': [[[-73.92776816777538, 40.74731609785912], [-73.927451677167, 40.74737835808492]]]}",90.5806470335
"{'type': 'MultiLineString', 'coordinates': [[[-73.94771363365965, 40.74892563815853], [-73.94803874720722, 40.74898908456939]]]}",93.000084752
"{'type': 'MultiLineString', 'coordinates': [[[-73.92958797374203, 40.81255856996212], [-73.92959518540093, 40.812553340673915], [-73.9296651160092, 40.812505891110526], [-73.92973708318746, 40.81246024374087], [-73.92981100393425, 40.81241643453057], [-73.9298669597649, 40.81238548696004], [-73.92988679523, 40.81237451745523], [-73.92993281364598, 40.812350805611196], [-73.92996438591746, 40.81233453749292], [-73.9300436811357, 40.81229653960736], [-73.93012459787687, 40.812260568769595], [-73.930207041291, 40.81222666093873], [-73.93024681703807, 40.812209678210984]]]}",222.999326307
"{'type': 'MultiLineString', 'coordinates': [[[-73.92518910032177, 40.86212262125895], [-73.92491615330873, 40.86167413675358]]]}",179.999389392
"{'type': 'MultiLineString', 'coordinates': [[[-73.93340762762062, 40.74580596174111], [-73.93340911512709, 40.74579849019598], [-73.93341865894256, 40.745750570743105], [-73.93342654507116, 40.745710978217616]]]}",35.0002872308
"{'type': 'MultiLineString', 'coordinates': [[[-74.01074966098933, 40.71676907758515], [-74.01075670681409, 40.71674199318475], [-74.01076497206004, 40.71671010714978], [-74.01076965821966, 40.716692031672295], [-74.0107825977721, 40.716642079164245], [-74.0107955491403, 40.7165921266533], [-74.0107957502115, 40.71659135039473]]]}",65.999905366
"{'type': 'MultiLineString', 'coordinates': [[[-73.95447654376376, 40.813211781115086], [-73.95398735533227, 40.81300476878785]]]}",155.000017355
"{'type': 'MultiLineString', 'coordinates': [[[-73.92740426633296, 40.74734679247081], [-73.92740444383688, 40.7473458020254], [-73.92741431476978, 40.747296325407554], [-73.9274238985942, 40.747248442504386], [-73.9274334824049, 40.74720055960005], [-73.9274430780325, 40.74715268570716], [-73.9274526618156, 40.74710480280056], [-73.92746224558495, 40.747056919892884], [-73.92747320806622, 40.747004237251254], [-73.92747532319692, 40.74699406826086]]]}",130.008632596
"{'type': 'MultiLineString', 'coordinates': [[[-73.92852582367871, 40.85669601429483], [-73.92854018911642, 40.85669771251454], [-73.92854953364818, 40.85669881690097], [-73.92859860426137, 40.85670465544688], [-73.92866398968543, 40.85671480840738], [-73.92872938698949, 40.856724961338145], [-73.92879478430389, 40.85673512323667], [-73.92884386017485, 40.85674274375295], [-73.92886016978781, 40.85674527608594], [-73.92887005615862, 40.85674654647084]]]}",97.0062848485
"{'type': 'MultiLineString', 'coordinates': [[[-73.98466474970392, 40.76446146841829], [-73.98479306600431, 40.764284429211884]]]}",73.6469654689
"{'type': 'MultiLineString', 'coordinates': [[[-73.92839208581064, 40.746605377144434], [-73.92847351906973, 40.74621223768926]]]}",144.999717934
"{'type': 'MultiLineString', 'coordinates': [[[-74.0027789251481, 40.74430193714934], [-74.00263523527452, 40.7445018268964]]]}",82.9997863616
"{'type': 'MultiLineString', 'coordinates': [[[-73.91527186660541, 40.7640877144054], [-73.91505682150955, 40.76398681751068]]]}",69.9997108106
"{'type': 'MultiLineString', 'coordinates': [[[-73.99145983061136, 40.757021055626815], [-73.99051720555721, 40.756610242608]]]}",300.999556581
