prop_location,ampsdistrict,boro,No with propnum,Yes with propnum
S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp,1,B,,B167
W. 22 St. bet. Bay 56 St. and Shore Pkwy.,13,B,B166C,
N/B Gowanus Exwy. bet. 65 St. and 66 St.,10,B,B210O,
S. 3 St. bet. Berry St. and Bedford Ave.,1,B,B154,
Bedford Ave. bet. S. 9 St. and Division Ave.,1,B,,B142
Elton St. bet. New Lots Ave. and Hegeman Ave.,5,B,B149A,
"Aberdeen St., Furman Ave. north of Bushwick Ave.",4,B,,B131
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
Howard Ave. bet. Pacific St. and Dean St.,16,B,B153,
Bedford Ave. at Division Ave.,1,B,B115,
N/B Gowanus Exwy. bet. 81 St. and 82 St.,10,B,B210Q,
3 Ave. bet. 47 St. and 46 St.,7,B,,B210J
"New Utrecht Ave., 9 Ave., 39 St.",12,B,B172,
Kings Highway between 25 St. and 98 St.,18,B,B198,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
"Ave. U, E. 71 St., Veterans Ave.",18,B,B190,
"Cadman Plaza West, Cadman Plaza East bet. Tillary St. and Johnson St.",2,B,B113B,
"46 St., 11 Ave., New Utrecht Ave.",12,B,B123,
Linden Blvd Bet. Linwood St & Essex St,5,B,BZ485,
N/B Gowanus Exwy. bet. 85 St. and 86 St.,10,B,B210T,
Belt Pkwy. bet. Verrazano Bridge and Cross Bay Blvd.,10,B,B166,
Vermont St. bet. Linden Blvd. and Stanley Ave.,5,B,,B214
"Eastern Pkwy., Flatbush Ave. bet. Underhill Ave. and Washington Ave.",8,B,B159,
"bet. Pierrepont Pl., Pierrepont St. and the BQE",2,B,,B222
"Marcy Ave., Tompkins Ave., bet. Greene Ave. and Lafayette Ave.",3,B,B088,
Avenue V bet. E. 13 St. and E. 14 St.,15,B,,B197
"Halleck St., Bush St. bet. Otsego St. and Court St.",6,B,B126,
Ave. R from E. 7 St. To Coney Island Ave.,15,B,B184,
"Surf Ave. bet. W. 25 St. to W. 27 St., Boardwalk",13,B,B169B,
N/B Gowanus Exwy. bet. 63 St. and 64 St.,7,B,B210L,
"Flatbush Ave., Schenctady Ave., Ave. O",18,B,B176,
Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,10,B,B210W,
"E. 17 St., South of Ave. H",14,B,B180,
"Ave. S, Moore Pl. bet. E. 16 St. and E. 17 St.",15,B,B157,
"Corbin Pl. to W. 37 St., Boardwalk",13,B,,B169
"10 Ave., New Utrecht Ave. bet. 43 St. and 42 St.",12,B,B162,
Shore Pkwy. bet. Bay 14 St. and Bay 16 St.,11,B,,B164
"Stagg St., Hewes St., Union Ave.",1,B,B202,
Atlantic Ave. bet. Fountain Ave. and N. Conduit Ave.,5,B,,B141
W. 22 St. bet. Bay 56 St. and Shore Pkwy.,13,B,B166C,
Ft. Hamilton Pkwy. bet. 94 St. and 101 St.,10,B,,B210W
Nostrand Ave. bet. Kings Hwy. and Ave. P,15,B,,B208
"Clarkson Ave., New York Ave.",9,B,,B148
Scholes St. bet. Manhattan Ave. and Graham Ave.,1,B,,B127
"Knickerbocker Ave, Myrtle Ave, and Bleecker St",4,B,BZ507,
"Linden Blvd., Church Ave., E. 92 St.",17,B,B171,
"Atlantic Ave., Cleveland St. and Liberty Ave.",5,B,,B163
Hamitlon Ave. ber. Van Brunt St. and Woodull St.,6,B,B210H,
"E. 38 St., Ave. M, Flatlands Ave.",18,B,,B207
"Corbin Pl. to W. 37 St., Boardwalk",13,B,B169,
Brighton 2 St. bet. Brightwater Ct. and Boardwalk E.,13,B,B169A,
