site_location,sourcefc,sub_category
Sullican Pl. bet. Rogers Ave. and Nostrand Ave.,Property,Neighborhood Plgd
Ave. R from E. 7 St. To Coney Island Ave.,Property,Sitting Area/Triangle/Mall
"New Utrecht Ave., 45 St., Ft Hamilton Pkwy.",Property,Sitting Area/Triangle/Mall
Linded Blvd Bet. Shepherd Av & Berriman st,Greenstreet,
Ft. Hamilton Pkwy. bet. 52 St. and 53 St.,Property,Neighborhood Plgd
"Village Rd. N., Ave. U bet. Van Sicklen St. and Lake St.",Property,Sitting Area/Triangle/Mall
Neptune & Bayview Aves,Playground,Plgd Within Park
N/B Gowanus Exwy. bet. 81 St. and 82 St.,Property,Type 2
"Ave. U bet. E. 58 St., E. 59 St., and E. 60 St.",Property,Neighborhood Park
B 2nd St To Seabreeze Ave,Zone,Beach Zone
"Halleck, Clinton, Bay, SW Of ""Henry St"" Sidewalk",Zone,Large Park Zone
"Atlantic Ave., Cleveland St. and Liberty Ave.",Property,JOP
Stuyvesant Ave. and Fulton St.,Property,Neighborhood Plgd
Nostrand Ave. bet. Kings Hwy. and Ave. P,Property,Neighborhood Plgd
94th St & Ridge Blvd,Playground,Plgd Within Park
Eastern Parkway & Ralph Ave (1),Greenstreet,Type 1
4 Ave. bet. BQE and 64 St.,Property,EXWY
S. 4 St. bet. Roebling St. and Williamsburg Bridge Ramp,Property,Neighborhood Plgd
"Cadman Plaza West, Adam St. bet. Prospect St. and Joralemon St.",Property,Neighborhood Park
3 Ave. bet. Hamilton Ave. and 16 St.,Property,Sitting Area/Triangle/Mall
"Cadman Plaza West, Cadman Plaza East bet. BQE and Tillary St.",Property,Large Park
"Kings Highway, Ave. M, E. 34 St. to E. 35 St.",Property,Sitting Area/Triangle/Mall
E. 17 St. bet. Foster Ave. and Ave. H,Property,Sitting Area/Triangle/Mall
"Shore Pkwy, Bay 44 St, Bay 49 St",Zone,Large Park Zone
Seacoast Ter To Coney Island Ave,Zone,Beach Zone
Campus Rd. bet. E. 21 St. and Ocean Ave.,Property,Neighborhood Plgd
92 St. bet. Gowanus Exwy. and Ft. Hamilton Pkwy.,Property,EXWY
6 Ave Bet 41 & 44 Sts,Playground,Plgd Within Park
"46 St., 11 Ave., New Utrecht Ave.",Property,Sitting Area/Triangle/Mall
Bergen Ave And Avenue W,Playground,Plgd Within Park
72nd St To Harbor View,Zone,Large Park Zone
"bet. Pierrepont Pl., Pierrepont St. and the BQE",Property,Neighborhood Plgd
"Columbia St, NW Of Sidewalk, Fence That Is A Continuation Of Halleck St",Zone,Large Park Zone
"S. 5 St., Broadway, Havemeyer St.",Property,Neighborhood Plgd
"Stagg St., Hewes St., Union Ave.",Property,Sitting Area/Triangle/Mall
3 Ave. bet. 59 St. and 60 St.,Property,
N/o Greene Ave,Playground,Plgd Within Park
"Pacific St., Washington Ave., Underhill Ave.",Property,Sitting Area/Triangle/Mall
"Gravesend Bay, Bay 44 St, Bay 49 St",Zone,Large Park Zone
"Ave L, E 17 To E 18 Sts",Playground,
Dahlgreen Pl. bet. Exit 17 and Ft. Hill Pl.,Property,EXWY
"Eastern Pkwy., Flatbush Ave. bet. Underhill Ave. and Washington Ave.",Property,Large Park
3 Ave. bet. 64 St. and 65 St.,Property,Neighborhood Plgd
"Hicks, Lorraine, Henry, Bay",Zone,Large Park Zone
Guanus Exwy. bet. Prospect Exwy. and 18 St.,Property,
Howard Ave. bet. Atlantic Ave. and  Herkimer St.,Property,Neighborhood Plgd
"4 Ave., Shore Rd., Belt Pkwy., Verrazano Bridge",Property,Large Park
"Fulton St., Truxton St., bet. Eastern Pkwy. and Van Sinderen Ave.",Property,Neighborhood Plgd
10 St. bet. 2 Ave. and 3 Ave.,Property,Neighborhood Plgd
"Cadman Plaza West, Cadman Plaza East bet. Tillary St. and Johnson St.",Property,Neighborhood Park
"11 St., 12 St. bet. 2 Ave. and 3 Ave.",Property,Neighborhood Plgd
"Ft Hamilton Pkwy, 94-95 Sts",Playground,
Schermerhorn St. bet. Nevins St. and 3 Ave.,Property,Neighborhood Plgd
W. 22 St. bet. Bay 56 St. and Shore Pkwy.,Property,Large Park
"The Narrows, Belt Pkwy, 4 Ave, Bay 8 St",Zone,Large Park Zone
"92nd St To 4 Ave - Upper Half, By Road",Zone,Large Park Zone
"Nevins St., 3 Ave., bet. De Graw St. and Douglas St.",Property,Neighborhood Plgd
S/B Gowanus Exwy. bet. 64 St. and 65 St.,Property,EXWY
"Quentin Rd., Kings Hwy., W. 9 St.",Property,Sitting Area/Triangle/Mall
Hamitlon Ave. ber. Van Brunt St. and Woodull St.,Property,Neighborhood Plgd
Howard Ave. bet. Pacific St. and Dean St.,Property,Neighborhood Plgd
8 Ave. bet. 65 St. and 66 St.,Property,Neighborhood Park
Shore Pkwy. bet. Bay 14 St. and Bay 16 St.,Property,Neighborhood Plgd
3 Ave. bet. 47 St. and 46 St.,Property,JOP
