prop_id,propnum,jurisdiction,zipcode,category,prop_name,precinct,council_district
B210B,B210B,DPR,11232,Small Park,D'Emic Playground,72.0,38
B117,B117,DPR,11206,Small Park,Lindsay Triangle,90.0,33
B157,B157,DPR,11229,Small Park,Kelly Park Playground,61.0,48
BZ507,BZ507,DOT,11237,Greenstreet,Heisser Triangle,83.0,37
B169-ZN02B,B169,DPR,11224,Large Park,Coney Island Beach & Boardwalk,60.0,47
B215,B215,DPR/DOE,11233,Small Park,Decatur Playground,81.0,36
B140,B140,DPR/DOE,11216,Small Park,Banneker Playground,79.0,36
B210S,B210S,DPR,11209,Other,Park,68.0,47
B213,B213,DPR,11223,Small Park,Gravesend Triangle,61.0,44
B162,B162,DPR,11219,Small Park,Brizzi Playground,66.0,38
B082-ZN06,B082,DPR,11220,Large Park,Shore Park and Parkway,68.0,47
B135,B135,DPR,11222,Small Park,Newtown Barge Playground,94.0,33
B141,B141,DPR,11208,Small Park,City Line Park,75.0,37
B169B,B169B,DPR,11224,Small Park,Poseidon Playground,60.0,47
B100-01,B100,DPR,11204,Small Park,Seth Low Playground/ Bealin Square,62.0,43
B166B,B166B,DPR,11235,Small Park,Homecrest Playground,61.0,48
B088-03,B088,DPR,11216,Small Park,Herbert Von King Park,79.0,36
B149B,B149B,DPR,11208,Small Park,Linwood Playground,75.0,42
B210R,B210R,DPR,11209,Other,Park,68.0,43
B210C,B210C,DPR,11231,Small Park,Cough Triangle,76.0,39
B214-01,B214,DPR,11207,Small Park,Linden Park,75.0,42
B196,B196,DPR,11211,Small Park,Pvt. Sonsire Triangle,94.0,33
B129-ZN01,B129,DPR,11224,Large Park,Kaiser Park,60.0,47
B150,B150,DPR,11230,Small Park,Kolbert Playground,70.0,44
B169,B169,DPR,"11224, 11235",Large Park,Coney Island Beach & Boardwalk,60.0,"47, 48"
B174,B174,DPR,11212,Small Park,Park,67.0,41
B151,B151,DPR,11218,Small Park,Dome Playground,66.0,39
B205,B205,DPR,11229,Small Park,Corporal Wiltshire Square,61.0,48
B165A,B165A,DPR,11239,Other,Spring Creek Park,75.0,42
B210I,B210I,DPR,11232,Small Park,Gonzalo Plasencia Playground,72.0,38
B210P,B210P,DPR,11209,Small Park,Dan Ross Playground,68.0,43
B207,B207,DPR,11234,Small Park,Sarsfield Playground,63.0,45
B115,B115,DPR,11211,Small Park,Cohn Triangle,90.0,34
B169C,B169C,-,11224,,Boardwalk Garden,60.0,
B218,B218,DPR,11203,Small Park,Paerdegat Park,67.0,45
B166E,B166E,DPR,11235,Small Park,Sixteen Lindens Triangle,61.0,48
BZ502,BZ502,DOT,11223,Greenstreet,Mickey Kairey Garden,61.0,44
B081,B081,-,11218,,Park,72.0,
B182,B182,DPR,11212,Small Park,Howard Malls,73.0,41
B159-01,B159,DPR,11238,Small Park,Mount Prospect Park,78.0,35
