multipolygon,communityboard,site_name,nyssenate
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0101718475332, 40.602457832225255], [-74.01094958254379, 40.60292816285536], [-74.01129263796865, 40.603135638747474], [-74.01132096262197, 40.60310404204689], [-74.01135884848725, 40.603061779512565], [-74.0113994807645, 40.60301645311729], [-74.01150391811568, 40.602899952083334], [-74.01155235354338, 40.60285215021742], [-74.01158627554851, 40.60281867259777], [-74.01162195646224, 40.602783460384764], [-74.01165637926456, 40.602749489207504], [-74.0116924877307, 40.60271385458415], [-74.01172743495279, 40.602679365531834], [-74.01176324329629, 40.60264402628781], [-74.01179714973341, 40.60261056481624], [-74.01183357581426, 40.602574614932706], [-74.01186796532548, 40.60254067701411], [-74.01190342622364, 40.60250568086074], [-74.01193864964728, 40.60247091885666], [-74.01197448966171, 40.60243554802454], [-74.01200794227651, 40.602402534096804], [-74.01204439529951, 40.60236655622671], [-74.01207916260462, 40.602332246288974], [-74.01209833469302, 40.60231332520404], [-74.01154840397217, 40.602183711102086], [-74.01087809601185, 40.60177463238967], [-74.0101718475332, 40.602457832225255]]]]}",311,Bath Beach Park,17
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96535651528673, 40.672152435846705], [-73.96537404266113, 40.67215810626476], [-73.9658528650647, 40.672295613975656], [-73.96626768812574, 40.6724034424749], [-73.96660983799973, 40.67248637887907], [-73.96698553634178, 40.67257037749941], [-73.96714709402475, 40.672601028656395], [-73.96729952675012, 40.672629948003916], [-73.9673378984752, 40.6726364318072], [-73.96741368982092, 40.67241464559445], [-73.96785070906422, 40.671135782876135], [-73.96785157373549, 40.67113554628221], [-73.96765990688567, 40.67087714550689], [-73.96765458142258, 40.670874220036254], [-73.96600275871576, 40.670507149341844], [-73.96535651528673, 40.672152435846705]]]]}",308,Mount Prospect Park,20
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95680523104001, 40.58548608224357], [-73.95706800439102, 40.58679927828151], [-73.95777086446289, 40.58672021523653], [-73.95752429999787, 40.585405197831065], [-73.95680523104001, 40.58548608224357]]]]}",315,Homecrest Playground,23
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92098967191909, 40.654768677872184], [-73.9209936431836, 40.65477106967276], [-73.92099807266327, 40.654772937686836], [-73.92100284217751, 40.654774230503605], [-73.92100782406482, 40.654774914716334], [-73.92101288709958, 40.654774971323945], [-73.92101789293912, 40.65477440023139], [-73.92102271150182, 40.65477321485721], [-73.92102721150002, 40.654771448430346], [-73.92103127345553, 40.654769146795196], [-73.92120394137898, 40.65465614852246], [-73.92120435835169, 40.65465550223662], [-73.92120463112012, 40.65465481352765], [-73.92120475375096, 40.654654100401906], [-73.92120472267564, 40.65465338086716], [-73.92120453668842, 40.65465267473411], [-73.92120420404272, 40.65465200181972], [-73.92120373181392, 40.65465137833817], [-73.92120313180487, 40.65465082230789], [-73.9212024217358, 40.65465034724875], [-73.92120161932583, 40.65464996758122], [-73.92120074584886, 40.65464969142446], [-73.92119982612482, 40.65464952780071], [-73.9208552029322, 40.65463613191895], [-73.92085392744434, 40.65463584917929], [-73.92085260919517, 40.654635730304406], [-73.92085128247152, 40.654635778019376], [-73.92084998511156, 40.654635991449744], [-73.92084875023029, 40.65463636431469], [-73.92084761449318, 40.65463688763423], [-73.9208466062963, 40.65463754611917], [-73.92084575403881, 40.65463832177866], [-73.9208450813936, 40.65463919391715], [-73.92084460612566, 40.654640138232836], [-73.92084434245383, 40.654641129521025], [-73.92084429632338, 40.65464213986979], [-73.92084446894765, 40.654643143164996], [-73.9208448556312, 40.654644110586815], [-73.92084544694576, 40.65464501601379], [-73.92084622518402, 40.654645835119666], [-73.92084717027164, 40.654646545377794], [-73.92084825621798, 40.65464712785935], [-73.92098967191909, 40.654768677872184]]]]}",317,Park,19
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87857252199669, 40.63986774955694], [-73.8783756171569, 40.6402638915654], [-73.87818721872416, 40.640629862228074], [-73.87799174049523, 40.64102173119728], [-73.87785793139835, 40.6413085972527], [-73.87945712306886, 40.64027449300711], [-73.87872010901881, 40.639571745183964], [-73.87857252199669, 40.63986774955694]]]]}","305, 318",Spring Creek Park,19
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.02665909407455, 40.614730262591635], [-74.02745203917095, 40.613993389426014], [-74.02754561012841, 40.61383546607595], [-74.02720393244601, 40.613715575526385], [-74.02661319667297, 40.61471257168603], [-74.02665909407455, 40.614730262591635]]]]}",310,Park,26
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96361355028422, 40.71534674227399], [-73.96367535479733, 40.71537219040296], [-73.96367508367318, 40.715372383026626], [-73.96393370072472, 40.71548014646402], [-73.96394666976235, 40.71548390205233], [-73.96419109023994, 40.715554691812294], [-73.96443524262534, 40.71562540262527], [-73.9646807967238, 40.71507534564013], [-73.96429369174085, 40.71493215313607], [-73.96413910177102, 40.71487496950065], [-73.96398864513604, 40.714819314215845], [-73.96361355028422, 40.71534674227399]]]]}",301,William Sheridan Playground,59
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9506131078259, 40.695841105911455], [-73.950766697849, 40.69592723101407], [-73.95120414095815, 40.69587684271815], [-73.95131733811849, 40.69576358814723], [-73.95129668869959, 40.69565837250988], [-73.95245043010206, 40.69552546471516], [-73.95236970383242, 40.6951141968756], [-73.95226693694362, 40.695126035664536], [-73.94949465817028, 40.69544537198555], [-73.94936547916322, 40.695460250228756], [-73.94944708303812, 40.695871416991764], [-73.94965989940935, 40.695846905565055], [-73.95059292775522, 40.69573943836994], [-73.9506131078259, 40.695841105911455]]]]}",303,Marcy Playground,25
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94009836206811, 40.66232209782728], [-73.94016729290017, 40.66291529936713], [-73.94182592191878, 40.66281248807912], [-73.94179703690591, 40.66251552187892], [-73.94176801620439, 40.6622171471846], [-73.94009836206811, 40.66232209782728]]]]}",309,Hamilton Metz Field,20
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99123078115186, 40.57057701491931], [-73.99123065597387, 40.570577014909766], [-73.99119256297209, 40.57057646447641], [-73.99119282270325, 40.57057701201535], [-73.99119361452904, 40.57058136881481], [-73.99140314402355, 40.57173404190262], [-73.99140593988885, 40.57174797592988], [-73.99140935417354, 40.57176499790237], [-73.99140942852539, 40.57176536892406], [-73.9914419238468, 40.57176200518841], [-73.99148196314216, 40.57175786124827], [-73.99149521236399, 40.57175630522282], [-73.99151706253659, 40.571753738542085], [-73.99153162380634, 40.57175202771906], [-73.99169264683508, 40.57173311405031], [-73.99172740844841, 40.5717290308785], [-73.99179586879713, 40.57172098869986], [-73.99196333043855, 40.57170977279611], [-73.99198216783259, 40.57170851067631], [-73.9921994550129, 40.57169395694868], [-73.99238434383992, 40.57168157273224], [-73.99246208066309, 40.57168142747192], [-73.99249934617606, 40.571684540323396], [-73.99253166948854, 40.57168723950074], [-73.99285999397411, 40.57170162914837], [-73.9929182225171, 40.571704181237614], [-73.9935511327126, 40.57173191774963], [-73.99358853828691, 40.5717284573261], [-73.99377750641959, 40.571710857057276], [-73.9938514861297, 40.57170396662395], [-73.99388395292453, 40.57170094169374], [-73.99391404938005, 40.57169990948986], [-73.99426727477055, 40.57166913872212], [-73.99432740295785, 40.57166390065353], [-73.99471764606002, 40.571629903743], [-73.99471671699537, 40.57162563791495], [-73.99470307853096, 40.57156299048725], [-73.9944452095727, 40.57038080637792], [-73.99411733863727, 40.5703951633312], [-73.9940065110091, 40.570401278469], [-73.99392365144367, 40.57040382710361], [-73.99381203251168, 40.570397782226095], [-73.99371286880188, 40.570391437147144], [-73.9936149635162, 40.570389866634876], [-73.99332204053454, 40.570380654721255], [-73.99322370417092, 40.57037974303457], [-73.99315419948735, 40.570372218631164], [-73.9930909575135, 40.57036205872655], [-73.99304962249913, 40.57034354954845], [-73.99304816176875, 40.570342897480145], [-73.99303070806215, 40.57031745209511], [-73.99302617578608, 40.57028262042231], [-73.99301905321657, 40.57024169474066], [-73.99300904920861, 40.570223414379804], [-73.99299278080964, 40.57021284573028], [-73.99296924001813, 40.57021641217103], [-73.99295678531718, 40.57022343820296], [-73.99295044851885, 40.570234553892085], [-73.99296483813316, 40.57031184861687], [-73.99296807422581, 40.570341959661775], [-73.9929669929459, 40.570360185316446], [-73.99296155578378, 40.570373332645026], [-73.9929605224347, 40.57037374502203], [-73.99294564338956, 40.5703796677612], [-73.99290551046171, 40.57039564420109], [-73.99280864588728, 40.57042412898045], [-73.99279132842608, 40.57042808840289], [-73.99271937780057, 40.57044454455733], [-73.99260361761146, 40.57045806934774], [-73.99246960676643, 40.57047721930519], [-73.99235255154477, 40.570485967374324], [-73.99225417803923, 40.57048843092258], [-73.9922156276691, 40.57049125596439], [-73.99216369740576, 40.570494375453464], [-73.99198508036226, 40.570505100987], [-73.9918936526229, 40.57052043861287], [-73.99188136016186, 40.570522336951456], [-73.9918213480468, 40.57053160899992], [-73.99177342880327, 40.570539012394335], [-73.99174679254902, 40.57054324024847], [-73.99162163576659, 40.57056310036641], [-73.99150897148786, 40.57057698088714], [-73.99142920676607, 40.570579884558946], [-73.99124161138789, 40.570577171536364], [-73.99123078115186, 40.57057701491931]]]]}",313,Coney Island Beach Zone 7a,23
