shape_area,schooldist,initials,dbn,edit_date
5923154.18093,19.0,BS,"19K938,19K159",2021-10-26T00:00:00.000
7394241.79668,20.0,BG,20K205,
4907849.76915,19.0,BG,19K007,
3608729.73713,17.0,BG,17K316,2004-09-02T00:00:00.000
3376001.43436,32.0,BG,32K075,
7362393.01593,20.0,SP,20K160,2019-11-15T00:00:00.000
2533762.26746,20.0,KC,20K310,2023-10-13T00:00:00.000
21860510.7309,20.0,BG,20K104,
7345398.82826,17.0,BG,17K241,
6193105.67358,19.0,JO,19K325,2012-12-09T00:00:00.000
13238145.7794,22.0,BG,22K206,
3027331.55407,17.0,JG,17K532,2015-11-18T00:00:00.000
7246291.82166,15.0,BG,15K032,
5552060.79973,16.0,BG,16K243,2004-09-02T00:00:00.000
4627641.62376,16.0,BG,16K262,2004-09-02T00:00:00.000
122928589.411,22.0,BG,22K207,
7190592.87202,19.0,BG,,
5362457.47003,13.0,SCS,13K093,2021-10-27T00:00:00.000
7296242.58774,14.0,BG,14K157,2012-04-09T00:00:00.000
4372796.36226,17.0,BG,17K189,
25341622.5948,14.0,BG,14K110,2004-09-02T00:00:00.000
14590699.6943,18.0,BG,18K208,
22042946.2962,21.0,BG,21K212,
6387650.59771,32.0,BG,32K045,
9982935.43098,21.0,BG,21K209,
3923554.59065,17.0,BG,17K399,
2472698.28473,14.0,BG,14K120,2004-09-02T00:00:00.000
16709303.9116,22.0,BG,22K193,
22167941.3875,18.0,AMG,18K114,
12495817.6761,21.0,BG,21K101,
8577851.23178,15.0,BG,15K029,
5335759.93964,19.0,BG,19K345,
1620627.6637,14.0,BG,14K018,
4679800.82485,17.0,JO,17K249,2012-12-19T00:00:00.000
8872769.35985,21.0,BG,21K153,
9411175.57396,21.0,BG,21K238,
7245584.99844,17.0,BG,17K181,
3296654.6998,32.0,BG,32K299,
5973673.77519,20.0,BG,20K164,
3754080.12387,15.0,BG,15K107,
3439593.39191,23.0,JO,,
7011020.11394,20.0,BG,20K186,
8376552.03902,13.0,AMG,13K009,
4416802.30104,20.0,JB,20K069,2019-11-15T00:00:00.000
8769958.85801,15.0,BG,15K261,
672917.735827,16.0,JG,"16K243,16K262",2015-12-03T00:00:00.000
6223254.24586,14.0,BG,14K084,2004-09-02T00:00:00.000
3791473.76874,20.0,JO,20K264,2012-12-09T00:00:00.000
7927390.36151,19.0,BG,19K290,
4426800.64334,19.0,BG,19K013,
15396430.2111,18.0,JO,18K233,2012-05-04T00:00:00.000
7912524.6635,22.0,BG,22K251,
4646668.72061,15.0,BG,15K039,
1833886.20521,21.0,BG,21K288,
15907345.8421,19.0,BG,19K273,
10480088.3431,21.0,BG,21K188,
8003233.5866,15.0,BG,15K131,
4434726.45778,13.0,SCS,13K003,2021-10-27T00:00:00.000
14845340.7466,14.0,BG,14K031,2004-09-02T00:00:00.000
4597222.43828,15.0,BG,15K295,
6969508.32985,20.0,BG,20K048,
9570695.20471,22.0,WC,22K361,2018-01-28T00:00:00.000
18468337.9174,22.0,BG,22K052,
1633767.47768,16.0,BG,16K021,2004-09-03T00:00:00.000
17961063.0314,22.0,BG,22K203,
1663048.08246,14.0,BG,14K023,2004-09-02T00:00:00.000
10264146.2817,21.0,BG,21K099,
8553239.52832,22.0,JO,"22K119,22K326",2012-05-11T00:00:00.000
6716716.55267,22.0,BG,22K198,
