job_number,bin_number,:@computed_region_f5dn_yrer,house_number,item_number,postcode
402285497,4101228,22.0,3-24,1,11357
301600701,3114866,17.0,1860,1,11225
401613287,4041163,65.0,25-27,1,11369
102194171,1034506,11.0,600,63,10020
421376727,4618887,66.0,102-12,1,11368
421616040,4032003,66.0,45-22,3,11373
121330611,1090584,57.0,160,10,10014
520139993,5134380,30.0,849,4,10306
321486860,3425883,69.0,91,2,11205
520145030,5068200,15.0,219,1,10308
123347431,1017595,71.0,90,4,10016
420650110,4005015,39.0,41-32,5,11101
322066018,3426640,36.0,135,1,11206
321937357,3023331,14.0,81,2,11215
420662189,4297496,51.0,115,4,11693
321763980,3018918,14.0,111,2,11217
102495462,1022689,11.0,725,35,10019
200884445,2117663,58.0,1551,23,10472
321174803,3095121,45.0,542,2,11208
402146986,4616960,51.0,160,5,11691
421747122,4284788,63.0,138-19,1,11422
121184798,1005359,70.0,139,16,10002
104736680,1088185,12.0,140,32,10011
122640570,1031154,20.0,74,2,10024
220139516,2080263,43.0,815,23,10465
421614872,4186800,46.0,94-27,1,11416
320916657,3022265,14.0,458,3,11215
102631555,1036232,71.0,525,29,10017
121450312,1014802,12.0,116,5,10011
220403882,2127429,34.0,432,3,10451
123582783,1080953,12.0,427,1,10019
421481480,4141909,25.0,144-33,2,11367
220527892,2005883,8.0,926,5,10459
421424676,4149598,25.0,67-14,1,11365
102495462,1022689,11.0,725,34,10019
520382988,5061795,15.0,435,1,10308
220635034,2008196,6.0,1728,1,10453
421893794,4189324,46.0,101-49,1,11416
103925219,1087263,11.0,225,63,10016
220466350,2102454,43.0,340,9,10475
421429001,4130070,22.0,23-74,1,11360
121190219,1090158,20.0,1865,2,10023
220462363,2129115,49.0,295,2,10454
101470757,1024665,11.0,234,57,10036
123203586,1089304,18.0,2239,2,10027
220240718,2119447,43.0,45,7,10464
122725818,1087268,11.0,1,5,10036
321268230,3428871,36.0,95,2,11211
122171041,1041339,23.0,20,3,10021
320917932,3425614,61.0,1317,1,11203
200821780,2001143,50.0,595,32,10451
220240665,2119435,43.0,1,13,10645
321232064,3036341,16.0,1582,1,11233
421346109,4036745,66.0,75-26,3,11373
104297681,1087721,12.0,447,44,10011
104388734,1041033,23.0,39,29,10021
121192912,1090608,71.0,200,3,10022
520389204,5018151,4.0,1918,1,10314
400036812,4001352,39.0,34-50,1,11101
321537404,3056840,68.0,38,1,11238
220654325,2006838,8.0,540,1,10474
122622910,1018087,11.0,114,7,10010
220060010,2048104,59.0,1935,1,10462
321293300,3014119,9.0,747,1,11220
220402357,2119466,43.0,61A,12,10464
120786417,1002323,56.0,396,1,10013
320204364,3000141,68.0,79,2,11201
421694697,4139103,22.0,57-33,1,11355
220208424,2129003,48.0,3440,4,10463
122729556,1001102,56.0,182,9,10038
321026144,3065007,36.0,109,1,11222
302138023,3391442,55.0,916,2,11212
103709685,1015523,11.0,55,53,10010
123673596,1037546,71.0,220,1,10017
520289401,5127497,4.0,70,2,10301
220524181,2128509,59.0,2322,1,10469
