location,longitude,block,:@computed_region_sbqj_enih,nta,census_tract,application_status_raw,lot,latitude-council_district
"{'latitude': '40.710089', 'longitude': '-74.009735'}",-74.009735,65,1.0,Battery Park City-Lower Manhattan,1502.0,Issued,7502,40.710089-1.0
"{'latitude': '40.746089', 'longitude': '-73.992576'}",-73.992576,802,7.0,Midtown-Midtown South,95.0,Issued,75,40.746089-3.0
"{'latitude': '40.82798', 'longitude': '-73.91515', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.91515,2432,27.0,East Concourse-Concourse Village,173.0,Issued,54,40.82798-16.0
"{'latitude': '40.740998', 'longitude': '-73.992234', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.992234,823,7.0,Hudson Yards-Chelsea-Flatiron-Union Square,58.0,Issued,9,40.740998-3.0
"{'latitude': '40.771278', 'longitude': '-73.966381'}",-73.966381,1385,11.0,Upper East Side-Carnegie Hill,130.0,Issued,57,40.771278-4.0
"{'latitude': '40.751365', 'longitude': '-73.938762', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.938762,415,72.0,Queensbridge-Ravenswood-Long Island City,33.0,Issued,36,40.751365-26.0
"{'latitude': '40.756023', 'longitude': '-73.974831'}",-73.974831,1284,10.0,Midtown-Midtown South,94.0,Issued,33,40.756023-4.0
"{'latitude': '40.847206', 'longitude': '-73.782606'}",-73.782606,5643,28.0,Pelham Bay-Country Club-City Island,516.0,Issued,235,40.847206-13.0
"{'latitude': '40.548537', 'longitude': '-74.150494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-74.150494,5145,76.0,Great Kills,13203.0,Issued,3,40.548537-51.0
"{'latitude': '40.762306', 'longitude': '-73.831583', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.831583,4971,67.0,Flushing,869.0,Issued,7502,40.762306-20.0
"{'latitude': '40.539104', 'longitude': '-74.144832'}",-74.144832,5303,76.0,Great Kills,15603.0,Issued,42,40.539104-51.0
"{'latitude': '40.764081', 'longitude': '-73.994271', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.994271,1076,10.0,Clinton,129.0,Issued,51,40.764081-3.0
"{'latitude': '40.729135', 'longitude': '-74.007043'}",-74.007043,600,3.0,West Village,69.0,Issued,7501,40.729135-3.0
"{'latitude': '40.765492', 'longitude': '-73.867289', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.867289,1654,73.0,East Elmhurst,371.0,Issued,5,40.765492-21.0
"{'latitude': '40.755685', 'longitude': '-73.972943'}",-73.972943,1303,9.0,Turtle Bay-East Midtown,92.0,Issued,53,40.755685-4.0
"{'latitude': '40.741492', 'longitude': '-73.896665', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.896665,1348,66.0,Elmhurst-Maspeth,483.0,Issued,7,40.741492-26.0
"{'latitude': '40.847191', 'longitude': '-73.783275'}",-73.783275,5643,28.0,Pelham Bay-Country Club-City Island,516.0,Issued,235,40.847191-13.0
"{'latitude': '40.820114', 'longitude': '-73.89229', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.89229,2735,24.0,Hunts Point,89.0,Issued,11,40.820114-17.0
"{'latitude': '40.871707', 'longitude': '-73.86716', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.86716,4595,30.0,Williamsbridge-Olinville,374.0,Issued,46,40.871707-15.0
"{'latitude': '40.720196', 'longitude': '-73.864883', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.864883,3136,70.0,Rego Park,69702.0,Issued,55,40.720196-29.0
"{'latitude': '40.769479', 'longitude': '-73.962111'}",-73.962111,1405,11.0,Upper East Side-Carnegie Hill,128.0,Issued,145,40.769479-4.0
"{'latitude': '40.760168', 'longitude': '-73.808714'}",-73.808714,5388,67.0,East Flushing,1185.0,Issued,9,40.760168-20.0
"{'latitude': '40.702057', 'longitude': '-73.984712', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.984712,55,54.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,21.0,Issued,7501,40.702057-33.0
"{'latitude': '40.783505', 'longitude': '-73.973145'}",-73.973145,1195,12.0,Upper West Side,165.0,Issued,61,40.783505-6.0
"{'latitude': '40.760018', 'longitude': '-73.984038'}",-73.984038,1001,10.0,Midtown-Midtown South,125.0,Issued,3,40.760018-4.0
"{'latitude': '40.683454', 'longitude': '-73.975691'}",-73.975691,1118,50.0,Park Slope-Gowanus,12902.0,Issued,27,40.683454-35.0
"{'latitude': '40.847276', 'longitude': '-73.783311'}",-73.783311,5643,28.0,Pelham Bay-Country Club-City Island,516.0,Issued,235,40.847276-13.0
"{'latitude': '40.688221', 'longitude': '-73.986064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-73.986064,171,54.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,41.0,Issued,206,40.688221-33.0
