job_number,location,community_board,ex_dwelling_unit,:@computed_region_92fq_4b7q,:@computed_region_efsh_h5xi,pr_dwelling_unit
321578155,"{'latitude': '40.688221', 'longitude': '-73.986064', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,,38.0,16865.0,2.0
110043471,"{'latitude': '40.729988', 'longitude': '-73.992304'}",2.0,,50.0,11724.0,
520137708,"{'latitude': '40.646101', 'longitude': '-74.078218'}",1.0,0.0,13.0,10369.0,0.0
122531420,"{'latitude': '40.817519', 'longitude': '-73.944951'}",10.0,1.0,36.0,12427.0,4.0
122032558,"{'latitude': '40.760076', 'longitude': '-73.994466', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",4.0,837.0,10.0,13094.0,837.0
110131713,"{'latitude': '40.775466', 'longitude': '-73.96483'}",8.0,32.0,51.0,10092.0,32.0
102340744,"{'latitude': '40.749979', 'longitude': '-73.995063', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",5.0,,10.0,11722.0,
104696009,"{'latitude': '40.72392', 'longitude': '-74.010282'}",1.0,,32.0,12076.0,291.0
110399827,"{'latitude': '40.715057', 'longitude': '-74.009902', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1.0,0.0,32.0,11728.0,0.0
520317522,"{'latitude': '40.538872', 'longitude': '-74.211336'}",3.0,,9.0,10696.0,1.0
220246240,"{'latitude': '40.842943', 'longitude': '-73.899211'}",3.0,,22.0,10935.0,
321191312,"{'latitude': '40.681963', 'longitude': '-73.986472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",6.0,,38.0,17619.0,
520337136,"{'latitude': '40.593099', 'longitude': '-74.074851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2.0,,14.0,10692.0,2.0
500702377,"{'latitude': '40.540851', 'longitude': '-74.154906'}",3.0,,9.0,10699.0,2.0
