latitude,longitude,job_type,issue_type,bbl,bin,c_o_issue_date,street_name
40.743023,-73.986402,A1,Temporary,1008560024.0,1016880.0,2019-08-23T00:00:00.000,MADISON AVENUE
40.668821,-73.884687,NB,Final,3040620031.0,3000000.0,2021-04-08T00:00:00.000,WARWICK STREET
40.540807,-74.206809,NB,Final,5069330004.0,5085087.0,2019-06-18T00:00:00.000,FOSTER ROAD
40.776497,-73.806024,A1,Final,4048630031.0,4110005.0,2019-03-27T00:00:00.000,24TH AVENUE
40.752825,-73.864207,A1,Final,4017690089.0,4044333.0,2019-03-28T00:00:00.000,103 STREET
40.878026,-73.855529,A1,Final,2046970028.0,2059393.0,2019-08-23T00:00:00.000,EAST  215 STREET
40.704884,-74.015927,A1,Temporary,1000157501.0,1082634.0,2019-03-27T00:00:00.000,BATTERY PLACE
40.540766,-74.206802,NB,Final,,,2019-06-18T00:00:00.000,FOSTER ROAD
40.847276,-73.783311,NB,Temporary,2056437502.0,2119452.0,2019-06-18T00:00:00.000,ISLAND POINT
40.753745,-73.929834,NB,Final,4003750005.0,4004555.0,2019-10-30T00:00:00.000,33RD STREET
40.661514,-73.984451,A1,Final,3011120029.0,3027103.0,2019-10-30T00:00:00.000,WINDSOR PLACE
40.752828,-73.996723,NB,Temporary,1007310039.0,1012844.0,2019-06-18T00:00:00.000,9 AVENUE
40.697254,-73.986015,A1,Temporary,3001180006.0,3335884.0,2019-03-28T00:00:00.000,CHAPEL ST
40.720196,-73.864883,A1,Final,4031360055.0,4073973.0,2019-08-23T00:00:00.000,65 AVENUE
40.847364,-73.783328,NB,Temporary,2056437502.0,2119454.0,2019-06-18T00:00:00.000,ISLAND POINT
40.595743,-73.793522,NB,Temporary,4160300012.0,4302544.0,2019-03-28T00:00:00.000,BEACH 64 STREET
40.807769,-73.943359,A1,Final,1017247502.0,1053599.0,2021-10-13T00:00:00.000,W. 126TH ST
40.62704,-73.923832,NB,Final,3078020019.0,3000000.0,2019-06-18T00:00:00.000,EAST 54TH STREET
40.724436,-73.999841,A1,Temporary,1005007505.0,1007651.0,2019-03-27T00:00:00.000,GREENE STREET
40.871707,-73.86716,NB,Final,2045950046.0,2115134.0,2019-08-23T00:00:00.000,WHITE PLAINS ROAD
40.542335,-74.150973,A1,Final,5052620095.0,5067114.0,2021-04-08T00:00:00.000,HILLCREST STREET
40.763114,-73.988041,A1,Temporary,1010410011.0,1082646.0,2019-08-23T00:00:00.000,WEST 50TH STREET
40.824829,-73.940711,NB,Temporary,1020450059.0,1000000.0,2019-08-23T00:00:00.000,W 148 ST
40.590779,-74.066128,NB,Temporary,5031220158.0,5046045.0,2019-03-28T00:00:00.000,FATHER CAPODANNO BOULEVARD
40.822506,-73.938455,A1,Temporary,1020320030.0,1060507.0,2019-03-28T00:00:00.000,7 AVENUE
40.688221,-73.986064,NB,Final,3001710206.0,3000000.0,2021-10-12T00:00:00.000,STATE STREET
40.729988,-73.992304,A1,Temporary,1005450026.0,1080094.0,2019-03-28T00:00:00.000,ASTOR PLACE
40.646101,-74.078218,A1,Temporary,5000020022.0,5000000.0,2019-06-18T00:00:00.000,RICHMOND TERRACE
40.817519,-73.944951,A1,Temporary,1019420057.0,1058980.0,2019-06-18T00:00:00.000,WEST 137TH STREET
40.760076,-73.994466,A1,Temporary,1010520001.0,1083746.0,2019-08-23T00:00:00.000,WEST 43RD STREET
40.775466,-73.96483,A1,Temporary,1013910072.0,1041814.0,2019-06-18T00:00:00.000,5 AVENUE
40.749979,-73.995063,A1,Temporary,1007800076.0,1014350.0,2019-08-23T00:00:00.000,EIGHTH AVENUE
40.72392,-74.010282,NB,Temporary,1002240001.0,1087707.0,2019-03-28T00:00:00.000,WASHINGTON STREET
40.715057,-74.009902,A1,Temporary,1001370001.0,1082032.0,2019-08-23T00:00:00.000,WARREN STREET
40.538872,-74.211336,NB,Final,,,2019-03-27T00:00:00.000,STAFFORD AVE
