bin_number,filing_status_raw,borough,:@computed_region_yeji_bk3q
1016880,New,Manhattan,4.0
3421802,New,Brooklyn,2.0
5085087,New,Staten Island,1.0
4110005,New,Queens,3.0
4044333,New,Queens,3.0
2059393,New,Bronx,5.0
1082634,New,Manhattan,4.0
5170438,New,Staten Island,1.0
2119452,New,Bronx,5.0
4436765,New,Queens,3.0
3027103,New,Brooklyn,2.0
1090452,New,Manhattan,4.0
3335884,New,Brooklyn,2.0
4073973,New,Queens,3.0
2119454,New,Bronx,5.0
4302544,New,Queens,3.0
1053599,New,Manhattan,4.0
3413792,New,Brooklyn,2.0
1089990,New,Manhattan,4.0
2115134,New,Bronx,5.0
5067114,New,Staten Island,1.0
1082646,New,Manhattan,4.0
1089408,New,Manhattan,4.0
5170558,New,Staten Island,1.0
1060507,New,Manhattan,4.0
3424690,New,Brooklyn,2.0
1080094,New,Manhattan,4.0
5164632,New,Staten Island,1.0
1058980,New,Manhattan,4.0
1083746,New,Manhattan,4.0
1041814,New,Manhattan,4.0
1014350,New,Manhattan,4.0
1087707,New,Manhattan,4.0
1082032,New,Manhattan,4.0
5170287,New,Staten Island,1.0
2128552,New,Bronx,5.0
3336080,New,Brooklyn,2.0
5170670,New,Staten Island,1.0
5067183,New,Staten Island,1.0
4128250,New,Queens,3.0
4297130,New,Queens,3.0
1042765,New,Manhattan,4.0
1075999,New,Manhattan,4.0
4200242,New,Queens,3.0
5170733,New,Staten Island,1.0
5050055,New,Staten Island,1.0
4171646,New,Queens,3.0
3426102,New,Brooklyn,2.0
1087918,New,Manhattan,4.0
3139122,New,Brooklyn,2.0
3128179,New,Brooklyn,2.0
1076505,New,Manhattan,4.0
4616925,New,Queens,3.0
1024706,New,Manhattan,4.0
3068515,New,Brooklyn,2.0
3124966,New,Brooklyn,2.0
1048394,New,Manhattan,4.0
5170434,New,Staten Island,1.0
1090199,New,Manhattan,4.0
1090197,New,Manhattan,4.0
4265860,New,Queens,3.0
2830873,New,Bronx,5.0
1001021,New,Manhattan,4.0
1014802,New,Manhattan,4.0
4442280,New,Queens,3.0
4173985,New,Queens,3.0
1082857,New,Manhattan,4.0
3114526,New,Brooklyn,2.0
2127130,New,Bronx,5.0
4164273,New,Queens,3.0
4315107,New,Queens,3.0
3398156,New,Brooklyn,2.0
2002197,New,Bronx,5.0
3184400,New,Brooklyn,2.0
1012268,New,Manhattan,4.0
1079072,New,Manhattan,4.0
3325834,New,Brooklyn,2.0
1041797,New,Manhattan,4.0
1000874,New,Manhattan,4.0
5164968,New,Staten Island,1.0
