court_index_number,docket_number,eviction_address,latitude,longitude,bin,bbl,executed_date,census_tract
B16600/17,98292,1088 ANDERSON AVE,40.834484,-73.925474,2003057.0,2025050011.0,2017-12-04T00:00:00.000,193.0
90531/16,20849,683 E 59TH ST  APT 3,40.637402,-73.92017,3222406.0,3079550051.0,2017-01-12T00:00:00.000,94401.0
39965/18,84388,1163 BEACH AVENUE,40.829061,-73.865724,2024272.0,2037530044.0,2018-11-13T00:00:00.000,70.0
76598/19-2,63597,105 EAST 32ND STREET,40.648182,-73.947361,3110135.0,3049030066.0,2020-01-02T00:00:00.000,824.0
316861/24,46121,40-11 25 AVE.,,,,,2025-10-21T00:00:00.000,
52252/17,346097,666 EAST 181ST STREET,40.849323,-73.888961,2012362.0,2030810048.0,2018-11-19T00:00:00.000,373.0
319052/24,22366,576 MORGAN AVENUE APT. 1L,40.724316,-73.939512,3067384.0,3026910062.0,2025-06-23T00:00:00.000,593.0
76236/16,290404,4720 40TH STREET,40.741215,-73.924791,4002693.0,4001990033.0,2017-02-14T00:00:00.000,189.0
Q302636/25,140022,61-20 GRAND CENTRAL PARKWAY,40.738412,-73.846767,4445338.0,4021620122.0,2025-11-18T00:00:00.000,747.0
315483/24,45160,120-20 MERRICK BLVD,40.684541,-73.771115,4268525.0,4123920043.0,2025-06-26T00:00:00.000,282.0
79359/18,351591,320 EAST 11TH STREET,40.729842,-73.985131,1077685.0,1004520018.0,2019-03-22T00:00:00.000,40.0
K78480/19,117714,2505 BEDFORD AVENUE,40.642216,-73.954443,3119766.0,3051900075.0,2020-02-24T00:00:00.000,790.0
55880/17-1,202776,101-43 102ND STREET,40.685402,-73.840586,4198391.0,4094200150.0,2017-11-02T00:00:00.000,112.0
305265/23,23673,2541 7TH AVENUE,40.823024,-73.938049,1079770.0,1020160050.0,2024-11-21T00:00:00.000,236.0
54602/19,94789,12 PILLING STREET 3RD FLOOR-FRONT ENTRANCE,,,,,2019-07-01T00:00:00.000,
732/19,352507,990 FREEMAN STREET,40.82964,-73.888488,2114253.0,2029930141.0,2019-08-28T00:00:00.000,12101.0
312490/23,11505,1275 LAFAYETTE AVE,40.816641,-73.888365,2005958.0,2027400039.0,2024-02-20T00:00:00.000,93.0
59786/16,328505,1342 FTELEY AVENUE,40.83317,-73.872452,2027640.0,2038710023.0,2017-02-02T00:00:00.000,64.0
311292/23,10201,89-15 144TH STREET,40.702856,-73.811594,4206678.0,4096740007.0,2025-03-26T00:00:00.000,240.0
86059/16,199865,2620 BEVERLY ROAD,40.644916,-73.952351,3119104.0,3051700010.0,2017-01-11T00:00:00.000,792.0
K70650/18,90958,865 LIBERTY AVENUE,40.677202,-73.877545,3342857.0,3041530082.0,2018-10-09T00:00:00.000,1192.0
303303/20,28836,89-53 241ST STREET,40.727165,-73.726984,4167585.0,4079890007.0,2023-06-28T00:00:00.000,1621.0
K312810/22,413580,1490 DUMONT AVENUE,40.670952,-73.86251,3395103.0,3044690001.0,2023-02-23T00:00:00.000,1208.0
