eviction_address,residential_commercial_ind,eviction_possession
35-64 84TH STREET,Residential,Possession
664-666 BAY STREET,Residential,Possession
1833 EAST 12TH ST,Residential,Possession
260 PARKHILL AVE.,Residential,Possession
173 FATHER ZEISER PLACE,Residential,Possession
105 EAST 32ND STREET,Residential,Possession
1560 UNION PORT ROAD,Residential,Possession
40 WEST 135TH STREET,Residential,Possession
30 FAIRVIEW AVENUE,Residential,Possession
1675 STERLING PLACE,Residential,Possession
70-34 67TH STREET,Residential,Possession
1700 CARROLL STREET,Residential,Possession
20 ST. PAULS COURT,Residential,Possession
493 CHESTNUT STREET,Residential,Possession
8754 17TH AVENUE,Residential,Possession
2332 TIEBOUT AVENUE,Residential,Possession
1269 GRAND CONCOURSE,Residential,Possession
127 EAST 183RD  STRE ET AKA 2301 CRESTON AVENUE,Commercial,Possession
97-33 83RD STREET,Residential,Possession
990 FREEMAN STREET,Residential,Possession
"754 ONDERDONK AVE.,",Residential,Possession
38 SIXTH AVENUE,Residential,Possession
375 EAST MOSHOLU PKW Y N.,Residential,Possession
1573 REMSEN AVENUE,Residential,Possession
725 SOUTHERN BOULEVA RD,Residential,Possession
45 WEST 132ND ST,Residential,Possession
2138 WALLACE AVENUE,Residential,Possession
576 MORGAN AVENUE APT. 1L,Residential,Possession
3017 PAULDING AVENUE,Residential,Possession
72-34 45TH AVE,Residential,Possession
571 VAN SICLEN AVE,Residential,Possession
865 LIBERTY AVENUE,Commercial,Possession
123 EAST 96TH STREET,Residential,Possession
109-59 198TH STREET,Residential,Possession
1095 BUSHWICK AVENUE (A/K/A 53 WOODBINE STREET),Residential,Possession
955 AMSTERDAM AVENUE AKA 174 W. 107TH ST,Residential,Possession
125 WEST 112TH STREET,Residential,Possession
72-10 37TH AVENUE,Commercial,Possession
2474 VALENTINE AVE,Residential,Possession
69-10 YELLOWSTONE BLVD.,Commercial,Possession
735 LINCOLN AVENUE,Residential,Possession
12-21 31ST AVENUE,Residential,Possession
140-33 34TH AVENUE,Residential,Possession
110 GREENE STREET,Commercial,Possession
1523 LELAND AVENUE,Residential,Possession
3030 HEATH AVENUE,Residential,Possession
"1285 BEACH AV-BKA WHSE UNIT 102-15, ST VAULT",Commercial,Possession
25-41 30TH ROAD,Residential,Possession
