court_index_number,eviction_apt_num,eviction_zip,council_district,marshal_last_name
0307055/22,3D,11106,22.0,Smith
K80842/19,3B,11221,,Rivera
B320760/23,10B,10468,14.0,Barone
312644/23-,C-2,11214,43.0,"Essock, Jr."
K55792/19A,A5,11226,45.0,Barone
71540/19,CAR WASH,11235,48.0,Grossman
78623/17,,10018,3.0,Guida
90445/18C,2,11220,38.0,Grossman
68873/19,UNIT 19B,10022,4.0,Daley
77926/17,2L,11385,34.0,Chevlowe
51565/17,1ST FLR.,11416,32.0,Guida
64955/18,4R,11220,38.0,Grossman
318883/22,UNIT: OFFICE UNIT B,11372,25.0,Smith
39965/18,3C,10472,18.0,Grossman
302199/24B,-,10312,51.0,Grossman
K307511/22,1K,11214,47.0,McCoy
310420/23,2807,11109,26.0,"Essock, Jr."
900262/18,.,10453,16.0,Weinheim
79359/18,408,10003,2.0,Bia
66401/19,6J,11102,22.0,Chevlowe
329083/23A,2C,10457,15.0,Kemp
327449/23B,SECOND FLOOR,10472,18.0,Rivera
338676/24,,10458,15.0,Renzulli
B348739/23,5D,10458,11.0,Rivera
304248/23,# A,11367,24.0,Guida
316861/24,10,11103,,Guida
56928/19,4A,11354,20.0,Guida
309529/25,6B,10030,9.0,Guida
Q075911/17,3T,11355,20.0,McCoy
308326/21,3E,10452,16.0,Daley
64758/17,5F,10452,8.0,Daley
72008/17,,11422,31.0,Blake
351976/23,STORAGE,10469,12.0,Grossman
50315/23,,11207,42.0,Schain
K90318/16A,6,11207,42.0,Barone
N309103/22,3C,10026,9.0,McCoy
K74943/19,611,11217,35.0,Rivera
52802/18,14,10128,5.0,Weinheim
55351/20,,11691,31.0,Guida
316099/23,,10455,8.0,"Essock, Jr."
303303/20,1ST FLOOR,11426,23.0,Guida
321982/23,,11208,,Smith
Q302636/25,PARKING SPACE #210,11375,29.0,Barone
58808/18-2,1B,10463,14.0,"Essock, Jr."
304173/21,1C,10456,17.0,Renzulli
K077963/19,14A,11208,42.0,McCoy
B319823/22,D23,10463,11.0,Barone
78191/18,33/34,10027,7.0,Bia
302424/22B,"1ST FL, 2ND FL",10312,51.0,Rivera
306534/23-,2B,11420,,"Essock, Jr."
352131/23A,3A,10461,,Grossman
Q71265/16,,11385,30.0,Rivera
43116/19,2ND FL,10465,,Renzulli
B304837/20,5C,10457,16.0,McCoy
74095/16,*,10034,,Weinheim
329036/22,3E,10459,17.0,Smith
316303/23,,11420,28.0,Guida
316102/23,,10455,8.0,"Essock, Jr."
K311250/22,6A,11230,48.0,McCoy
55914/17,14C,11691,31.0,Essock
K50265/17,1L,11237,37.0,Rivera
329332/22,,11231,38.0,Pagnotta
305510/22,,10035,,Guida
K78480/19,1H,11226,45.0,Barone
B61244/18,,10460,18.0,Barone
301228/23N,3D,10040,10.0,Grossman
K73439/17,1C,11207,42.0,Barone
50762/17,2A,10302,49.0,Daley
310931/24,3G,11435,24.0,Grossman
305554/24,4A,11225,40.0,Rose
28808/18A,UNIT 1C,10467,15.0,Weinheim
305265/23,17B,10039,9.0,Smith
34815/17A,B40,10458,15.0,Weinheim
300274/22,SUITE 1200,10012,1.0,Grossman
82092/19A,5,11213,35.0,Grossman
15235/18,#03A,10001,3.0,Chevlowe
B053658/17,4G,10473,18.0,McCoy
52252/17,3-D,10457,15.0,Bia
732/19,3,10459,17.0,Bia
313374/22,2K,11203,41.0,Grossman
319052/24,1L,11222,33.0,Renzulli
311721/21,2ND FLOOR,10465,13.0,Grossman
51955/16,1,10462,15.0,Bia
326273/24,2A,11229,48.0,Rose
79890/17-2,4O,11226,40.0,Capuano
N067061/19,13E,10039,9.0,McCoy
75156/16,1,11411,27.0,Blake
11940/18,02H,11354,20.0,Guida
310219/22,-,11412,27.0,Grossman
54110/17,BSMT,11203,41.0,Rose
313055/24,2E,10025,7.0,Smith
13991/19,E07,10472,18.0,Grossman
50292/18,#41,10033,10.0,Renzulli
306483/23A,C9,10452,16.0,Grossman
K304869/20,4A,11208,42.0,McCoy
Q66326/17,,11416,32.0,Rivera
62350/18,"REAR APT, 2ND FL",11436,28.0,Daley
53365/19,3-U,11372,25.0,Guida
250701/17,7D,10037,9.0,Chevlowe
B56553/17B,CELLAR APARTMENT,10469,12.0,Barone
K312810/22,PARKING SPACE #18,11208,42.0,McCoy
76598/19-2,,11226,45.0,Schain
59786/16,2ND FLOOR,10472,18.0,Bia
N084012/16,5C,10030,9.0,McCoy
74513/17,3,11221,36.0,Powell
K69131/17A,2,11206,36.0,Barone
1780/16,D6,10473,18.0,Weinheim
901298/16,& BSMT,10472,,Villanueva
0000178/24,,11213,41.0,Schain
303820/23,,11221,,Pagnotta
64497/19,202,11375,29.0,Guida
22066/18,1-A,10468,14.0,Weinheim
57718/18,1R,11212,42.0,Schain
343085/24,GROUND FLOOR RETAIL,10468,14.0,Grossman
61547/17,4A,10028,5.0,Renzulli
N314276/23,1E,10031,9.0,Barone
B046953/17,2B,10456,16.0,McCoy
305374/21,1B,10461,13.0,Daley
5605/18,D10,10467,,Weinheim
309257/23B,1A,10453,14.0,Grossman
319172/24,1,11103,26.0,Capuano
54602/19,,11207,,Daley
51693/18,2A,10304,49.0,Giachetta
334518/22,ALL ROOMS,10469,12.0,Bia
30009/17,2,10469,12.0,Bia
305843/23,6B,10468,14.0,"Essock, Jr."
69263/19,5A A/K/A APT 5B,10019,,Daley
Q50618/17B,RESTAURANT,11411,,Rivera
50919/18,1K,10301,49.0,Giachetta
349801/23,6G,10458,15.0,Giglio
315483/24,,11434,27.0,Guida
45084/18,2,10466,11.0,Bia
74669/16,3J,10032,7.0,Bia
K67552/18,,11236,46.0,Rivera
64697/18,2D,10009,2.0,Weinheim
72611/19,2B,11226,40.0,Guida
12755/17A,5-F,10458,11.0,Grossman
084492/17,1ST FL,11207,42.0,Daley
61068/17,5B,11377,26.0,Essock
11717/18,3-C,10452,16.0,Bia
97206/16,D5,11212,41.0,Grossman
300144/24,1F,11212,41.0,Grossman
90531/16,BSMT,11234,45.0,Rose
52040/16,5B,10451,17.0,Weinheim
330250/24,4L,10451,16.0,Giglio
B054504/16,F10,10468,14.0,McCoy
86059/16,2B,11226,40.0,Capuano
B015860/19,54,10463,11.0,McCoy
B318312/23,269,10462,13.0,McCoy
67974/19,,10013,,Renzulli
B804549/15,08E,10466,12.0,McCoy
74394/17,5,10036,4.0,"Essock, Jr."
K326827/22,7V,11214,47.0,McCoy
303757/23,2R,11435,28.0,Guida
310114/23,B5,10468,14.0,Smith
55880/17-1,,11416,32.0,Capuano
300588/24,2,11385,30.0,Renzulli
321004/23,4J,10451,17.0,Smith
87248/16A,TOP DUPLEX,11233,41.0,Grossman
300724/23,11A,10037,9.0,Rose
72786/10,,11434,31.0,Guida
R 50141/17,,10304,49.0,Powell
17123/16,06E,10128,5.0,Kemp
302002/23,MAIN LEVEL AND BASE+,10303,49.0,Giachetta
B037531/17,3,10455,8.0,McCoy
86877/17,LEFT ROOM,11208,42.0,Grossman
0308708/25,,11368,,Smith
331528/22,503,10463,14.0,Renzulli
349153/23,# 3A,10462,18.0,Guida
312490/23,3F,10474,17.0,Smith
Q304065/23,1C,11377,26.0,Smith
K70650/18,ENTIRE LOT & GARAGE,11208,37.0,Rivera
250703/18,1-L,10037,9.0,Chevlowe
315961/24,4L,10461,13.0,Giglio
B021984/17,2P,10472,17.0,McCoy
0313652/23,D1,11219,38.0,Smith
306966/23,# 2J,11692,31.0,Guida
B304865/21,APT BS,10467,15.0,Rivera
K84122/18,4F,11207,37.0,Rivera
76236/16,6E,11104,26.0,Essock
321358/23,,11223,47.0,Guida
39891/18,3K,10455,,Weinheim
075040/17,55,10034,10.0,Capuano
324856/23,2-F,10034,10.0,Rose
77441/17,1H,11377,30.0,Guida
50378/18,1-I,10040,10.0,"Essock, Jr."
311537/23,,11385,30.0,Capuano
311292/23,3H,11435,24.0,Smith
51067/22,2B,11221,34.0,Schain
K76368/16,,11212,42.0,Rivera
7557/19,3I,10451,17.0,Daley
300046/20,,11354,20.0,Guida
99298/17,STORE #3,11203,45.0,Grossman
305468/23,2,11214,47.0,Renzulli
901511/16,,10451,,Villanueva
67426/18,2-A,10026,9.0,Bia
B16600/17,4B,10452,8.0,Barone
51900/18,6D,11210,45.0,Daley
69610/18,24E,10018,3.0,Capuano
K99396/15,2C,11207,42.0,Rivera
