docket_number,borough
23976,QUEENS
68372,STATEN ISLAND
36989,BROOKLYN
76885,STATEN ISLAND
373493,BRONX
63597,BROOKLYN
38773,BRONX
114085,MANHATTAN
116927,MANHATTAN
71244,BROOKLYN
74106,QUEENS
64910,BROOKLYN
35854,BROOKLYN
74352,BROOKLYN
25567,BROOKLYN
5531,BRONX
118629,BRONX
146234,BRONX
83478,QUEENS
352507,BRONX
114035,QUEENS
100567,BROOKLYN
480586,BRONX
89840,BROOKLYN
486244,BRONX
110019,MANHATTAN
415726,BRONX
22366,BROOKLYN
101950,BRONX
15942,QUEENS
79491,BROOKLYN
90958,BROOKLYN
137178,BROOKLYN
110523,QUEENS
101543,BROOKLYN
25599,MANHATTAN
412871,MANHATTAN
11602,QUEENS
472547,BRONX
25165,QUEENS
408575,BROOKLYN
13472,QUEENS
40431,QUEENS
107690,MANHATTAN
113324,BRONX
15399,BRONX
321018,BRONX
117321,QUEENS
38236,QUEENS
412729,BROOKLYN
18168,BROOKLYN
408408,MANHATTAN
31716,MANHATTAN
121375,BRONX
64524,BROOKLYN
18093,BROOKLYN
388166,QUEENS
64138,BROOKLYN
86788,QUEENS
9976,MANHATTAN
347290,MANHATTAN
346097,BRONX
213185,QUEENS
98292,BRONX
413580,BROOKLYN
116234,BROOKLYN
114970,BRONX
61814,BROOKLYN
95547,BROOKLYN
25087,QUEENS
16042,BRONX
65602,BRONX
23999,BRONX
29109,MANHATTAN
80590,STATEN ISLAND
206640,MANHATTAN
121969,BRONX
364789,BRONX
45160,QUEENS
76698,STATEN ISLAND
483271,MANHATTAN
126348,MANHATTAN
461943,BRONX
117714,BROOKLYN
349418,BRONX
6860,BRONX
108580,STATEN ISLAND
414770,BRONX
118211,BROOKLYN
376305,MANHATTAN
119994,BRONX
73879,BROOKLYN
329271,MANHATTAN
404637,BRONX
7248,QUEENS
106039,BRONX
37119,QUEENS
344287,BRONX
100829,MANHATTAN
290404,QUEENS
8983,BROOKLYN
23673,MANHATTAN
89696,BROOKLYN
293488,QUEENS
99244,BROOKLYN
78477,BRONX
46121,QUEENS
320515,BRONX
98806,BROOKLYN
8121,QUEENS
2960,QUEENS
105849,MANHATTAN
108049,BRONX
8873,MANHATTAN
380947,BRONX
1829,BRONX
32071,MANHATTAN
33980,MANHATTAN
211534,QUEENS
81992,BROOKLYN
27428,BRONX
202776,QUEENS
143737,QUEENS
16117,QUEENS
482260,BRONX
146629,STATEN ISLAND
328505,BRONX
22668,QUEENS
93521,BROOKLYN
16076,BRONX
107980,BROOKLYN
386335,BRONX
351591,MANHATTAN
7254,BRONX
33565,BROOKLYN
384990,BRONX
9170,QUEENS
103339,BROOKLYN
204148,MANHATTAN
459639,BRONX
105797,BRONX
20628,QUEENS
20849,BROOKLYN
413314,BROOKLYN
204651,BROOKLYN
23028,BROOKLYN
32629,BROOKLYN
40106,QUEENS
298,BROOKLYN
15619,BRONX
482188,BRONX
414110,BROOKLYN
24263,BRONX
78197,BROOKLYN
140022,QUEENS
351119,MANHATTAN
96564,BRONX
77318,QUEENS
199865,BROOKLYN
10201,QUEENS
484858,BRONX
94985,BRONX
292775,QUEENS
24261,BRONX
415477,BROOKLYN
82306,BROOKLYN
9696,BRONX
23701,QUEENS
490972,MANHATTAN
56574,MANHATTAN
94789,BROOKLYN
200,BROOKLYN
9919,MANHATTAN
92580,BROOKLYN
10034,BRONX
31753,QUEENS
8102,BRONX
105379,BRONX
35448,QUEENS
461613,MANHATTAN
125326,BRONX
147244,BRONX
354750,BRONX
25805,QUEENS
135242,BRONX
73010,STATEN ISLAND
84388,BRONX
6107,MANHATTAN
33437,QUEENS
384087,BRONX
114819,MANHATTAN
329258,BRONX
28836,QUEENS
59620,BROOKLYN
94392,BROOKLYN
14225,MANHATTAN
69212,BROOKLYN
335342,BRONX
11505,BRONX
12115,MANHATTAN
