donation_id,year_of_donation,elected_official,donor_s_city_of_residence,restricted_or_unrestricted
CH9-20241107-0001,2024,Mayor - Eric Adams,New York City,Unrestricted
CH9-20241231-0024,2024,Mayor - Eric Adams,Oaks,Unrestricted
CH9-20241217-0006,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241212-0009,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241127-0006,2024,Mayor - Eric Adams,New Preston,Unrestricted
CH9-20241212-0005,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241212-0007,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241202-0010,2024,Mayor - Eric Adams,Westchester,Unrestricted
CH9-20241105-0036,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241204-0001,2024,Mayor - Eric Adams,Elmhurst,Unrestricted
CH9-20241114-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241121-0002,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241231-0025,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241112-0001,2024,Mayor - Eric Adams,Oyster Bay,Unrestricted
CH9-20241211-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241204-0006,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241105-0029,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241202-0004,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241206-0007,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241203-0002,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241202-0009,2024,Mayor - Eric Adams,Newark,Unrestricted
CH9-20241231-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241115-0004,2024,Mayor - Eric Adams,Studio City,Unrestricted
CH9-20241105-0032,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241220-0008,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241122-0001,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241106-0002,2024,Mayor - Eric Adams,Los Angeles,Unrestricted
CH9-20241212-0006,2024,Mayor - Eric Adams,Brooklyn,Unrestricted
CH9-20241125-0003,2024,Mayor - Eric Adams,Warren,Unrestricted
CH9-20241202-0006,2024,Mayor - Eric Adams,Newark,Unrestricted
CH9-20241121-0001,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241231-0013,2024,Mayor - Eric Adams,Tulsa,Unrestricted
CH9-20241219-0002,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241206-0004,2024,Mayor - Eric Adams,Washington,Unrestricted
CH9-20241218-0011,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241118-0001,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241205-0002,2024,Mayor - Eric Adams,Staten Island,Unrestricted
CH9-20241220-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241212-0010,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241227-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241212-0002,2024,Mayor - Eric Adams,Brooklyn,Unrestricted
CH9-20241110-0001,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241120-0001,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241202-0001,2024,Mayor - Eric Adams,Cincinnati,Unrestricted
CH9-20241204-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241205-0008,2024,Mayor - Eric Adams,Fairfiled,Unrestricted
CH9-20241205-0006,2024,Mayor - Eric Adams,Boston,Unrestricted
CH9-20241218-0007,2024,Mayor - Eric Adams,Universal City,Unrestricted
CH9-20241212-0008,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241127-0002,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241125-0001,2024,Mayor - Eric Adams,New York City,Unrestricted
CH9-20241231-0014,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241114-0001,2024,Mayor - Eric Adams,Battle Creek,Unrestricted
CH9-20241113-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241206-0002,2024,Mayor - Eric Adams,New York City,Unrestricted
CH9-20241204-0007,2024,Mayor - Eric Adams,Greenville,Unrestricted
CH9-20241205-0004,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241218-0006,2024,Mayor - Eric Adams,Long Island City,Unrestricted
CH9-20241115-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241220-0007,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241105-0030,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241216-0001,2024,Mayor - Eric Adams,Long Beach,Unrestricted
CH9-20241126-0003,2024,Mayor - Eric Adams,Jenkintown,Unrestricted
CH9-20241231-0002,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241204-0005,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241121-0003,2024,Mayor - Eric Adams,New York,Unrestricted
CH9-20241127-0005,2024,Mayor - Eric Adams,Sanford,Unrestricted
