of_students_assigned_to_2,march_2019_service_type,grade,june_2019_service_type,grade_4,february_2019_service_type,school_type_5,school_type_1
139,Door to Door,6,Door to Door,6,Door to Door,Public,Public
657,Stop to School,3,Stop to School,3,Stop to School,Public,Public
153,Door to Door,3,Door to Door,3,Door to Door,Public,Public
110,Door to Door,0K,Door to Door,0K,Door to Door,Public,Public
644,Stop to School,4,Stop to School,4,Stop to School,Public,Public
1,Stop to School,7,Stop to School,7,Stop to School,Non-Public,Non-Public
82,Door to Door,NG,Door to Door,NG,Door to Door,Public,Public
11,Door to Door,2,Door to Door,2,Door to Door,Non-Public,Non-Public
43,Door to Door,12,Door to Door,12,Door to Door,Public,Public
3,Door to Door,1,Door to Door,1,Door to Door,Non-Public,Non-Public
7,Door to Door,4,Door to Door,4,Door to Door,Non-Public,Non-Public
124,Door to Door,1,Door to Door,1,Door to Door,Public,Public
4,Door to Door,8,Door to Door,8,Door to Door,Non-Public,Non-Public
96,Door to Door,7,Door to Door,7,Door to Door,Public,Public
1,Door to Door,11,Door to Door,11,Door to Door,Non-Public,Non-Public
1468,Total Door to Door Students,,Total Door to Door Students,,Total Door to Door Students,,
