permithousenumber,boroughname,permittotalsqfeet
,,
,,
,,
,QUEENS,100.0
,MANHATTAN,
,,
,QUEENS,100.0
,QUEENS,12.0
,MANHATTAN,
,,
167-11,QUEENS,279.0
,MANHATTAN,
,MANHATTAN,
,,
,,
,,
,,
,,
73 99,MANHATTAN,
,,
,,
,,
137-47,QUEENS,200.0
,,
,QUEENS,
,,
,MANHATTAN,
,,
,MANHATTAN,
,,
,BROOKLYN,
,MANHATTAN,
,MANHATTAN,
,,
,BROOKLYN,
,MANHATTAN,
,MANHATTAN,
,,
,,
,,
232-04,QUEENS,30.0
,,
,,
,,
,MANHATTAN,
,,
137-47,QUEENS,200.0
23-70,QUEENS,200.0
,QUEENS,217.0
,MANHATTAN,265.0
,QUEENS,108.0
,MANHATTAN,
,,
,MANHATTAN,
,QUEENS,300.0
,,
,,
23-70,QUEENS,200.0
,,
,,
,,
,,
1190,MANHATTAN,
,QUEENS,95.0
,MANHATTAN,
,BROOKLYN,
23-70,QUEENS,70.0
,,
,BROOKLYN,
,QUEENS,95.0
,QUEENS,217.0
,QUEENS,300.0
,,
,,
,QUEENS,100.0
,MANHATTAN,
137-47,QUEENS,20.0
,,
,BROOKLYN,
144-59,QUEENS,40.0
167-40,QUEENS,100.0
,BROOKLYN,
,QUEENS,
,MANHATTAN,
,MANHATTAN,
,QUEENS,95.0
,,
167-11,QUEENS,279.0
,QUEENS,220.0
,,
137-47,QUEENS,10.0
,,
,,
,,
,QUEENS,60.0
,,
,,
,,
,MANHATTAN,
,,
,,
,BROOKLYN,
,,
,QUEENS,40.0
,QUEENS,80.0
,,
,MANHATTAN,
,MANHATTAN,265.0
,,
75,MANHATTAN,
,,
,MANHATTAN,
1190,MANHATTAN,
1190,MANHATTAN,
,,
,,
,,
,,
67-12,QUEENS,500.0
,MANHATTAN,
,,
,QUEENS,300.0
,,
,,
,,
,QUEENS,95.0
,BROOKLYN,
67-12,QUEENS,100.0
,MANHATTAN,
,,
73 99,MANHATTAN,
,MANHATTAN,
1,MANHATTAN,
,MANHATTAN,
,,
,,
,QUEENS,
,BROOKLYN,
,QUEENS,
,QUEENS,
,QUEENS,300.0
,,
,,
,,
,,
,MANHATTAN,
,,
,QUEENS,100.0
,,
,,
,MANHATTAN,
67-12,QUEENS,250.0
,MANHATTAN,
,QUEENS,80.0
167-40,QUEENS,10.0
,,
,,
,,
,,
,QUEENS,192.0
39 1/2,MANHATTAN,
,QUEENS,1.0
,,
,,
,BROOKLYN,
23-70,QUEENS,110.0
,BROOKLYN,
,MANHATTAN,
1,MANHATTAN,
,,
,,
,QUEENS,40.0
,,
,,
,,
,MANHATTAN,
,,
,,
,,
,,
,,
,,
,QUEENS,300.0
,,
,MANHATTAN,
,,
360,MANHATTAN,
67-12,QUEENS,50.0
,MANHATTAN,
,MANHATTAN,
,,
,QUEENS,400.0
,MANHATTAN,
,,
,,
,,
,BROOKLYN,
,BROOKLYN,600.0
,,
,,
