fromstreetname,permitnumberofzones,pavementshortdesc,permitestimatednumberofcuts
WEST  165 STREET,,ASPHALT,
,1.0,,
,1.0,,
49 STREET,1.0,ASPHALT,1.0
FORBELL STREET,1.0,ASPHALT,1.0
132 STREET,2.0,ASPHALT,1.0
132 STREET,2.0,ASPHALT,1.0
34 AVENUE,1.0,ASPHALT,1.0
,1.0,,
,,,
,1.0,,
,1.0,,
CONVENT AVENUE,1.0,,
,1.0,,
175 STREET,1.0,ASPHALT,1.0
,1.0,,
,1.0,,
WEST  165 STREET,,ASPHALT,
68 STREET,1.0,ASPHALT,1.0
CONVENT AVENUE,1.0,ASPHALT,
144 DRIVE,1.0,ASPHALT,1.0
146 AVENUE,1.0,ASPHALT,1.0
,1.0,,
,1.0,,
,1.0,,
,1.0,,
176 STREET,1.0,ASPHALT,1.0
MAC DOUGAL STREET,1.0,,
29 STREET,1.0,,6.0
,,,
,1.0,,
AVENUE T,1.0,,1.0
BROOKLYN QNS EXPRESSWAY,1.0,ASPHALT,1.0
NEPTUNE AVENUE,1.0,,
9 AVENUE,,ASPHALT,
STATE STREET,,,
,1.0,,
,1.0,,
144 DRIVE,1.0,ASPHALT,1.0
,1.0,,
,1.0,,
,1.0,,
WEST  169 STREET,1.0,ASPHALT,
,1.0,,
,,,
,1.0,,
,1.0,,
,1.0,,
,1.0,,
132 STREET,1.0,ASPHALT,1.0
,1.0,,
EAST   59 STREET,1.0,ASPHALT,
,,,
HAMILTON TERRACE,1.0,,
68 STREET,1.0,ASPHALT,1.0
9 AVENUE,,ASPHALT,
BOWLING GREEN,,,
,1.0,,
132 STREET,2.0,ASPHALT,1.0
9 AVENUE,,,
,1.0,,
,,,
,1.0,,
FORBELL STREET,1.0,ASPHALT,1.0
8 AVENUE,1.0,,
,1.0,,
,1.0,,
