issuedworkenddate,issuedworkstartdate,permitseriesid,onstreetname,modifiedon,permitlocationcomments,permittypedesc,permitlinearfeet
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1994-12-08T00:00:00.000,1994-11-09T00:00:00.000,1,135 AVENUE,2013-12-14T21:03:08.000,,REPAIR SEWER,40.0
1993-12-12T00:00:00.000,1993-11-13T00:00:00.000,2,PARK AVENUE,2013-12-14T21:03:08.000,ON THE SOUTH BLDG. ROAD AT GRAND CENTRAL TERMINAL.,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1994-10-14T00:00:00.000,1994-09-15T00:00:00.000,1,135 AVENUE,2013-12-14T21:03:08.000,,REPAIR SEWER,50.0
1995-07-30T00:00:00.000,1995-07-20T00:00:00.000,1,LIBERTY AVENUE,2013-12-14T21:03:08.000,,FUEL OIL LINE,18.0
1996-11-17T00:00:00.000,1996-10-16T00:00:00.000,2,WEST   49 STREET,2013-12-14T21:03:08.000,,OCCUPANCY OF SIDEWALK AS STIPULATED,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1995-08-13T00:00:00.000,1995-08-09T00:00:00.000,1,146 AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",279.0
1993-03-29T00:00:00.000,1992-12-21T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,PLACE MATERIAL ON STREET,
1992-07-11T00:00:00.000,1992-06-11T00:00:00.000,2,1 AVENUE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SUBPOENAS,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-08-21T00:00:00.000,1992-07-21T00:00:00.000,4,WATTS STREET,2013-12-14T21:03:08.000,,REPAIR SIDEWALK,163.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1995-01-17T00:00:00.000,1994-12-23T00:00:00.000,1,168 STREET,2013-12-14T21:03:08.000,,PAVE STREET-W/ ENGINEERING & INSP FEE,100.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1995-07-22T00:00:00.000,1995-06-23T00:00:00.000,1,20 AVENUE,2013-12-14T21:03:08.000,,"RESET, REPAIR OR REPLACE CURB",300.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1995-11-18T00:00:00.000,1995-10-18T00:00:00.000,1,EAST   21 STREET,2013-12-14T21:03:08.000,,VAULT CONSTRUCTION OR ALTERATION-PROT,100.0
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - MINOR SALES,
1993-03-29T00:00:00.000,1992-12-21T00:00:00.000,2,ST NICHOLAS TERRACE,2013-12-14T21:03:08.000,,PLACE CONTAINER ON THE STREET,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1995-03-15T00:00:00.000,1995-02-22T00:00:00.000,2,ALBANY AVENUE,2013-12-14T21:03:08.000,,CROSSING SIDEWALK,
1992-04-29T00:00:00.000,1992-03-30T00:00:00.000,2,WEST   30 STREET,2013-12-14T21:03:08.000,,PLACE CRANE OR SHOVEL ON STREET,
1992-07-08T00:00:00.000,1992-04-10T00:00:00.000,2,WHITEHALL STREET,2013-12-14T21:03:08.000,,PLACE EQUIPMENT OTHER THAN CRANE OR SHOV,
,,0,,2013-12-14T21:03:08.000,,MISCELLANEOUS - SEARCHES,
1992-11-30T00:00:00.000,1992-08-20T00:00:00.000,1,BAY   44 STREET,2013-12-14T21:03:08.000,,LAND FILL,486.0
1992-07-11T00:00:00.000,1992-06-11T00:00:00.000,2,RIVERSIDE DRIVE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
1992-06-21T00:00:00.000,1992-05-22T00:00:00.000,2,1 AVENUE,2013-12-14T21:03:08.000,,OCCUPANCY OF ROADWAY AS STIPULATED,
