nextpermitnumber,specificstipulations,permittypeid,permitpurposecomments,oftcode,createdon,tostreetname
,,0041,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0114,,Q22190Q21940Q22120,2013-12-14T21:03:08.000,133 STREET
M021993312008,SEE VARIANCE# 2147,0204,,M27790M17830M17910,2013-12-14T21:03:08.000,EAST   46 STREET
,,0031,,,2013-12-14T21:03:08.000,
,__REISSUE PERMIT # Q01-94216070,0114,,Q22190Q21940Q22120,2013-12-14T21:03:08.000,133 STREET
,,0116,,Q53790Q19090Q59450,2013-12-14T21:03:08.000,POWER ROAD
M021996292002,SEE MP125,0215,,M34750M10410M10510,2013-12-14T21:03:08.000,6 AVENUE
,,0031,,,2013-12-14T21:03:08.000,
,,0118,,423030424390424395,2013-12-14T21:03:08.000,167 PLACE
,PREVIOUS M02-92255-006,0201,,M31390M15910M36470,2013-12-14T21:03:08.000,WEST  135 STREET
M021992231004,,0211,,M10010M18170M18190,2013-12-14T21:03:08.000,EAST   60 STREET
,,0031,,,2013-12-14T21:03:08.000,
M001996324002,,0031,,,2013-12-14T21:03:08.000,
,,0021,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0401,,133590123190132685,2013-12-14T21:03:08.000,VARICK STREET
,2 FEES @ 15.00 EACH,0041,,,2013-12-14T21:03:08.000,
,FOE CHECK #4511-AMT 633.00,0041,,,2013-12-14T21:03:08.000,
,,0031,,,2013-12-14T21:03:08.000,
,,0119,,424490422390422670,2013-12-14T21:03:08.000,140 AVENUE
,FEE FOR EMERGENCY PERMIT # B0192169-021-061792,0041,,,2013-12-14T21:03:08.000,
,,0118,,406440422040467656,2013-12-14T21:03:08.000,WHITESTONE EXPRESSWAY
,,0041,,,2013-12-14T21:03:08.000,
,,0117P,* MOS25841,117410121602000000,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0214,,M31390M15910M36470,2013-12-14T21:03:08.000,WEST  135 STREET
,,0031,,,2013-12-14T21:03:08.000,
B021995060002,,0202,,B12130B74230B93830,2013-12-14T21:03:08.000,WINTHROP STREET
M021992114004,,0203,,M34370M10910M11010,2013-12-14T21:03:08.000,10 AVENUE
,U.S.CUSTOMS HOUSE/INSTALL PER BLD DEPT STANDARDS,0204,,M45340M13465M13550,2013-12-14T21:03:08.000,BRIDGE STREET
,,0031,"494-96A 16 ST, 121 E 38 ST, 1233 E 85 ST, 47 JEFF- ERSON AV, 1518 PUTNAM AV",,2013-12-14T21:03:08.000,
B011992233009,,0130,,317150332600377030,2013-12-14T21:03:08.000,SHORE PARKWAY
M021992231008,,0211,,M29690M36510M36550,2013-12-14T21:03:08.000,WEST  139 STREET
M021992167026,,0211,,M10010M17790M17950,2013-12-14T21:03:08.000,EAST   48 STREET
,SEE PERMIT-B01-92-260-078,0041,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
,,0041,,,2013-12-14T21:03:08.000,
