permitseriesshortdesc,permitissuedate,sidewalkshortdesc,previouspermitnumber,permitstatusid
MISCELLANEOUS CASH RECEIPTS,1992-12-08T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-10-05T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-04-24T00:00:00.000,,,6
STREET OPENING PERMIT,1994-11-09T00:00:00.000,CONCRETE,,15
BUILDING OPERATION PERMIT,1993-11-05T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-07-24T00:00:00.000,,,6
STREET OPENING PERMIT,1994-09-15T00:00:00.000,CONCRETE,,15
STREET OPENING PERMIT,1995-07-20T00:00:00.000,CONCRETE,,15
BUILDING OPERATION PERMIT,1996-10-16T00:00:00.000,CONCRETE,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-03T00:00:00.000,,,6
STREET OPENING PERMIT,1995-08-09T00:00:00.000,CONCRETE,,15
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,,M021992353006,30
BUILDING OPERATION PERMIT,1992-06-10T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1996-11-18T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-06-29T00:00:00.000,,,906
MISCELLANEOUS CASH RECEIPTS,1992-07-24T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-05-28T00:00:00.000,,,6
SIDEWALK CONSTRUCTION PERMIT,1992-07-20T00:00:00.000,CONCRETE,,30
MISCELLANEOUS CASH RECEIPTS,1992-08-10T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-07-09T00:00:00.000,,,6
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
STREET OPENING PERMIT,1994-12-23T00:00:00.000,,,15
MISCELLANEOUS CASH RECEIPTS,1992-06-17T00:00:00.000,,,6
STREET OPENING PERMIT,1995-06-23T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-04-24T00:00:00.000,,,6
STREET OPENING PERMIT,1995-10-10T00:00:00.000,CONCRETE,,15
MISCELLANEOUS CASH RECEIPTS,1992-12-23T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1992-12-18T00:00:00.000,,M021992353008,30
MISCELLANEOUS CASH RECEIPTS,1992-06-01T00:00:00.000,,,6
BUILDING OPERATION PERMIT,1995-02-22T00:00:00.000,CONCRETE,,906
BUILDING OPERATION PERMIT,1992-03-30T00:00:00.000,CONCRETE,,906
BUILDING OPERATION PERMIT,1992-04-10T00:00:00.000,CONCRETE,,906
MISCELLANEOUS CASH RECEIPTS,1992-07-20T00:00:00.000,,,6
