title,borough,reported
INSTITUTE FOR COLLABORATIVE EDUCATION (02M407) - TECHNOLOGY,M,2019
[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS,M,2019
J.H.S. 185 Q,Q,2019
47 ASL AND ENGLISH SECONDARY SCHOOL (02M047) - TECHNOLOGY,M,2019
I.S. 127X- AUDITORIUM UPGRADE,X,2019
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,Q,2019
I.S. 119 THE GLENDALE (24Q119),Q,2019
811K,K,2019
JHS157Q TECHNOLOGY PURCHASES,Q,2019
DOE X128 - MOTT HALL III,X,2019
J.H.S. 189Q,Q,2019
EMMA LAZARUS HS BATHROOM UPGRADES,M,2019
I.S. 62 NEW HVAC UNIT,K,2019
HIGH SCHOOL FOR CIVIL RIGHTS (19K504) - TECHNOLOGY,K,2019
IS72 R TECHNOLOGY,R,2019
HIGH SCHOOL OF FASHION INDUSTRIES (02M600),M,2019
CAMBRIA HEIGHTS ACADEMY TECH UPGRADES,Q,2019
INFORMATION TECHNOLOGY HIGH SCHOOL,Q,2019
J.H.S. 104 SIMON BARUCH (02M104) - HVAC UPGRADE,M,2019
I.S. 227 - 30Q227- LOUIS ARMSTRONG - TECHNOLOGY,Q,2019
BARUCH COLLEGE CAMPUS HIGH SCHOOL (02M411) - TECHNOLOGY,M,2019
ACADEMY FOR CAREERS IN TELEVISION AND FILM,Q,2019
GYMNASIUM FLOOR UPGRADE FOR 29Q059,Q,2019
CONFIGURATION #1C FOR 29Q208,Q,2019
ESSEX STREET ACADEMY - LAPTOP CARTS,M,2019
CENTRAL PARK EAST II (04M964) - TECHNOLOGY,M,2019
[SCA] [02M077/02M198] LOWER LAB/ISADOR E. IDA STRAUS,M,2019
I.S. 228 DAVID A. BOODY (21K228) - TECHNOLOGY,K,2019
HOME INSTRUCTION SCHOOLS -TECHNOLOGY,Q,2019
[SCA] [02M114] EAST SIDE MIDDLE SCHOOL,M,2019
CONFIGURATION #8 FOR 29Q176,Q,2019
JFK HS CAMPUS IRRIGATION SYSTEM,X,2019
GYM UPGRADE FOR 28Q008,Q,2019
BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,Q,2019
IS75 R GREENHOUSE,R,2019
GRADY HIGH SCHOOL,K,2019
COLLEGE OF STATEN ISLAND HIGH SCHOOL FOR INTERNATIONAL STUDIES - TECHNO,R,2019
FLUSHING HIGH SCHOOL,Q,2019
DOE: P.S. 31R: THE WILLIAM T. DAVIS SCHOOL,R,2019
CONFGURATION #3A FOR 29Q134,Q,2019
FRANCIS LEWIS HIGH SCHOOL,Q,2019
I.S. 237Q,Q,2019
DOE: P.S. 13R M. L. LINDEMEYER,R,2019
I.S. 125Q,Q,2019
370K,K,2019
ACADEMY OF SCHOLARSHIP AND ENTREPRENEURSHIP-TECHNOLOGY,X,2019
J.H.S. 144 MICHELANGELO: UPGRADE,X,2019
BROOKLYN NEW SCHOOL- TECHNOLOGY,K,2019
[SCA] [02M225] ELLA BAKER SCHOOL,M,2019
FOOTBALL FIELD HOUSE UPGRADES AT CAMPUS MAGNET COMPLEX,Q,2019
JOHN ERICSSON MIDDLE SCHOOL 126,K,2019
JAMES BALDWIN SCHOOL (02M313),M,2019
I.S. 51 - PLAYGROUND UPGRADE,R,2019
BRONXDALE HIGH SCHOOL: UPGRADE,X,2019
DOE: CONCORD HS - DISTRICT 31,R,2019
HIGH SCHOOL FOR HEALTH PROFESSIONS & HUMAN SERVICES - TECHNOLOGY,M,2019
DOE: P.S. 45R: THE JOHN TYLER SCHOOL,R,2019
AUDITORIUM LIGHTING AND SOUND UPGRADE FOR 29Q140,Q,2019
DOE X166 - ROBERTO CLEMENTE CAMPUS,X,2019
INTERNATIONAL HIGH SCHOOL AT LAFAYETTE (21K337) - TECHNOLOGY,K,2019
COLLEGIATE INSTITUTE FOR MATH & SCIENCE- SCIENCE LAB,X,2019
DOE X055 - BENJAMIN FRANKLIN,X,2019
I.S. 303 (21K303) - TECHNOLOGY,K,2019
DOE TECH UPGRADES FOR SEEDS OF UNITY UPK PROGRAM,K,2019
IS 5 THE WALTER CROWLEY INTERMEDIATE SCHOOL (24Q005),Q,2019
DOE: P.S. 861R: STATEN ISLAND SCHOOL OF CIVIC LEADERSHIP,R,2019
