id,title,fiscal_year,council_district,award,sponsor
E  CN100,DOE: P.S. 65R: THE ACADEMY OF INNOVATIVE LEARNING,FY19,49,68000,Rose
E  CN024,771K,FY19,48,150000,Deutsch
E  CN107,EPIC HS NORTH TECHNOLOGY,FY19,28,70000,Adams
E  CN008,[SCA] [02M217] ROOSEVELT ISLAND SCHOOL,FY19,5,35000,Kallos
AG CN002,VOLUNTEERS OF AMERICA,FY19,16,250000,Gibson
E  CN142,I.S 254 (10X254) - TECHNOLOGY,FY19,15,35000,Torres
E  CN191,JAMES MONROE HIGH SCHOOL CAMPUS  - HIGH SCHOOL OF WORLD CULTURES - JAME,FY19,18,400000,Diaz Sr.
E  CN177,IS24 R GYMNASIUM UPGRADE,FY19,51,200000,Borelli
E  CN179,IS34 R TECHNOLOGY,FY19,51,50000,Borelli
E  CN103,EAST ELMHURST COMMUNITY SCHOOL -30Q329 - MUSIC ROOM,FY19,21,100000,Moya
E  CN112,FAMILY LIFE ACADEMY CHARTER,FY19,16,50000,Gibson
E  CN060,CHALLENGE PREP ACADEMY (ELEMENTARY AND MIDDLE SCHOOL),FY19,31,500000,Richards
E  CN180,IS7 R GYMNASIUM UPGRADE,FY19,51,250000,Borelli
E  CN017,[SCA] [02M655] LIFE SCIENCES SECONDARY SCHOOL,FY19,5,35000,Kallos
E  CN028,ACADEMY OF INNOVATIVE TECHNOLOGY  (K618),FY19,37,125000,Espinal
E  CN035,AUDITORIUM UPGRADE FOR PS 176,FY19,27,125000,Miller
E  CN131,HEALTH OPPORTUNITIES HIGH SCHOOL (07X670) - TECHNOLOGY,FY19,8,150000,Ayala
E  CN040,BATHROOM RENOVATION AT WESTINGHOUSE,FY19,33,300000,Levin
E  CN030,ALBERT EINSTEIN CAMPUS IS 131X - AUDITORIUM RENOVATION,FY19,18,400000,Diaz Sr.
E  CN010,[SCA] [02M290] MANHATTAN NEW SCHOOL,FY19,5,200000,Kallos
E  CN033,AUDITORIUM LIGHTING UPGRADE AT 29Q498,FY19,27,200000,Miller
E  CN166,I.S. 73 THE FRANK SANSIVIERI INTERMEDIATE (24Q073),FY19,30,100000,Holden
E  CN011,[SCA] [02M416] ELEANOR ROOSEVELT HIGH SCHOOL,FY19,5,212000,Kallos
E  CN150,I.S. 2 - TECHNOLOGY,FY19,50,75000,Matteo
E  CN145,I.S. 093 RIDGEWOOD (24Q093),FY19,30,100000,Holden
E  CN068,COMPUTERS AND COMPUTER CARTS FOR 29Q095,FY19,27,100000,Miller
E  CN066,COMMUNITY SCHOOL DISTRICT 7 - TECHNOLOGY,FY19,8,250000,Ayala
E  CN164,I.S. 68,FY19,46,150000,Maisel
E  CN183,JACKIE ROBINSON ALTERNATIVE EDUCATION COMPLEX - WATER FOUNTAINS,FY19,8,40000,Ayala
E  CN158,I.S. 278,FY19,46,150000,Maisel
E  CN151,I.S. 204Q OLIVER W. HOLMES,FY19,26,70000,Van Bramer
E  CN016,[SCA] [02M565] URBAN ACADEMY LABORATORY HIGH,FY19,5,35000,Kallos
E  CN058,CENTRAL PARK EAST HIGH SCHOOL (04M55) - TECHNOLOGY,FY19,8,100000,Ayala
E  CN161,I.S. 484 (K484),FY19,41,250000,Ampry-Samuel
E  CN132,HERBERT H. LEHMAN HIGH SCHOOL:UPGRADE,FY19,13,100000,Gjonaj
E  CN090,DOE X339 - I.S. 339,FY19,16,125000,Gibson
