id,description,budget_line
E  CN120,TECHNOLOGY UPGRADES,E  D001
E  CN135,TECHNOLOGY UPGRADES,E  D001
E  CN048,TECHNOLOGY,E  D001
E  CN114,ELECTRICAL UPGRADE,E  D001
E  CN020,"TO PURCHASE 32 PROMETHEAN BOARDS, PROJECTOR INSTALLATION, AND 32 COMPUTERS.",E  D001
E  CN111,TECHNOLOGY,E  D001
E  CN071,PROJECT WILL PROVIDE 15 PROMETHEANS THROUGHOUT RIVERTON CHARTER SCHOOL,E  D001
E  CN005,PLAYSPACE PROJECT,E  D001
E  CN148,FY17 RESO A SUPPLEMENTAL COOLING (GYM & CAFETERIA),E  D001
E  CN172,TO HELP FUND THE UPGRADE OF THE ELECTRICAL SYSTEM,E  D001
E  CN069,FUNDING WILL PROVIDE COMPUTERS FOR STUDENTS AT THE EMERSON SCHOOL,E  D001
E  CN129,PROJECT WILL PROVIDE UPGRADES TO THE AUDITORIUM AT 29Q490,E  D001
E  CN144,TECHNOLOGY,E  D001
E  CN105,TECHNOLOGY UPGRADE,E  D001
E  CN047,CHEMISTRY LAB AT BROOKLYN COLLEGE ACADEMY'S CONEY ISLAND AVENUE LOCATION,E  D001
E  CN079,TECHNOLOGY,E  D001
E  CN057,"TECHNOLOGY UPGRADES (E.G., SMARTBOARDS AND LAPTOP CARTS)",E  D001
E  CN021,TECHNOLOGY,E  D001
E  CN152,TECHNOLOGY UPGRADE,E  D001
E  CN116,LAPTOP PURCHASES FOR FOREST HILLS HIGH SCHOOL,E  D001
E  CN031,TECHNOLOGY PURCHASES,E  D001
E  CN041,CREATING AND UPGRADING MUSICAL PERFORMANCE SPACE,E  D001
E  CN168,DANCE STUDIO ENHANCEMENT,E  D001
E  CN159,"ADDITIONAL FUNDING FOR AUDITORIUM UPGRADE, INCLUDING SUPPLEMENTAL COOLING.",E  D001
E  CN122,FUNDS WILL BE USED TO UPGRADE WIFI AND RADIO-REPEATER CAPABILITY AT THIS SCHOOL.,E  D001
E  CN108,WATER FOUNTAINS UPGRADE FOR ESPERANZA PREPARATORY ACADEMY,E  D001
CS NC001,CONSTRUCTION OF A CHILD CARE CENTER,CS DN956
E  CN093,UNDERFUNDED PROJECT: FY18 RESO-A: PLAYGROUND,E  D001
E  CN067,"MOBILE LAPTOP LABS, DESKTOPS, 3D PRINTERS FOR COMP SCI HIGH SCHOOL",E  D001
E  CN197,TECHNOLOGY,E  D001
E  CN052,ELECTRIC AND PLUMBING WORK,E  D001
E  CN157,TECHNOLOGY UPGRADE,E  D001
E  CN012,TECHNOLOGY UPGRADES,E  D001
E  CN123,TECHNOLOGY UPGRADES,E  D001
E  CN126,TECHNOLOGY UPGRADES,E  D001
E  CN055,TO HELP FUND THE UPGRADE OF THE ELECTRICAL SYSTEM,E  D001
E  CN124,"SMART BOARDS, LAPTOPS, MOBILE SCIENCE LABS",E  D001
E  CN007,HVAC SYSTEM FOR CAFETERIA,E  D001
E  CN174,"MACOMBS EDUCATIONAL CAMPUS (IS 232). AUDITORIUM UPGRADES:  CHAIRS, CURTAINS (STAGE & WINDOWS), STAGE FLOOR TILE PROJECTOR, SOUND SYSTEM, PAINT & SPLIT AC SYSTEM",E  D001
E  CN053,SCIENCE LAB UPGRADE,E  D001
E  CN118,TO PURCHASE LAPTOP CARTS,E  D001
E  CN081,TECHNOLOGY,E  D001
E  CN015,TECHNOLOGY UPGRADES,E  D001
E  CN178,AUDITORIUM,E  D001
E  CN026,COMPUTER LAB UPGRADE,E  D001
E  CN190,TECHNOLOGY UPGRADE,E  D001
E  CN140,TECHNOLOGY (PRINCIPAL MARY MCINERNEY),E  D001
E  CN097,UNDERFUNDED PROJECT: FY18 RESO-A: SUPPLEMENTAL COOLING,E  D001
E  CN065,RENOVATION OF THE THIRD FLOOR TO BE A MEDIA LAB/LIBRARY,E  D001
E  CN006,SECURITY CAMERAS,E  D001
E  CN076,PROJECT WILL PROVIDE WIRELESS CLASSROOM TECHNOLOGY FOR THREE CLASSROOMS,E  D001
E  CN104,TECHNOLOGY,E  D001
E  CN117,FOREST HILLS HS WATER FOUNTAINS AND WATER BOTTLE FILL STATIONS,E  D001
E  CN064,TECHNOLOGY PURCHASES,E  D001
E  CN198,IPDVS CAMERA INSTALLATION,E  D001
E  CN173,LAPTOP AND SMARTBOARD PURCHASE,E  D001
E  CN034,PROJECT WILL PROVIDE UPGRADES TO THE AUDITORIUM AT 28Q008,E  D001
E  CN004,TECHNOLOGY UPGRADES,E  D001
E  CN143,SMARTBOARDS IN SCHOOL,E  D001
E  CN061,TECHNOLOGY UPGRADE,E  D001
E  CN043,TO HELP FUND TECHNOLOGY UPGRADES.,E  D001
E  CN110,"LAPTOPS, LAPTOP CHARGING CARTS AND TECHNOLOGY PURCHASES FOR EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION",E  D001
E  CN099,AUDITORIUM UPGRADE,E  D001
E  CN165,TECHNOLOGY UPGRADES IS 72 (PRINCIPAL PETER MACELLARI),E  D001
E  CN014,TECHNOLOGY UPGRADES,E  D001
E  CN088,TECHNOLOGY,E  D001
E  CN188,GYMNASIUM UPGRADE,E  D001
