dbn,school_name,asian,english_language_learners,special_class
02M896,Lower Manhattan Community Middle School,0.4016393423080444,0.0901639312505722,0.0
02M303,"Facing History School, The",0.0172413792461156,0.192118227481842,0.0049261083
02M111,P.S. 111 Adolph S. Ochs,0.1483870893716812,0.1333333402872085,0.025806451
02M533,Union Square Academy for Health Sciences,0.159874603152275,0.1065830737352371,0.0062695923
02M615,Chelsea Career and Technical Education High School,0.0820045545697212,0.0250569470226764,0.020501139
01M363,Neighborhood School,0.0728476792573928,0.0463576167821884,0.039735101
02M565,Urban Academy Laboratory High School,0.0802469104528427,0.006172839552164,0.012345679
02M459,Manhattan International High School,0.294460654258728,0.7784256339073181,0.005830904
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,0.3135011494159698,0.1235697939991951,0.0068649887
02M308,Lower Manhattan Arts Academy,0.0835509151220321,0.0496083535254001,0.018276762
01M332,University Neighborhood Middle School,0.0465116277337074,0.1395348906517028,0.10465116
01M509,Marta Valle High School,0.0578512400388717,0.0909090936183929,0.15151516
03M145,"P.S. 145, The Bloomingdale School",0.0127877239137887,0.1176470592617988,0.099744245
03M242,P.S. 242 - The Young Diplomats Magnet Academy,0.0090497741475701,0.0950226262211799,0.072398193
02M411,Baruch College Campus High School,0.5454545617103577,0.0022172948811203,0.0022172949
03M245,M.S. M245 The Computer School,0.0728155374526977,0.0218446608632802,0.019417476
04M007,P.S. 007 Samuel Stern,0.0181818176060915,0.1350649297237396,0.02077922
02M051,P.S. 051 Elias Howe,0.2114285677671432,0.1114285737276077,0.0028571428
02M438,International High School at Union Square,0.3059490025043487,0.8640226721763611,0.0028328612
02M289,I.S. 289,0.3527397215366363,0.0136986300349235,0.017123288
02M296,High School of Hospitality Management,0.0495283007621765,0.0801886767148971,0.035377357
02M347,The 47 American Sign Language & English Lower Scho,0.0306122452020645,0.0765306130051612,0.030612245
01M839,Tompkins Square Middle School,0.2201087027788162,0.0353260859847068,0.0054347827
01M188,P.S. 188 The Island School,0.0186721999198198,0.1452282220125198,0.053941909
03M862,Mott Hall II,0.0739644989371299,0.0177514795213937,0.032544378
02M507,Urban Assembly Gateway School for Technology,0.0783898308873176,0.0233050845563411,0.006355932
03M494,High School of Arts and Technology,0.0404040403664112,0.1060606092214584,0.042087544
01M378,School for Global Leaders,0.1617021262645721,0.1404255330562591,0.10212766
01M450,East Side Community School,0.0930930897593498,0.0120120123028755,0.016516516
02M198,P.S. 198 Isador E. Ida Straus,0.1406926363706588,0.0627705603837966,0.017316017
02M575,Manhattan Comprehensive Night and Day High School,0.1978171914815902,0.5047748684883118,0.0040927692
02M177,Yorkville East Middle School,0.125,0.0357142873108387,0.0
02M126,P.S. 126 Jacob August Riis,0.5548705458641052,0.2182490825653076,0.0036991369
02M077,P.S. 77 Lower Lab School,0.2257142812013626,0.0,0.0085714282
01M292,Henry Street School for International Studies,0.125490203499794,0.1215686276555061,0.027450981
02M500,Unity Center for Urban Technologies,0.0598591566085815,0.0669014081358909,0.017605634
03M149,P.S. 149 Sojourner Truth,0.0278745647519826,0.0905923321843147,0.13937283
02M167,J.H.S. 167 Robert F. Wagner,0.2749266922473907,0.0461876839399337,0.027859237
03M191,P.S. 191 Amsterdam,0.0734693855047226,0.0816326513886451,0.087755099
02M300,"Urban Assembly School of Design and Construction,",0.0603864751756191,0.0748792290687561,0.028985508
02M543,New Design High School,0.0589569173753261,0.0566893406212329,0.068027213
