school_name,poverty
Henry Street School for International Studies,0.8666666746139526
P.S. 212 Midtown West,0.1883656531572342
P.S. 006 Lillie D. Blake,0.0674931108951568
P.S. 163 Alfred E. Smith,0.5158597826957703
P.S. 050 Vito Marcantonio,1.0
MANHATTAN BUSINESS ACADEMY,0.767123281955719
The STAR Academy - P.S.63,0.8291457295417786
P.S. 040 Augustus Saint-Gaudens,0.0849358960986137
Innovation Diploma Plus,0.7128713130950928
Frederick Douglass Academy II Secondary School,0.7031630277633667
The East Village Community School,0.2837370336055755
Ella Baker School,0.4272445738315582
Stephen T. Mather Building Arts & Craftsmanship Hi,0.8445596098899841
Essex Street Academy,0.673184335231781
P.S. 165 Robert E. Simon,0.7653429508209229
High School for Health Professions and Human Servi,1.0
Cascades High School,0.739130437374115
Fiorello H. LaGuardia High School of Music & Art a,0.3001897633075714
Unity Center for Urban Technologies,0.8732394576072693
Academy for Software Engineering,0.729651153087616
East Side Middle School,0.1135857477784156
BATTERY PARK CITY SCHOOL,0.086347721517086
School for Global Leaders,1.0
Landmark High School,0.8788732290267944
P.S. 184m Shuang Wen,0.6902255415916443
P.S. 134 Henrietta Szold,0.9333333373069764
"Urban Assembly School for Media Studies, The",0.7451456189155579
Harvey Milk High School,0.828125
Art and Design High School,0.6842818260192871
Mott Hall II,0.4289940893650055
The Urban Assembly School for Emergency Management,1.0
Eleanor Roosevelt High School,0.2402957528829574
High School of Hospitality Management,0.8867924809455872
The Peck Slip School,0.0745341628789901
Professional Performing Arts High School,0.305970162153244
Millennium High School,0.4279210865497589
P.S. 234 Independence School,0.0466392301023006
Special Music School,0.1558441519737243
J.H.S. 167 Robert F. Wagner,0.4670087993144989
P.S. 199 Jessie Isador Straus,0.069741278886795
Urban Assembly New York Harbor School,0.6263982057571411
J.H.S. 104 Simon Baruch,0.6206896305084229
P.S. 140 Nathan Straus,1.0
P.S. 019 Asher Levy,0.729629635810852
P.S. 183 Robert L. Stevenson,0.0941176488995552
P.S. 137 John L. Bernstein,0.9569892287254332
The Anderson School,0.0975609719753265
Pace High School,0.8061465620994568
"Facing History School, The",1.0
P.S. 002 Meyer London,0.9736841917037964
Earth School,0.4236760139465332
Leadership and Public Service High School,0.7410586476325989
P.S. 007 Samuel Stern,1.0
J.H.S. 054 Booker T. Washington,0.2054120600223541
West Prep Academy,1.0
City Knoll Middle School,0.6835442781448364
High School M560 - City As School,0.6139817833900452
Community Action School - MS 258,1.0
P.S. 020 Anna Silver,1.0
Murry Bergtraum High School for Business Careers,0.7054582834243774
River East Elementary,0.8461538553237915
Liberty High School Academy for Newcomers,1.0
P.S./I.S. 217 Roosevelt Island,0.3507462739944458
Repertory Company High School for Theatre Arts,0.7967479825019836
P.S. 051 Elias Howe,1.0
PS 527 - East Side School for Social Action,0.1656050980091095
Lower East Side Preparatory High School,1.0
P.S. 001 Alfred E. Smith,1.0
Edward A. Reynolds West Side High School,0.8593155741691589
P.S. 110 Florence Nightingale,0.5155131220817566
Urban Assembly Gateway School for Technology,1.0
Manhattan Bridges High School,1.0
Jacqueline Kennedy Onassis High School,0.7677514553070068
Satellite Academy High School,0.8759398460388184
Institute for Collaborative Education,0.1804979294538498
Vanguard High School,0.7448559403419495
Stuyvesant High School,0.4487257301807403
P.S. 116 Mary Lindley Murray,0.3563218414783478
P.S. 084 Lillian Weber,0.5316698551177979
P.S. 208 Alain L. Locke,0.9554139971733092
Beacon High School,0.270038902759552
P.S. 111 Adolph S. Ochs,1.0
P.S. 075 Emily Dickinson,0.6837455630302429
"Urban Assembly School of Design and Construction,",0.7946860194206238
I.S. 289,0.3356164395809173
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,0.8293412923812866
Lower Manhattan Community Middle School,0.5819672346115112
P.S. 041 Greenwich Village,0.0383091159164905
Talent Unlimited High School,0.529644250869751
The High School of Fashion Industries,0.8141242861747742
The Children's Workshop School,0.4588235318660736
"Ballet Tech, NYC Public School for Dance",1.0
"Urban Assembly Academy of Government and Law, The",0.8085106611251831
P.S. 042 Benjamin Altman,1.0
P.S. 191 Amsterdam,0.7673469185829163
P.S. 149 Sojourner Truth,0.8641114830970764
East Side Community School,0.7357357144355774
Forsyth Satellite Academy,0.8044692873954773
High School for Dual Language and Asian Studies,0.8581730723381042
N.Y.C. Museum School,0.7197452187538147
M.S. 131,0.9507389068603516
"James Baldwin School, The: A School for Expedition",0.7567567825317383
Hudson High School of Learning Technologies,0.7908902764320374
Yorkville Community School,0.381118893623352
"New Explorations into Science, Technology and Math",0.2731988430023193
P.S. 087 William Sherman,0.0891428589820861
P.S. 003 Charrette School,0.1619283109903335
Tompkins Square Middle School,0.6875
Manhattan / Hunter Science High School,0.618625283241272
Gramercy Arts High School,0.699999988079071
Neighborhood School,0.3807947039604187
Manhattan Early College School for Advertising,0.6701030731201172
"Urban Assembly School of Business for Young Women,",0.7975308895111084
P.S. 180 Hugo Newman,0.7039999961853027
Tag Young Scholars,0.5
New York City Lab Middle School for Collaborative,0.3458781242370605
P.S. 185 - The Early Childhood Discovery and Desig,0.8605577945709229
P.S. 076 A. Philip Randolph,0.8903846144676208
EMMA LAZARUS HIGH SCHOOL,0.969298243522644
Lower Manhattan Arts Academy,1.0
The 47 American Sign Language & English Lower Scho,0.6938775777816772
Life Sciences Secondary School,0.7259684205055237
M.S. 250 West Side Collaborative Middle School,0.682539701461792
SPRUCE STREET SCHOOL,0.0906976759433746
P.S. 188 The Island School,1.0
M.S. 256 Academic & Athletic Excellence,0.7957746386528015
University Neighborhood Middle School,0.8720930218696594
The River School,0.3269230723381042
