council_district,community_board,longitude,:@computed_region_efsh_h5xi,bbl
33,2,-73.988605,16865,3001540001.0
50,2,-74.101919,10369,1008040001.0
15,6,-73.890073,10936,
3,5,-73.99306,11722,
48,14,-73.955115,13513,3067390077.0
26,1,-73.938208,16858,4004170002.0
13,9,-73.845099,11271,2038420002.0
20,7,-73.832925,13832,4043700050.0
35,2,-73.976905,17619,3020980013.0
41,16,-73.912024,13516,3014540054.0
3,5,-73.99306,11722,1008040001.0
24,12,-73.808148,24670,4096770007.0
43,10,-74.028086,17216,3060650043.0
