districts_served,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q
"13, 14, 15, 16",54,38
31,76,14
"7, 9, 10",31,22
"3, 5, 6",7,10
"17, 18, 22",43,15
"24, 30",72,33
"8, 11, 12",26,12
"25, 26",67,3
"13, 14, 15, 16",55,48
"19, 23, 32",46,17
"1, 2, 4",7,10
"27, 28, 29",61,24
"20, 21",41,44
