zip_code,districts_served,:@computed_region_yeji_bk3q
11217,"13, 14, 15, 16",2
11230,"17, 18, 22",2
10458,"7, 9, 10",5
10027,"3, 5, 6",4
10001,"1, 2, 4",4
11201,"13, 14, 15, 16",2
11209,"20, 21",2
11435,"27, 28, 29",3
11101,"24, 30",3
11354,"25, 26",3
10462,"8, 11, 12",5
10301,31,1
11233,"19, 23, 32",2
