dbn,school_name,total_student_response_rate,total_academic_expectations
75M035,P.S. 035,0.39,8.0
75X723,P.S. 723,0.56,8.1
75K373,P.S. 373 - Brooklyn Transition Center,0.99,7.8
75Q224,P.S. Q224,0.96,8.1
75M226,P.S. M226,0.97,7.6
75K231,P.S. K231,0.88,8.1
75M751,Manhattan School For Career Development,0.89,7.4
75Q993,P.S. Q993,0.97,8.5
75M721,P.S. M721 - Manhattan Occupational Training Center,0.96,7.5
75K771,P.S. K771,0.6,7.9
75K077,P.S. K077,0.98,7.6
75X811,P.S. X811,0.94,7.8
75X754,J. M. Rapport School Career Development,0.55,7.2
75M138,P.S. 138,0.83,7.6
75X186,P186X Walter J. Damrosch School,0.96,8.6
75M094,P.S. M094,1.0,7.5
75X010,P.S. X010,0.79,8.0
75M169,P.S. M169 - Robert F. Kennedy,0.96,7.4
75Q177,P.S. Q177,0.95,8.6
