dbn,total_parent_response_rate,total_safety_and_respect,total_communication_score
75X352,0.35,8.0,7.6
75Q752,0.24,6.9,6.6
75Q233,0.31,8.2,7.7
75R037,0.57,8.6,8.1
75K369,0.42,7.5,7.3
75K036,0.68,7.5,7.4
75X188,0.41,7.7,7.4
75K811,0.22,8.0,7.8
75Q721,0.37,8.1,7.2
75X168,0.54,7.6,7.7
75M811,0.51,8.8,8.8
75Q255,0.47,8.4,7.1
75K141,0.32,7.4,7.1
75K721,0.28,7.9,8.0
75Q256,0.39,7.6,7.5
75Q811,0.31,8.3,7.7
75Q004,0.53,8.0,7.8
75R721,0.61,9.0,8.9
75R373,0.37,8.4,8.0
