dsf_number_s_,total_phase_actual_spending_amount,project_phase_planned_end_date
DSF0001085940,0.0,PNS
DSF0000754664,0.0,PNS
DSF0001113562,0.0,PNS
DSF0001034216,0.0,DOES
DSF0001008219,0.0,DOER
DSF0001085710,0.0,DOES
DSF0001111878,8656.0,12/13/2023
DSF0001111878,1374.0,4/12/2024
"DSF0001034906, DSF0001009409, DSF0001083827",492715.0,6/15/2023
DSF0001087367,2265.0,5/16/2024
"DSF0001060336, DSF0001088082",90451.0,11/21/2023
"DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541",174698.0,PNS
DSF0001087365,603.0,5/13/2024
"DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750",188819.0,2/23/2021
DSF0001085933,100123.0,FTK
DSF0001112515,1445.0,5/22/2025
DSF0001087362,17670.0,3/11/2026
DSF0001087361,2805.0,PNS
"DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143",134699.0,3/6/2019
DSF0001085935,0.0,PNS
DSF0001008665,0.0,DOES
DSF0001009491,71809.0,3/2/2023
DSF0001113561,0.0,PNS
DSF0001112515,0.0,PNS
DSF0001112515,5780.0,PNS
DSF0001084722,,DOES
DSF0001112524,0.0,PNS
DSF0001087368,11710.0,11/27/2024
"DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750",15089733.0,8/6/2024
DSF0001035001,63999.0,3/11/2025
DSF0001035001,173604.0,3/11/2025
DSF0001034405,0.0,DOES
"DSF0001060336, DSF0001088082",212460.0,4/8/2027
SCA0000073917,1533.0,IEH
DSF0001087363,3762.0,3/11/2026
"DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760",214087.0,12/6/2023
SCA0000072659,6975.0,EMER
DSF0001087362,37052.0,3/11/2026
DSF0001112521,0.0,PNS
DSF0001085193,15861290.0,FTK
DSF0001083797,0.0,8/19/2026
"DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143",788251.0,7/22/2019
"DSF0001034906, DSF0001009409, DSF0001083827",82851.0,3/9/2028
DSF0001035003,2253.0,11/13/2023
DSF0000890667,2410644.0,4/5/2023
DSF0001087367,9064.0,9/26/2024
"DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143",12740428.0,10/1/2023
DSF0001087369,15683.0,PNS
DSF0001088032,19436.0,10/10/2024
DSF0001112522,93000.0,DIIR
DSF0001087363,0.0,PNS
DSF0000911947,0.0,DOES
DSF0001035369,0.0,DOER
DSF0001112518,0.0,PNS
"DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760",1465175.0,1/7/2027
DSF0001085934,0.0,PNS
DSF0001087369,3817.0,PNS
DSF0001113562,0.0,PNS
"DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750",770580.0,8/31/2021
DSF0000866101,0.0,DOES
DSF0001009491,182862.0,7/5/2023
DSF0001034976,0.0,DOER
DSF0000890667,914218.0,9/15/2022
DSF0001112526,0.0,PNS
DSF0000913198,0.0,DOER
SCA0000056166,37984.0,FTK
SCA0000074633,0.0,IEH
DSF0001112527,0.0,PNS
DSF0001085942,0.0,DOER
"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874",126925.0,11/23/2022
DSF0001085937,0.0,DOER
DSF0000913200,146991.0,FTK
DSF0001087360,19218.0,11/12/2025
DSF0001088032,12858.0,PNS
DSF0001035361,0.0,PNS
SCA0000074176,859.0,IEH
SCA0000074332,1136.0,IEH
DSF0001087366,0.0,PNS
DSF0001113562,0.0,PNS
DSF0001163529,0.0,PNS
DSF0001112528,0.0,PNS
DSF0001087364,1987.0,5/30/2024
DSF0001035003,9010.0,1/31/2024
DSF0001087369,5706.0,9/8/2025
DSF0001088076,256198.0,DOES
DSF0001087365,2413.0,9/17/2024
DSF0001087364,7948.0,9/18/2024
"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874",261376.0,PNS
DSF0001112523,0.0,PNS
DSF0001087365,171434.0,11/10/2025
DSF0001113561,0.0,PNS
"DSF0000936438, DSF0000961025, DSF0000984743, DSF0000984750",1180881.0,8/6/2024
DSF0001087362,7803.0,9/13/2024
DSF0001113561,0.0,PNS
DSF0000890667,37696555.0,9/3/2026
SCA0000074588,0.0,IEH
DSF0001112514,0.0,PNS
"DSF0000865947, DSF0001083702",527681.0,10/25/2018
DSF0000800464,0.0,DOER
DSF0001087360,76469.0,11/12/2025
DSF0001087362,1950.0,5/10/2024
DSF0001085930,200000.0,DIIR
DSF0001111878,0.0,PNS
"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874",56641.0,PNS
"DSF0001060336, DSF0001088082",162845.0,7/26/2024
DSF0001083797,80666.0,3/26/2024
DSF0001113560,0.0,PNS
"DSF0001009742, DSF0001009743, DSF0001009744, DSF0001086874",261208.0,2/6/2024
DSF0001035361,0.0,PNS
DSF0000866412,0.0,PNS
DSF0001087367,53567.0,3/11/2026
DSF0001112513,60000.0,DIIR
DSF0000865729,0.0,DOES
DSF0001085936,466000.0,PNS
DSF0001112510,500000.0,DIIR
DSF0001088032,372.0,PNS
DSF0001112525,300000.0,DIIR
"DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348",1429020.0,8/15/2023
DSF0001112520,50000.0,DIIR
"DSF0001034906, DSF0001009409, DSF0001083827",159007.0,11/16/2022
DSF0001083797,21965.0,10/23/2023
DSF0001087361,1359.0,7/11/2025
DSF0001087366,923.0,1/16/2026
DSF0001112515,925.0,PNS
"DSF0000865947, DSF0001083702",8770548.0,8/16/2025
DSF0001083797,13790.0,8/19/2026
DSF0001035368,0.0,PNS
DSF0001087360,7710.0,9/18/2024
DSF0001008250,0.0,DOER
DSF0001035361,0.0,PNS
DSF0001088032,77744.0,9/3/2025
DSF0001112512,0.0,FTK
DSF0001113560,0.0,PNS
"DSF0000865947, DSF0001083702",162802.0,11/2/2017
DSF0001035362,100000.0,DIIR
DSF0001087363,941.0,1/6/2026
"DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541",173583.0,2/24/2025
"DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348",149890.0,11/6/2019
DSF0001085939,0.0,DOER
DSF0001035003,144499.0,5/7/2025
DSF0001112517,0.0,PNS
DSF0001087366,0.0,PNS
"DSF0000868429, DSF0000868430, DSF0000868432, DSF0000891044, DSF0000891163, DSF0000891142, DSF0000891143",1241976.0,10/1/2023
DSF0001087366,3693.0,PNS
SCA0000070859,449857.0,EMER
SCA0000074609,81.0,IEH
DSF0001035372,0.0,PNS
DSF0001035365,561034.0,8/18/2025
DSF0001035360,0.0,DOER
DSF0001112511,75000.0,DIIR
DSF0001113562,0.0,PNS
DSF0001087368,7895.0,5/21/2026
DSF0000822741,0.0,DOER
"DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348",810766.0,5/1/2020
"DSF0000868633, DSF0000868634, DSF0000868635, DSF0000912348",19754272.0,8/15/2023
DSF0001087361,0.0,PNS
DSF0001113560,0.0,PNS
DSF0001087360,1927.0,7/3/2024
DSF0001035361,40.0,PNS
DSF0001009491,364401.0,3/10/2025
"DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760",674981.0,6/10/2024
DSF0001087363,0.0,PNS
DSF0001163524,0.0,PNS
DSF0001113561,0.0,PNS
DSF0000822695,0.0,PNS
DSF0001087368,6191.0,5/21/2026
SCA0000074216,1090.0,IEH
DSF0001087368,2928.0,9/26/2024
DSF0000777935,0.0,DOES
DSF0001163527,0.0,PNS
DSF0000913197,0.0,DOER
DSF0001087367,30893.0,3/11/2026
DSF0001085941,0.0,PNS
DSF0000890667,2593201.0,9/3/2026
DSF0001087365,23552.0,11/10/2025
DSF0001112519,0.0,PNS
DSF0001113560,0.0,PNS
"DSF0001034906, DSF0001009409, DSF0001083827",257902.0,3/9/2028
"DSF0001060336, DSF0001088082",1009967.0,4/8/2027
SCA0000074617,528.0,IEH
DSF0000865885,0.0,DOES
DSF0001111878,2387.0,PNS
DSF0001035001,3557.0,11/28/2023
"DSF0001009615, DSF0001009616, DSF0001009617, DSF0001009618, DSF0001111760",282830.0,1/7/2027
"DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541",104077.0,PNS
"DSF0001112302, DSF0001112311, DSF0001113808, DSF0001115545, DSF0001114003, DSF0001115546, DSF0001115541",590936.0,6/17/2025
DSF0001035003,53923.0,5/7/2025
DSF0001009491,1855127.0,3/10/2025
DSF0001035365,66800.0,8/18/2025
"DSF0000865947, DSF0001083702",467189.0,8/16/2025
DSF0001035365,72180.0,10/20/2023
DSF0001035001,14230.0,1/31/2024
DSF0001087369,1427.0,7/11/2025
SCA0000073946,0.0,IEH
DSF0001087364,16606.0,11/12/2025
DSF0001087361,5438.0,9/8/2025
DSF0001112516,0.0,PNS
DSF0001087364,92324.0,11/12/2025
SCA0000074589,0.0,IEH
DSF0001035365,19927.0,5/15/2023
