project_school_name,project_phase_actual_start_date
P.S. 13 - BROOKLYN,PNS
I.S. 14 - BROOKLYN,PNS
P.S. 17 - BROOKLYN,PNS
P.S. 13 - BROOKLYN,7/5/2022
P.S. 11 - BROOKLYN,7/12/2021
I.S. 484 - BROOKLYN,2/9/2024
P.S. 18 - BROOKLYN,12/13/2023
P.S. 18 - BROOKLYN,12/13/2023
P.S. 1 - BROOKLYN,12/28/2022
P.S. 13 - BROOKLYN,1/18/2024
I.S. 14 - BROOKLYN,7/6/2023
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,PNS
P.S. 10 - BROOKLYN,1/12/2024
P.S. 5 - BROOKLYN,9/17/2020
I.S. 2 - BROOKLYN,FTK
P.S. 10 - BROOKLYN,2/24/2025
K004 SPED - BROOKLYN,4/16/2025
P.S. 6 - BROOKLYN,PNS
I.S. 2 - BROOKLYN,10/16/2018
K141 SPED - BROOKLYN,PNS
P.S. 11 - BROOKLYN,7/9/2021
P.S. 6 - BROOKLYN,10/12/2022
P.S. 16 - BROOKLYN,PNS
P.S. 10 - BROOKLYN,PNS
P.S. 10 - BROOKLYN,PNS
I.S. 2 - BROOKLYN,6/28/2024
P.S. 17 - BROOKLYN,PNS
P.S. 16 - BROOKLYN,5/31/2024
P.S. 5 - BROOKLYN,8/8/2022
I.S. 577 - BROOKLYN,4/16/2024
I.S. 577 - BROOKLYN,4/16/2024
P.S. 18 - BROOKLYN,9/22/2022
I.S. 14 - BROOKLYN,10/21/2024
I.S. 577 - BROOKLYN,2/14/2025
P.S. 8 - BROOKLYN,9/10/2025
P.S. 12 - BROOKLYN,6/7/2023
PUBLIC SCHOOL 9 THE SARAH SMITH GARNET SCHOOL - BROOKLYN,1/12/2024
K004 SPED - BROOKLYN,4/16/2025
P.S. 16 - BROOKLYN,PNS
P.S. 5 - BROOKLYN,8/22/2023
P.S. 12 - BROOKLYN,7/16/2025
I.S. 2 - BROOKLYN,2/20/2019
P.S. 1 - BROOKLYN,9/22/2025
P.S. 15 - BROOKLYN,7/13/2023
I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,9/16/2022
P.S. 13 - BROOKLYN,4/2/2024
I.S. 2 - BROOKLYN,7/14/2021
P.S. 18 - BROOKLYN,PNS
P.S. 12 - BROOKLYN,7/12/2024
P.S. 16 - BROOKLYN,4/11/2025
P.S. 8 - BROOKLYN,PNS
P.S. 13 - BROOKLYN,11/14/2022
P.S. 12 - BROOKLYN,6/21/2024
K771 SPED - BROOKLYN,PNS
P.S. 12 - BROOKLYN,7/22/2024
K141 SPED - BROOKLYN,PNS
P.S. 18 - BROOKLYN,PNS
P.S. 17 - BROOKLYN,PNS
P.S. 5 - BROOKLYN,12/10/2020
P.S. 17 - BROOKLYN,1/7/2022
P.S. 6 - BROOKLYN,2/1/2023
P.S. 5 - BROOKLYN,9/19/2023
I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,6/3/2022
I.S. 577 - BROOKLYN,PNS
I.S. 484 - BROOKLYN,6/4/2021
P.S. 15 - BROOKLYN,4/15/2019
P.S. 5 - BROOKLYN,8/8/2025
P.S. 17 - BROOKLYN,PNS
P.S. 18 - BROOKLYN,4/9/2024
P.S. 18 - BROOKLYN,7/8/2022
P.S. 11 - BROOKLYN,4/3/2024
P.S. 15 - BROOKLYN,FTK
P.S. 3 - BROOKLYN,12/18/2024
P.S. 12 - BROOKLYN,PNS
P.S. 5 - BROOKLYN,PNS
P.S. 3 - BROOKLYN,4/22/2025
I.S. 14 - BROOKLYN,5/30/2025
P.S. 11 - BROOKLYN,PNS
P.S. 17 - BROOKLYN,PNS
P.S. 15 - BROOKLYN,PNS
P.S. 18 - BROOKLYN,PNS
