project_phase_name,project_type_,project_status_name
Construction,DOE - RESOA,PNS
Construction,DOE - RESOA,PNS
Scope,SCA CIP RESOA,PNS
Construction,DOE - Skilled Trades,In-Progress
Construction,DOE - RESOA,In-Progress
Construction,DOE - Skilled Trades,In-Progress
Scope,SCA CIP,Complete
Design,SCA CIP,Complete
Design,SCA CIP,Complete
Scope,SCA CIP,Complete
Scope,SCA CIP,Complete
"CM,F&E",SCA CIP,PNS
Scope,SCA CIP,Complete
Scope,SCA CIP,Complete
Construction,Fast Track Projects,PNS
Scope,SCA CIP RESOA,Complete
Construction,SCA CIP,In-Progress
"CM,F&E",SCA CIP,PNS
Scope,SCA CIP,Complete
F&E,SCA Furniture & Equipment,PNS
Construction,DOE - Skilled Trades,In-Progress
Scope,SCA CIP,Complete
"CM,F&E",SCA CIP RESOA,PNS
Construction,SCA CIP RESOA,PNS
Design,SCA CIP RESOA,PNS
Construction,DOE - Skilled Trades,Complete
Construction,DOE - RESOA,PNS
Design,SCA CIP,Complete
Construction,SCA CIP,In-Progress
"CM,F&E",SCA CIP,In-Progress
Construction,SCA CIP,In-Progress
Construction,DOE - Skilled Trades,In-Progress
"CM,F&E",SCA CIP,In-Progress
Construction,SCA IEH,Complete
Design,SCA CIP,In-Progress
Scope,SCA CIP,Complete
Construction,SCA Emergency Response,Complete
"CM,F&E",SCA CIP,In-Progress
Construction,DOE - RESOA,PNS
Construction,Fast Track Projects,In-Progress
Construction,SCA CIP,In-Progress
Design,SCA CIP,Complete
"CM,F&E",SCA CIP,In-Progress
Scope,SCA CIP,Complete
Design,SCA Capacity,Complete
Design,SCA CIP,Complete
Construction,SCA CIP,Complete
Construction,SCA CIP,PNS
Scope,SCA CIP,Complete
Purch & Install,DIIT - RESOA,Complete
"CM,F&E",SCA CIP,PNS
Construction,DOE - Skilled Trades,In-Progress
Construction,DOE - RESOA,In-Progress
Construction,DOE - RESOA,PNS
Construction,SCA CIP,In-Progress
F&E,SCA Furniture & Equipment,PNS
"CM,F&E",SCA CIP,PNS
"CM,F&E",SCA CIP RESOA,PNS
Design,SCA CIP,Complete
Construction,DOE - Skilled Trades,In-Progress
Design,SCA CIP,Complete
