project_budget_amount,project_building_identifier,project_geographic_district_
DOER,K013,19
DOER,K014,22
0,K017,14
DOES,K013,19
DOER,K011,13
DOES,K012,23
1049,K018,14
4722,K018,14
507749,K001,15
3276,K013,19
31839,K014,22
4702580,K009,13
3769,K010,15
167950,K005,16
FTK,K002,17
0,K010,15
161472,K007,19
61366,K006,17
133778,K002,17
125000,K002,17
DOES,K011,13
22508,K006,17
0,K016,14
1760000,K010,15
120000,K010,15
DOES,K002,17
DOER,K017,14
17734,K016,14
18894375,K005,16
96525,K017,14
225388,K017,14
DOES,K018,14
293383,K014,22
IEH,K017,14
14211,K008,13
144603,K012,23
EMER,K009,13
61263,K007,19
DOER,K016,14
FTK,K005,16
1033468,K012,23
660659,K002,17
710850,K001,15
3120,K015,15
6000930,K004,15
14742,K013,19
14153170,K002,17
147082,K018,14
32895,K012,23
DIIR,K016,14
52402,K008,13
DOES,K013,19
DOER,K012,23
DOER,K014,22
15439113,K012,23
125000,K002,17
37730,K018,14
0,K017,14
839750,K005,16
DOES,K017,14
112539,K006,17
DOER,K005,16
1333540,K004,15
DOER,K017,14
DOER,K012,23
FTK,K015,15
IEH,K005,16
DOER,K017,14
DOER,K018,14
84605,K018,14
DOER,K011,13
FTK,K015,15
87874,K003,13
241231,K012,23
6000,K005,16
IEH,K003,13
IEH,K014,22
260344,K011,13
0,K017,14
DIIR,K015,15
DOER,K018,14
3150,K009,13
14040,K015,15
10232,K018,14
DOES,K014,22
16961,K010,15
14175,K009,13
8917115,K018,14
DOER,K016,14
218602,K010,15
0,K016,14
1175650,K005,16
12528,K007,19
0,K016,14
75678395,K004,15
IEH,K009,13
DOER,K011,13
910025,K017,14
DOER,K014,22
182700,K003,13
2784,K007,19
DIIR,K001,15
60861,K018,14
633589,K018,14
149793,K014,22
80183,K012,23
0,K010,15
417512,K018,14
88000,K005,16
DIIR,K007,19
81743,K013,19
DIIR,K008,13
DOES,K005,16
466000,K007,19
DIIR,K001,15
2434237,K012,23
DIIR,K017,14
1265227,K015,15
DIIR,K015,15
101549,K001,15
17818,K012,23
4160,K006,17
4528,K011,13
120000,K010,15
19737609,K017,14
191548,K012,23
DOER,K012,23
14175,K003,13
DOER,K010,15
0,K005,16
153510,K012,23
FTK,K006,17
0,K010,15
183712,K017,14
DIIR,K005,16
3553,K008,13
622980,K009,13
179240,K015,15
DOER,K013,19
180960,K015,15
DIIR,K013,19
66784,K011,13
998143,K002,17
18111,K011,13
EMER,K006,17
IEH,K009,13
DOER,K017,14
704000,K008,13
DOER,K005,16
DIIR,K005,16
0,K017,14
228569,K016,14
DOER,K011,13
896202,K015,15
20164576,K015,15
239225,K006,17
0,K010,15
3150,K003,13
6000,K005,16
157850,K006,17
715414,K012,23
204280,K008,13
DIIR,K005,16
0,K016,14
DIIR,K019,14
74207,K016,14
IEH,K017,14
3941,K016,14
DOES,K009,13
DIIR,K012,23
DOER,K012,23
190008,K013,19
DOER,K015,15
10668320,K004,15
109271,K010,15
DOER,K014,22
0,K010,15
11424375,K001,15
2557135,K014,22
IEH,K001,15
DOES,K006,17
11280,K018,14
3886,K017,14
1069762,K012,23
45802133,K009,13
2895182,K009,13
100029,K015,15
2532134,K006,17
48000,K008,13
1349963,K017,14
48000,K008,13
17487,K017,14
2558,K018,14
IEH,K009,13
94595,K009,13
16642,K006,17
DOER,K011,13
182700,K009,13
IEH,K008,13
0,K008,13
