project_phase_actual_end_date,project_description
PNS,FY24 RESO A HYDROPONICS LAB
PNS,FY13 RESO A AUDITORIUM UPGRADE
PNS,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING
,BATHROOM UPGRADES
,FY21 RESO A BATHROOM UPGRADE
,CAFETERIA ENHANCEMENT EXPERIENCE
12/13/2023,PATH OF TRAVEL PLAYGROUND UPGRADE
1/30/2024,PATH OF TRAVEL PLAYGROUND UPGRADE
6/15/2023,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT
4/2/2024,IPDVS INSTALLATIONS
2/23/2024,PARAPETS / EXTERIOR MASONRY
PNS,ELECTRIFICATION/HEAT PUMP SYSTEMS / ELECTRICAL SERVICE UPGRADE / LOW VOLTAGE ELECTRICAL SYSTEMS / ROOFS / WINDOWS / PARAPETS / LIGHTING UPGRADE
3/22/2024,IPDVS INSTALLATIONS
12/9/2020,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS
FTK,FY24 RESO A ROOM CONVERSION
8/22/2025,FY25 RESO A PLAYGROUND UPGRADE
,IPDVS INSTALLATIONS
PNS,IPDVS INSTALLATIONS
2/20/2019,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM
PNS,FY24 RESO A MOBILE SCIENCE LABS
,BATHROOM UPGRADES
1/20/2023,PARAPETS
PNS,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE
PNS,FY25 RESO A PLAYGROUND UPGRADE
PNS,FY25 RESO A PLAYGROUND UPGRADE
8/1/2024,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION
PNS,FY25 RESO A SUPPLEMENTAL COOLING
11/6/2024,IPDVS INSTALLATIONS
,ELECTRIFICATION/CLIMATE CONTROL / ELECTRIFICATION/BOILER REMOVAL / LOW VOLTAGE ELECTRICAL SYSTEM / ELECTRICAL SYSTEMS
,IPDVS INSTALLATION
,IPDVS INSTALLATION
,ACE STEAM SYSTEM OPTIMIZATION
,PARAPETS / EXTERIOR MASONRY
4/30/2025,"PO18-REPLACE APPROX 6000 SQ FT OF 9X9 TILES FIRST FLOOR MAIN ENT, UNDER STAIRCASE, HALLWY 2ND, 3RD,"
,IPDVS INSTALLATIONS
10/24/2023,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING
1/12/2024,EMERGENCY- TEMPORARY HEATERS @ K009
,IPDVS INSTALLATIONS
PNS,FY25 RESO A AUDITORIUM SUPPLEMENTAL COOLING
,WINDOWS
,WALK-IN REFRIGERATORS AND FREEZERS
6/30/2020,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM
,FULL PROGRAM ACCESSIBILITY / ROOFS / FIRE ALARM SYSTEM REPLACEMENT
8/2/2023,IPDVS CAMERA INSTALLATION
4/28/2023,NEW SCHOOL
7/16/2024,IPDVS INSTALLATIONS
9/3/2024,ROOFS / PARAPETS / EXTERIOR MASONRY / CONDENSING UNITS DX COILS REPLACEMENT / VENTILATION / CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL SYSTEM
PNS,IPDVS INSTALLATIONS
4/2/2025,LOW VOLTAGE ELECTRICAL SYSTEMS
7/22/2025,FY25 RESO A TECHNOLOGY UPGRADE
PNS,IPDVS INSTALLATIONS
,DEP GREEN INFRASTRUCTURE
,FY23 RESO A BATHROOM UPGRADES
PNS,FY25 RESO A BATHROOM UPGRADES
,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY / FENCING
PNS,FY24 RESO A MOBILE SCIENCE LABS
PNS,IPDVS INSTALLATIONS
PNS,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING
