_median_sale_price_,building_class_category,_maximum_sale_price_
391200,01 ONE FAMILY HOMES  ,3956150
555500,02 TWO FAMILY HOMES  ,17000000
4150000,02 TWO FAMILY HOMES  ,17000000
561900,02 TWO FAMILY HOMES  ,3100000
400000,01 ONE FAMILY HOMES  ,3100000
424374,03 THREE FAMILY HOMES,713000
490000,02 TWO FAMILY HOMES  ,7700000
515000,01 ONE FAMILY HOMES  ,8450000
695000,03 THREE FAMILY HOMES,3100000
465000,01 ONE FAMILY HOMES  ,5617500
3425000,03 THREE FAMILY HOMES,13500000
5414549,01 ONE FAMILY HOMES  ,49000000
661681,03 THREE FAMILY HOMES,13500000
575000,03 THREE FAMILY HOMES,1550000
720000,03 THREE FAMILY HOMES,2133334
600000,02 TWO FAMILY HOMES  ,10800000
445000,01 ONE FAMILY HOMES  ,49000000
480000,02 TWO FAMILY HOMES  ,975000
