_number_of_sales_,_average_sale_price_,_minimum_sale_price_
42,3868956,175000
901,514656,150000
2906,656988,150000
704,709228,150000
2324,743861,150000
28,428614,150000
1577,642727,151117
469,558828,153000
8434,618494,150000
68,8926012,331500
61,4671561,200000
2391,429639,150000
5078,513661,150000
1081,733439,150000
606,441962,150000
3660,579499,150000
906,482934,150000
9720,568314,150000
