_number_of_sales_,_median_sale_price_,borough
606,391200,2
2391,400000,5
42,3425000,1
8434,555500,Citywide
61,4150000,1
68,5414549,1
1577,515000,3
9720,445000,Citywide
704,720000,4
28,424374,5
901,490000,5
469,575000,2
1081,695000,3
2906,600000,3
906,480000,2
2324,661681,Citywide
3660,561900,4
5078,465000,4
