the_geom,borough,image,number
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86169348644661, 40.87336950411419], [-73.85265385564975, 40.873358316133135], [-73.85266905953614, 40.86649658544186], [-73.86170775758347, 40.86650777228233], [-73.86169348644661, 40.87336950411419]]]]}",2,22255,22255
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87971067824697, 40.90769827741141], [-73.87972309669459, 40.900836587118945], [-73.88876645681499, 40.90084565448881], [-73.88875497208149, 40.907707345705596], [-73.87971067824697, 40.90769827741141]]]]}",2,15267,15267
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85259300875174, 40.900805134661816], [-73.84354966004332, 40.90079323374636], [-73.84356580998524, 40.89393154796043], [-73.85260822517705, 40.893943447662764], [-73.85259300875174, 40.900805134661816]]]]}",2,25265,25265
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.8707731152154, 40.85279476910791], [-73.87078644533103, 40.84593302022996], [-73.87982235197867, 40.84594278802941], [-73.87980995403588, 40.85280453790337], [-73.8707731152154, 40.85279476910791]]]]}",2,17247,17247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94306196526394, 40.85971485431385], [-73.93402419206464, 40.859710040216186], [-73.9340309983726, 40.8528482851056], [-73.9430678392024, 40.852853098712444], [-73.94306196526394, 40.85971485431385]]]]}",1,250,250
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.86170775758347, 40.86650777228233], [-73.85266905953614, 40.86649658544186], [-73.8526842602653, 40.85963485532951], [-73.86172202575678, 40.8596460410294], [-73.86170775758347, 40.86650777228233]]]]}",2,22252,22252
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91592261434383, 40.88028349052401], [-73.91593129076064, 40.87342176188835], [-73.92497092627147, 40.87342799316649], [-73.92496318280065, 40.8802897224375], [-73.91592261434383, 40.88028349052401]]]]}",1,5257,5257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7713681713466, 40.8526405923072], [-73.76233139008826, 40.85262232897632], [-73.7623559061873, 40.845760597680545], [-73.77139175528815, 40.845778859149284], [-73.7713681713466, 40.8526405923072]]]]}",2,47247,47247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.93403780326746, 40.84598653077111], [-73.9340446067675, 40.839124759301214], [-73.94307958343654, 40.839129571926485], [-73.94307371192134, 40.845991343887164], [-73.93403780326746, 40.84598653077111]]]]}",1,245,245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83452338626063, 40.89391893992826], [-73.82548097792927, 40.89390562359972], [-73.82549899120677, 40.887043922632195], [-73.83454046621513, 40.887057237603294], [-73.83452338626063, 40.89391893992826]]]]}",2,30262,30262
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7893331065504, 40.8869835803109], [-73.78029164019381, 40.88696672412092], [-73.7803143153603, 40.88010503130678], [-73.7893548485929, 40.880121885778394], [-73.7893331065504, 40.8869835803109]]]]}",2,42260,42260
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87078644533103, 40.84593302022996], [-73.86175055329133, 40.845922544634305], [-73.86176481265436, 40.839060779688744], [-73.87079977271438, 40.83907125421624], [-73.87078644533103, 40.84593302022996]]]]}",2,20245,20245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.80751537869915, 40.852706566925896], [-73.80753523399264, 40.845844827041134], [-73.8165711054955, 40.84585954948328], [-73.81655218236642, 40.8527212908693], [-73.80751537869915, 40.852706566925896]]]]}",2,35247,35247
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83455754262174, 40.880195535561974], [-73.83457461552634, 40.873333815893], [-73.84361423985415, 40.87334642006969], [-73.8435980998896, 40.880208141023765], [-73.83455754262174, 40.880195535561974]]]]}",2,27257,27257
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.83464287187762, 40.84588687096534], [-73.82560699275997, 40.845873564137065], [-73.82562498003456, 40.83901180418577], [-73.83465992717652, 40.83902510965722], [-73.83464287187762, 40.84588687096534]]]]}",2,30245,30245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90693006278119, 40.8459678445431], [-73.90693966223536, 40.83910607497853], [-73.91597464597467, 40.839113010827994], [-73.91596597850508, 40.845974781099855], [-73.90693006278119, 40.8459678445431]]]]}",2,7245,7245
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87974792588282, 40.88711318888463], [-73.870706423308, 40.88710341510801], [-73.87071976718538, 40.88024170835924], [-73.87976033662501, 40.880251481139496], [-73.87974792588282, 40.88711318888463]]]]}",2,17260,17260
