job_description,minimum_qual_requirements,title_classification,agency,title_code_no,posting_date,post_until,additional_information,preferred_skills,division_work_unit,civil_service_title,to_apply
"PLEASE NOTE THAT WE ARE ONLY SEEKING INTERNAL CITY EMPLOYEES FOR THIS POSITION.  The NYC Department of Environmental Protection (DEP) enriches the environment and protects public health for all New Yorkers by providing 1.1 billion gallons of high-quality drinking water, managing wastewater and storm water, and reducing air, noise, and hazardous materials pollution. DEP is the largest combined municipal water and wastewater utility in the country, with nearly 6,000 employees. DEP's water supply system is comprised of 19 reservoirs and 3 controlled lakes throughout the system’s 2,000 square mile watershed that extends 125 miles north and west of the City.  The Bureau of Engineering Design & Construction (BEDC) currently has a portfolio of capital projects valued at $23.8B, and another $10.5B projected over the next 10-year commitment plan. The projects BEDC implements allows DEP as a whole to continue to operate and maintain an exemplary water supply system.  BEDC’s In-House Design (IHD) Directorate consists of two units. The core IHD unit consists of seven engineering sections corresponding to the respective engineering functions they perform. This includes the Architectural, Site Civil, Structural, Process Mechanical/HVAC, Water Tunnel Mechanical Systems, BIM/CADD, and Electrical sections. Each engineering section prepares design and construction documents including engineering plans and specifications for the construction of water supply, sewer, and wastewater treatment infrastructure, which are of the highest priority for the Agency. The second unit, Engineering Services, includes the Quality Assurance, Laboratory Services, Specifications/Standard Operating Procedures and Sustainability sections. This unit focuses on the format of contract documents, standard operating procedures and quality reviews and inspections. Both IHD units support DEP operating bureaus’ capital construction requirements in a manner consistent with BEDC’s core values of safety, schedule, quality, and customer service.  IHD’s Structural section helps maintain the DEP’s proud legacy of designing and managing the construction of New York City’s entire water supply and wastewater infrastructure. Tapping into decades of internal experience and utilizing modern design techniques like finite element modeling (FEM) and analysis, the Structural Section is tasked with creating biddable structural design documents including calculations, drawings, and specifications. Projects include water tunnels and shafts, distribution chambers, pump stations, treatment plants, and other subsurface and surface structures. The Structural section also provides design services during construction (DSDC) and advises and assists other IHD sections with their structural engineering design needs. This section regularly coordinates with BEDC’s other sections, DEP’s operating bureaus, and DEP’s outside engineering consultants as well.  BEDC seeks to hire a Civil Engineer 3 (Design Lead) for IHD’s Structural Section, located in Queens, NY. Under supervision of the Section Manager and with latitude for independent judgement, the selected engineer will engage in the delivery of DEP’s capital projects through the design phase with the preparation of engineering documents including drawings and specifications for large projects for water and wastewater treatment facilities, which are of the highest priority for the Agency. Work shall include preparing engineering documents for site development water supply facilities, water tunnels, wastewater treatment systems and other miscellaneous facilities. Specific work areas where the selected engineer will be engaged include, but are not limited to, preparing plans and specifications or related calculations; conducting investigations and field visits; reviewing shop drawings, material approvals and requests for information; preparing and completing change order documentation; conducting and directing research; preparing proposals and reports; witness shop testing and commissioning of complex structural systems; development of project schedules; communicating and coordinating with other engineers and stakeholders; and documenting issues/resolutions in issues logs. The Design Lead will be responsible for signing and sealing drawings and project specifications. The selected engineer will also provide staff supervision and mentoring and may review and/or oversee staff review of designs prepared by outsourced engineering firms for various facilities and provide review and recommendations of technical proposals. The Design Lead will be required to travel operating a motor vehicle to job sites to perform site investigations, equipment testing, inspections, and attend site meetings with stakeholders during design and construction phases of projects, as needed.    **** Only those applicants with permanent civil service status as a Civil Engineer are eligible to apply to this JVN. If you do not have permanent civil service status as a Civil Engineer, please do not apply to this position as you will not be considered for an interview. ****  PREFERRED SKILLS   1.	Fifteen (15) years of full-time, satisfactory experience in civil engineering work with emphasis on structural work.   2.	Extensive knowledge of structural engineering that includes the principles of analysis of structures and their application, the behavior of materials under loading, the selection of construction materials, and the design of reinforced masonry and concrete and steel structures.   3.	Proficient use of AutoCAD and Revit.  4.	Proficient use of software STAAD PRO, and Ram Elements for completing engineering calculations.  5.	Strong communication and coordination skills.  6.	Experience in the use of Microsoft Office Applications such as Word, Excel, and PowerPoint.  7.	Familiarity with Codes and Standards.  8.	Strong written communication skills to prepare technical reports.  9.	Strong analytical ability.  10.	A valid New York State Driver’s License.","(1) Four (4) years of full-time, satisfactory experience in civil engineering work; and   (2) A valid New York State Professional Engineer’s License. Current New York State registration as a Professional Engineer must be maintained for the duration of your employment.    A masters degree in civil engineering from an accredited college or university, accredited by regional, national, professional or specialized agencies recognized as accrediting bodies by the U.S. Secretary of Education and by the Council for Higher Education Accreditation (CHEA) may be substituted for one year of the civil engineering experience required in “1"" above.  Special Note:  In addition to above qualification requirements, to be eligible for placement in Assignment Levels II and III, individuals must have at least one year within the last three years of experience as a major contributor or a project leader on a complex project requiring additional and specific expertise in the disciplines needed to design or construct the project.",Competitive-1,DEPT OF ENVIRONMENT PROTECTION,20215,2025-11-12T00:00:00.000,14-JAN-2026,,,TUNNEL STRUCTURAL DESIGN,CIVIL ENGINEER,
"TASK FORCE: 		Citywide Government Operations  UNIT:			DCAS  JOB TITLE: 		One (1) Unit Head  CONTROL CODE: 	AA-26-01   SUMMARY:   The Mayor’s Office of Management and Budget (OMB) is the City government's chief financial agency. OMB's staff of analysts and experts assembles and oversees the Mayor’s expense and capital budgets, which fund the services and activities of approximately 90 City agencies and entities.  This Task Force oversees and prepares the expense and capital budgets of administrative agencies and offices of elected officials of the City of New York. The focus of this Task Force is on the coordination of government operations and citywide policies.  There are over 30 agencies, offices, boards, and commissions monitored by this Task Force. They can be categorized as the offices of elected officials, administrative agencies, or technology agencies. Administrative agencies, such as the Department of Citywide Administrative Services, provide centralized services and various support functions to City agencies.  JOB DESCRIPTION:  The selected candidate will oversee the DCAS Unit, one fourth of the Task Force.  The duties of this position encompass supervising junior staff and directing the unit in performing the following activities:  •	Evaluating programs and budgetary matters pertaining to the Department of Citywide Administrative Services, the Board of Elections, the Department of Records and Information Services, and other agencies as required. •	Reviewing and evaluating on-going agency fiscal requests and personnel requests and formulating appropriate recommendations in order to ensure a sufficient allocation of resources for agencies to meet mandated responsibilities and programmatic requirements. •	Monitoring and reviewing agency expense budgets, including conducting expenditure analyses, determining validity, feasibility and cost-effectiveness of projects in the budget and preparing analytical reports and briefings. •	Monitoring and reviewing the capital budgets and preparing and updating capital plans. •	Reviewing and developing recommendations for fiscal and operational efficiencies. •	Acquiring and maintaining detailed knowledge of agency programs and operations.  •	Overseeing special projects relating to agency programs and operations. •	Analyzing legislative proposals and estimating their fiscal impact on operational policies. •	Providing written and verbal responses to requests for information from OMB supervisory staff, agencies, the Mayor's Office, and City and State auditors.  QUALIFICATIONS:  We are seeking an individual with strong analytic and quantitative skills, who has demonstrated problem solving experience. A premium is placed on critical thinking. The ideal candidate is able to meet tight deadlines, both in and out of financial plan preparation. The candidate should also possess the ability to effectively manage multiple, often-competing priorities to ensure properly skilled individuals are assigned to and satisfy specific needs. The candidate should have excellent written and verbal communication skills and possess strong interpersonal skills.    REQUIREMENTS:  A cover letter is required to be considered for this position. Applications submitted without a cover letter will not be considered.  Unit Head ($121,768): Bachelor's degree and a minimum of four years of experience in budgetary planning/management, financial analysis, public policy analysis or a related field; or an awarded Master's degree in Public Finance, Public Administration, Policy Analysis, Business, Economics or a related field and two years of experience.   THE OFFICE OF MANAGEMENT AND BUDGET AND THE CITY OF NEW YORK ARE INCLUSIVE EQUAL OPPORTUNITY EMPLOYERS COMMITTED TO RECRUITING AND RETAINING A DIVERSE WORKFORCE AND PROVIDING A WORK ENVIRONMENT THAT IS FREE FROM DISCRIMINATION AND HARASSMENT BASED UPON ANY LEGALLY PROTECTED STATUS OR PROTECTED CHARACTERISTIC, INCLUDING BUT NOT LIMITED TO AN INDIVIDUAL'S SEX, RACE, COLOR, ETHNICITY, NATIONAL ORIGIN, AGE, RELIGION, DISABILITY, SEXUAL ORIENTATION, VETERAN STATUS, GENDER IDENTITY, OR PREGNANCY.  You must be a City resident within 90 days of the date of appointment and you must be legally eligible to work in the United States.  SUBMISSION OF A RESUME IS NOT A GUARANTEE THAT YOU WILL RECEIVE AN INTERVIEW; ONLY THOSE CANDIDATES UNDER CONSIDERATION WILL BE CONTACTED.   This is a hybrid position with in-person days located at OMB’s offices at 255 Greenwich Street",1. A baccalaureate degree from an accredited college.,Pending Classification-2,OFFICE OF MANAGEMENT & BUDGET,06088,2025-12-19T00:00:00.000,,,,Admin Agen. And Elec Offic,BUDGET ANALYST (OMB),
"About HPD, the Office of Housing Access and Stability:   The New York City Department of Housing Preservation and Development (HPD) is the nation’s largest municipal housing preservation and development agency. Its mission is to promote quality and affordability in the city's housing, and diversity and strength in the city’s neighborhoods because every New Yorker deserves a safe, affordable place to live in a neighborhood they love.   HPD is entrusted with fulfilling these objectives through the goals and strategies of Housing Our Neighbors: A Blueprint for Housing and Homelessness, Mayor Adams’ comprehensive housing framework. HPD is committed to reducing administrative and regulatory barriers and make investments to tackle New York City’s complex housing crisis, by addressing homelessness and housing instability, promoting economic stability and mobility, increasing homeownership opportunities, improving health and safety, and increasing opportunities for equitable growth.   The Office of Housing Access and Stability (“HAS”) consists of the divisions of Housing Opportunity, Tenant and Owner Resources, Housing Stability, Budget and Program Operations, and Program Policy and Innovation. The mission of the office is to ensure fair, efficient, and transparent access to affordable housing. The Office provides subsidies, placement services, and tools that connect New Yorkers to affordable housing and ensures vulnerable households in subsidized housing have the support they need to be safely housed. Housing Access is committed to expanding housing choices, affirmatively furthering fair housing, and stabilizing the financial health of buildings.  Your Team:   At HPD, rent subsidy programs are administered by the Division of Tenant & Owner Resources (DTOR). HPD’s rental subsidies, including Section 8 or the Housing Choice Voucher (HCV) program, provide funding to eligible low-income families for rental assistance toward decent, safe, and affordable housing in a neighborhood of their choice. Families pay approximately 30% of their income toward rent, and the NYC Department of Housing Preservation and Development (HPD) pays the difference, directly to the owner. The unit must have a rent that is determined reasonable and affordable by HPD and must meet federal Housing Quality Standards (HQS) to be approved.  Your Impact:   HPD's Division of Tenant & Owner Resources (DTOR) is responsible for the administration of rental subsidy programs that include Housing Choice Voucher (HCV), Project Based Voucher (PBV), Moderate Rehab Section 8, Moderate Rehab Single Room Occupancy (SRO), and Continuum of Care (CoC)-Shelter Plus Care (SPC) and NYC 15/15. Through these programs, HPD serves over 40,000 households and 9,000 landlords in all five boroughs. DTOR is responsible for the initial application screening; confirming eligibility requirements; briefing applicants; and issuing vouchers. DTOR also monitors tenant and landlord compliance of their obligations under each program and continues to administer the ongoing subsidies throughout their participation. These continued activities include processing annual and interim recertifications to update family income/assets, household composition, and rent amounts; tenant moves and transfers; approved rent increases; Housing Assistance Payment (HAP) abatements and reinstatements to enforce Housing Quality Standard (HQS) inspection results; and providing customer service to stakeholders through our Client Services office, call center and the DTR Portal.   Your Role:   All Case Managers in the Division of Tenant and Owner Resources are expected to perform case management functions to provide necessary and important services to assist and expedite Section 8 vouchers to HPD clients. These services may consist of meeting with groups in-house, attending workshops or attending community events. Case managers are also expected to participate in tenant activity programs and projects to coordinate functions that aim to improve tenant-management relations, as well as encourage participation related to Section 8 dealings. Additionally, Case managers will ensure participant cases are accurately screened and reviewed for completeness and in compliance with Federal HUD Rules and Regulations.   Key Responsibilities:    · Manage a caseload of assisted or applicant households  · Initial voucher application screening  · Determination and verification of eligibility  · Client briefings (internal and external meetings)  · May perform community outreach to assist Section 8 participation  · Prepare and send appropriate correspondence, track responses  · Document case files and electronic records, file preparation  · Rent calculations  · Review of yearly recertification’s of household composition and income/asset information  · Demonstrate ability to manage multiple cases while prioritizing cases for processing  · Attend mandatory trainings   Preferred skills   · Excellent Communication Skills (both orally and in writing)  · Strong Customer Service Focus  · Computer Proficiency  · Bilingual a Plus  · Section 8 or other Rental Subsidy experience a Plus","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to ""1"" above.",Non-Competitive-5,HOUSING PRESERVATION & DVLPMNT,56057,2025-11-07T00:00:00.000,06-JAN-2026,,,HOUSING CHOICE VOUCHER TENANCY,COMMUNITY ASSOCIATE,
"The Office of Labor Relations (OLR) represents the Mayor in the conduct of all labor relations between the City of New York and labor unions representing employees of the City. The Commissioner serves on behalf of the Mayor as the City’s liaison with both labor and management in the private sector. The office is authorized by Executive Order 38 (February 7, 1967), amended by Executive Order 13 (July 24, 1990). Additionally, OLR administers the Health Benefits Program, Management Benefits Fund, Employee Assistance Program, Work Well NYC, Medicare Part B Reimbursement and Pre-Tax Benefits & Citywide Programs including the Deferred Compensation Plan and NYCE IRA. In addition to negotiating collective bargaining agreements, OLR serves as a resource to agencies with regard to workforce labor issues and works with the Municipal Labor Committee (MLC) to pursue innovations in a variety of areas, particularly regarding City health insurance programs. The staff at OLR assist their fellow agencies in handling personnel and payroll issues, conducting labor-management meetings, representing the City at representation hearings, and handling all employee grievances and arbitration matters while also negotiating collective bargaining agreements with the City's 149 bargaining units.  The New York City EAP is a confidential, problem-solving program available to all New York City non–uniformed employees and their dependents in addition to the Department of Education (DOE), NYC Health + Hospitals (H+H), Department of Correction (DOC) and New York City Housing Authority (NYCHA).  The NYC EAP was created to act as a helping hand for NYC employees and their families. It is of utmost importance that NYC employees receive the mental, emotional, and social resources they need to feel healthy and supported in their work.   Job Description  EAP Supervisor will provide the following services: •	Initial and continuous needs assessment of EAP staff •	Clinical Supervision of EAP Counselors            o  Weekly meetings with each counselor           o  Monthly clinical meetings with All EAP Counselors           o  Chart reviews           o  Annual evaluations  •	Providing direct services to clients •	Program Development based on needs assessments •	Developing educational and marketing materials to promote the program.  •	Consulting with senior staff to assess the ongoing needs of the staff.  •	Organize community resources to address the issues that are impacting city government employees.  •	Staffing/scheduling of services •	Report directly to EAP Deputy Director of Clinical Services","1.  For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.  To be appointed to Assignment Level II and above, candidates must have:  1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or  2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or  3. Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ""2"" above. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above.    NOTE:  Probationary Period  Appointments to this position are subject to a minimum probationary period of one year.",Non-Competitive-5,OFFICE OF LABOR RELATIONS,21744,2025-11-13T00:00:00.000,12-JAN-2026,"Required Qualifications •	Master’s Degree in a mental health field (i.e. social work, mental health counselor).   •	New York State Licensure.   •	Supervisory experience •	Candidates must be able to accommodate a flexible work schedule, (11am-7pm shift)","•	Experience in trauma work, substance use treatment, crisis-intervention and group work. •	Public speaking, presentation and workshop development and execution. •	3 or more years post graduate experience in a mental health field. •	Writing Skills •	Familiarity of NYC agencies and employee populations.",Central Eap,CITY RESEARCH SCIENTIST,TO APPLY PLEASE SUBMIT YOUR RESUME AND COVER LETTER ELECTRONICALLY USING ONE OF THE FOLLOWING METHODS:  CITY EMPLOYEES: Apply through Employee Self Service (ESS) at www.nyc.gov/ess ALL OTHER APPLICANTS: Go to www.nyc.gov/careers SEARCH FOR JOB ID# 727758 Submission of a resume is not a guarantee that you will receive an interview. The Office of Labor Relations is an Equal Opportunity Employer
"Under general supervision, with some latitude for independent initiative, the selected candidate will perform various functions assisting with the coordination of Office of Safety and Security activities.  Responsibilities will include, but are not limited to the following:  1.	Review, process, and close out Workplace Violence and NYCHA Safety and Security reports. 2.	Assist, implement, monitor safety and security initiatives at NYCHA developments. 3.	Conduct unannounced inspections of buildings where there are Security/Firewatch guards. 4.	Maintain safety and security records, written reports, daily and monthly metrics. 5.	Conduct regular audits of files to ensure compliance with department/agency guidelines and protocols. 6.	Perform risk assessments at each NYCHA property. 7.	Attend staff meetings, training sessions and community meetings as required. 8.	Work with NYCHA Security and NYPD on various safety initiatives. 9.	Perform daily office operational tasks.  Special Conditions: Individual selected for this position will be actively engaged in physical building inspections, as well as performing tasks that require a lot of walking, climbing stairs and standing for long periods of time.  NOTE: Office of Safety and Security employees are required to hold all confidential information in trust and strict confidence; unauthorized information sharing is strictly prohibited.  Additional Information  1.	NYCHA employees applying for transfer, promotional, title or level change opportunities must have served a period of one year at current location and in current title and level (if applicable). 2.	NYCHA residents are encouraged to apply. 3.	NYCHA provides benefits that include a choice of medical coverage plans, deferred compensation plans and a defined pension benefit plan as a member of the New York City Employees’ Retirement System (NYCERS).  Please read this posting carefully to make certain you meet the minimum qualification requirements before applying to this position.","Qualification Requirements  1. High school graduation or equivalent and three years of experience in community work or community centered activities in an area related to duties described above; or  2. Education and/or experience which is equivalent to ""1"" above.",Non-Competitive-5,NYC HOUSING AUTHORITY,56057,2025-12-15T00:00:00.000,04-JAN-2026,"1.	NYCHA employees applying for transfer, promotional, title or level change opportunities must have served a period of one year at current location and in current title and level (if applicable). 2.	NYCHA residents are encouraged to apply. 3.	NYCHA provides benefits that include a choice of medical coverage plans, deferred compensation plans and a defined pension benefit plan as a member of the New York City Employees’ Retirement System (NYCERS).","1.	Established proficiency in Microsoft Office tools. 2.	Excellent written and verbal communication skills and proven ability to interact with all levels of management. 3.	Ability to work in a fast-paced environment and prioritize assignments to meet deadlines. 4.	Ability to take initiative, problem-solve, work independently and within a team setting.",Office Of Safety And Security,COMMUNITY ASSOCIATE,"Click the ""Apply"" button."
"Hours: Full-Time – 35 Hours Work Location:  777 Third Ave, New York, NY 10017  Candidates who are permanent in the Administrative Construction Project Manager title or those who are reachable on the promotional exam#3523 or filed for open-competitive exam #3039 are strongly encouraged to apply. Please include a copy of your Notice of Results or indicate on your resume and cover letter if you are already permanent in the title.  The NYC Department of Design and Construction, Borough Based Jails (BBJ) Program, seeks a Project Executive be responsible for the administration of the Borough Based Jail Program to affect the construction facilities throughout the City. The Project Executive will manage Borough Based Jail Program aggressive construction schedule; ensure project milestones are met; execute strategies to drive a high-profile project through the required regulatory agencies. Additional duties include: monitoring project budget, working with a team of Design Builder’s architects, engineers, and construction managers, overseeing the allocation of resources, and ensuring timely delivery of completed facilities. The selected candidate will work with other Borough Based Jails (BBJ) Program Executives to ensure adherence to contract documents and collaborate to ensure that projects remain on schedule and budget. Other key responsibilities include: working with the DDC’s senior management, and supervisors to implement tiered methodology; and understanding and supervising the construction with clear accountability for the construction teams and their staff. The Project Executive will update the BBJ team on all project-related issues and liaise with various agency interagency task forces. Significant interaction with Senior Management is required.  Authorization to work in the United States is required for this position. NYC Department of Design and Construction does not provide sponsorship for international employees for visa applications, extensions, or status changes, including STEM/OPT visas. Applicants are responsible for ensuring that they meet all qualifying requirements for this position, at the time of application.  All applicants, including City Employees:  Please go to NYC Government Jobs  Explore Careers  City of New York, go to Search for Open Jobs, and type in the Job ID # listed above. Submit job application as prompted. Do not apply via Employee Self-Service (ESS), e-mail, mail, or fax your resume to DDC directly.","At least six years of full-time satisfactory experience in construction management work on capital projects, each one of which must have had a dollar value of at least $15,000, at least eighteen months of which must have been in a managerial or consultative capacity in an organization responsible for the management of construction; and a combination of the following, sufficient to equal a total of ten years of education and experience: a. Full-time satisfactory experience in construction inspection on capital projects, each one of which must have had a dollar value of at least $15,000. One year of acceptable experience will be credited for each year of construction inspection experience up to a maximum of four years. b. Full-time satisfactory experience in building construction as a journeyperson in one or more of the skilled building construction trades. One year of acceptable experience will be credited for each year of journeyperson experience up to a maximum of four years. c. Education in an accredited college leading to a bachelor's degree in architecture, landscape architecture, or air pollution control, chemical, civil including structural and bridge design, electrical, mechanical, or sanitary engineering will be credited on the basis of 30 credits for one year of acceptable experience up to a maximum of four years. A New York State license as a professional engineer or registered architect or a license as a professional engineer or registered architect from a state that has reciprocity with New York State may be substituted for the four years of education and experience described in ""a"", ""b"" and ""c"" above. However, all candidates must have at least six years of experience in construction management work described above, including at least eighteen months in a managerial or consultative capacity in an organization responsible for the management of construction.  License Requirements Possession of a Motor Vehicle Driver License valid in the State of New York. Employees must maintain the license during their employment.",Competitive-1,DEPT OF DESIGN & CONSTRUCTION,8299A,2025-11-12T00:00:00.000,,,"Preference will be given to candidates with at least ten years of experience in management, project management, administration, and/or supervisory work. Candidates must have excellent verbal and written skills, and knowledge of the City’s infrastructure and public buildings systems.",OFFICE OF COMMISSIONER/BBJ,ADM CONSTRUCTION PRJ MGR-NM,
"The Fire Department of the City of New York (FDNY) is the largest Fire Department in the United States and universally is recognized as the world's busiest and most highly skilled emergency response agency. The Department's main goal is to provide fire protection, emergency medical care, and other critical public safety services to residents and visitors in the five boroughs.  FDNY members are sworn to serve and protect life and property and the Department works to continually educate the public in fire, life safety and disaster preparedness, along with enforcing public safety codes. Since its inception in 1865, FDNY has helped lead efforts to make New York the safest big city in the nation. This accomplishment requires a steadfast and daily commitment to maintaining the Department's core values.   The Fire Department, City of New York (FDNY), seeks a full-time Agency Attorney in the Bureau of Legal Affairs. Reporting directly to the Director of Enforcement, the successful candidate will: Serve as a member of the Legal Enforcement Unit, representing the agency in and/or monitor Office of Administrative Trials and Hearings (OATH/ECB) proceedings. Review OATH/ECB determinations and prepare and file appeals.  Respond to public inquiries and correspondence.  Assist in the development and/or implementation of legal enforcement policies and procedures. Serve as liaison with the New York City Law Department in connection with criminal court proceedings. Perform other agency legal work, including providing legal guidance to agency staff. Draft contracts and agreements.  Serve as liaison to the New York City Law Department in connection with litigation. Perform other tasks as may be assigned by the Deputy Commissioner, Assistant Commissioner/Deputy General Counsel, Director of the General Law Unit or Director of Enforcement in connection with the Bureau of Legal Affairs.","1. Admission to the New York State Bar; and either ""2"" or ""3"" below.  2. One year of satisfactory United States legal experience subsequent to admission to any state bar; or   3. Six months of satisfactory service as an Agency Attorney Interne (30086).    Incumbents must remain Members of the New York State Bar in good standing for the duration of this employment.  In addition to meeting the minimum Qualification Requirements:  To be assigned to Assignment Level (AL) II, candidates must have one year of experience at Assignment Level I or two years of comparable legal experience subsequent to admission to the bar, in the areas of law related to the assignment. To be assigned to AL III candidates must have two years of experience in Assignment Levels I and/or II or three years of comparable legal experience subsequent to admission to the bar, in the areas of law related to the assignment.",Non-Competitive-5,FIRE DEPARTMENT,30087,2024-12-16T00:00:00.000,,,Excellent legal judgment and writing skills. Excellent communication and computer skills. Ability to work with and/or supervise non-legal staff.,Legal Enforcement,AGENCY ATTORNEY,"All applicants please visit cityjobs.nyc.gov. Search for open Jobs, and type in the Job ID # listed above.  City of New York employees please include your employee reference number on your cover letter and resume."
"Pursuant to Article 18B of the County Law, the Assigned Counsel Plan (ACP) has been providing quality legal services to indigent persons since 1966. These services are funded by the City of New York through the Mayor’s Office of Criminal Justice and provided with oversight of the 1st and 2nd Appellate Division Departments. The ACP provides compensation to private attorneys for representing indigent clients charged with criminal offenses. Attorneys are assigned matters by the Court and the Administrator's office when a conflict exists prohibiting the institutional providers from providing representation.  The Supervisory Attorney will provide oversight for ACP attorneys representing clients facing misdemeanor, felony and homicide charges in the Criminal and Supreme Courts in New York City. Under the supervision of the ACP Administrators and with significant latitude for independent judgment, the Supervisory Attorney will assist in the professional development of ACP attorneys through the provision of technical assistance to attorneys by executing the following tasks: Monitor and maintain a high standard of representation and client services  Evaluate ACP attorney needs and identify necessary resources to address these needs.  Foster and encourage teamwork and communication, reinforce and maintain staff accountability, mentor and train staff, advice and provide assistance to panel attorneys on all cases.  Assist with database management.  Monitor case activity to ensure attorney adherence to best practices (e.g., occurrence of in person or video-conference meetings, effective motion practice, robust and timely utilization of experts and investigators).  Attend citywide and statewide coalition meetings, task forces, and working groups for a variety of initiatives. Represent ACP at meetings with community, government, professional associations, and other business entities.  Maintain cooperative/supportive relationships roles with relevant personnel in state and city agencies and among community-based stakeholders.  Oversee recertification programs.  Respond to client, community, and staff concerns.  Develop staff trainings with the Training/Continuing Education Coordinator across a variety of skill and practice areas.  Respond to client, community, staff, and court operational concerns and needs, including, but not limited to, the resolution of court-based issues such as court production of clients, case assignment inequities, attorney tardiness, staffing allocations, etc.  Investigate and respond to complaints filed against panel attorneys  Prepare and deliver written and oral presentations to city officials and other key stakeholders.","Admission to the New York State Bar; and four years of recent full-time responsible, relevant, satisfactory legal experience subsequent to admission to any bar, eighteen months of which must have been in the supervision of other attorneys, in an administrative, managerial or executive capacity, or performing highly complex and significant legal work.    Incumbents must remain Members of the New York State Bar in good standing for the duration of this employment.",Non-Competitive-5,OFFICE OF CRIMINAL JUSTICE,95005,2024-01-25T00:00:00.000,,,"Supervisory and management experience preferred.   Extensive legal experience combined with being an effective self-starter, possessing both the capacity for independence and the ability to work cooperatively to advance the goals of the ACP.  Proven ability to establish and maintain effective working relationships with a wide range of entities from government agencies, other prosecutorial and regulatory bodies, and community organizations.  Effective and creative leadership ability with the capacity to work both independently and cooperatively to implement key strategies, evaluate new policies and analyze new legislation.",ACP Staff,EXECUTIVE AGENCY COUNSEL,"Please submit resume, cover letter, references"
"The Office of Chief Medical Examiner investigates cases of persons who die within New York City from criminal violence, by accident, by suicide, suddenly when in apparent health, when unattended by a physician, in a correctional facility or in any suspicious or unusual manner or where an application is made pursuant to law for a permit to cremate a body of a person.  The core values of CARES guide our work for communities and inform our behavior toward each other and all those we serve.  • Commitment: Dedicated to the mission at all times • Accountability: Responsible to each other and the community • Resilience: Adapt in the face of adversity • Excellence: Achieve and maintain the highest quality • Service: Innovate to meet evolving needs  Under direct supervision, the selected candidate will be responsible for but not limited to the following:  • Triages cases based on the matrix, which outlines mandatory imaging needed • Supervises, prepares, and positions decedent to take forensic x-ray pictures according to standard procedures or as prescribed by the Pathologist or Anthropologist in-charge. • Adjusts and operators control both X-ray equipment and CT scanners to obtain correct exposure • Manages and ensures that cases are properly identified and maintains required records. • Creates case notes and documents daily cases • Supervise and ensure the cleaning of apparatus as necessary. • Supervises and trains Level 1 technicians • Identifies and maintains adequate stock of supplies and equipment • Prepares and manages staff schedule • Other duties as assigned.  SPECIAL NOTE:   •	Selected candidates will be required to provide a DNA sample by swabbing.  •	This position has been identified as essential. During emergency events, essential positions may require 24-hour availability.  WORK AUTHORIZATION:  Authorization to work in the United States is required for this position. Office of Chief Medical Examiner does not provide sponsorship for international employees for visa applications, extensions, or status changes, including STEM/OPT visas. Applicants are responsible for ensuring that they meet all qualifying requirements for this position at the time of application.   ***Please note that only candidates selected for interviews will be contacted for this position. FINAL APPOINTMENTS ARE SUBJECT TO OFFICE OF MANAGEMENT & BUDGET APPROVAL.***","A four-year high school diploma or its educational equivalent, and a valid license as a General Radiological Technologist issued by the State of New York. This license must be maintained for the duration of employment in this title.    NOTES:  1. For appointment to Assignment Level III, in addition to meeting the above  requirement, all candidates must have two years of satisfactory, full-time  experience as an X-Ray Technician, which must have been in a supervisory  capacity.  2. For assignment to the Office of the Chief Medical Examiner only, one year of  satisfactory full-time experience operating X-Ray apparatus and auxiliary  equipment may be substituted for the above-cited license.",Competitive-1,DEPT OF HEALTH/MENTAL HYGIENE,51310,2025-11-21T00:00:00.000,20-JAN-2026,,,OCME - XRay,X-RAY TECHNICIAN,
