job_id,salary_range_from,salary_range_to,career_level,job_category,business_title,hours_shift,process_date,number_of_positions,work_location,full_time_part_time_indicator
762226,68145.0,74134.0,Entry-Level,Administration & Human Resources Legal Affairs,Labor Relations Associate,,2025-12-23T00:00:00.000,1,"40 Worth St., N.Y.",F
758633,65123.0,74892.0,Experienced (non-manager),"Health Public Safety, Inspections, & Enforcement","Industrial Hygienist II - Environmental, Health & Safety Specialist",,2025-12-23T00:00:00.000,1,96-05 Horace Harding Expway,F
758618,59715.0,70000.0,Experienced (non-manager),Administration & Human Resources,Citytime/Leave Analyst,Work Schedule - 35 Hours Per Week,2025-12-23T00:00:00.000,1,"33 Beaver St, New York Ny",F
758693,82056.0,94364.0,Experienced (non-manager),Constituent Services & Community Programs,PPU Deputy Manager,,2025-12-23T00:00:00.000,1,"66 John Street, New York, Ny",F
623592,45.91,45.91,Experienced (non-manager),"Constituent Services & Community Programs Health Policy, Research & Analysis","CATCH School Nurse, Bureau of School Health",,2025-12-23T00:00:00.000,8,"1826 Arthur Ave., Bronx",P
739950,65091.0,74855.0,Experienced (non-manager),"Finance, Accounting, & Procurement Social Services",Auditor,,2025-12-23T00:00:00.000,1,"2 Lafayette St., N.Y.",F
730845,518.0,518.0,Experienced (non-manager),Building Operations & Maintenance,Supervisor Electrician,,2025-12-23T00:00:00.000,1,Brooklyn Bridge Shops,F
762428,83743.0,141970.0,Experienced (non-manager),"Green Jobs Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",Senior Construction Project Manager,,2025-12-23T00:00:00.000,1,59-17 Junction Blvd Corona Ny,F
758511,87743.0,100904.0,Experienced (non-manager),"Policy, Research & Analysis","Drug-Checking Technician, Bureau of Alcohol and Drug Use",,2025-12-23T00:00:00.000,1,42-09 28th Street,F
762767,73419.0,115000.0,Experienced (non-manager),"Finance, Accounting, & Procurement",Deputy Director of Quality Assurance,,2025-12-23T00:00:00.000,1,"1 Centre St., N.Y.",F
730845,518.0,518.0,Experienced (non-manager),Building Operations & Maintenance,Supervisor Electrician,,2025-12-23T00:00:00.000,1,Brooklyn Bridge Shops,F
733153,115000.0,125000.0,Experienced (non-manager),"Technology, Data & Innovation",Senior Software Engineer (GeoSupport),,2025-12-23T00:00:00.000,1,"120 Broadway, New York, NY",F
752624,78250.0,118387.0,Experienced (non-manager),"Public Safety, Inspections, & Enforcement",Unit Lead,35 hours per week,2025-12-23T00:00:00.000,1,96-05 Horace Harding Expway,F
711394,58377.0,67134.0,Experienced (non-manager),Social Services,CASE MANAGEMENT SUPERVISOR,,2025-12-23T00:00:00.000,1,"32-20 Northern Blvd, L.I.C. Ny",F
755240,63079.0,63079.0,Experienced (non-manager),"Technology, Data & Innovation","Compliance Technician, Bureau of IT Infrastructure and Support Services",,2025-12-23T00:00:00.000,1,42-09 28th Street,F
751957,62868.0,90000.0,Experienced (non-manager),"Finance, Accounting, & Procurement",Payment Coordinator,35 hours weekly,2025-12-23T00:00:00.000,1,59-17 Junction Blvd Corona Ny,F
759503,85250.0,123000.0,Experienced (non-manager),"Technology, Data & Innovation",IT Support Specialist,,2025-12-23T00:00:00.000,1,"42 Broadway, N.Y.",F
761819,86141.0,92732.0,Experienced (non-manager),"Public Safety, Inspections, & Enforcement",SUPERVISING FIRE ALARM DISPATCHER,,2025-12-23T00:00:00.000,1,"9 Metrotech Center, Brooklyn N",F
