system,inline_ska,feature_su
Q373-SKATEPARK-01,,Concrete
Q099-ZN06-SKATEPARK-01,Yes,Concrete
X179-SKATEPARK-01,,Concrete
B219-SKATEPARK-01,,
Q004-ZN01-SKATEPARK-01,,Concrete
X104-01-SKATEPARK-01,,Concrete
B057-06-SKATEPARK-01,,Wood
R008-SKATEPARK-01,,Concrete
M071-21-SKATEPARK-01,Yes,Metal
B131-SKATEPARK-01,,
R046-07-SKATEPARK-01,Yes,Metal
B145-SKATEPARK-01,,Concrete
B066-SKATEPARK-01,,Concrete
X092-SKATEPARK-01,,
B268-SKATEPARK-01,,Concrete
Q510-SKATEPARK-01,,
M047-01-SKATEPARK-01,Yes,Concrete
B096-SKATEPARK-01,,Concrete
B008-SKATEPARK-01,,
X034-SKATEPARK-01,,Wood
Q015-05-SKATEPARK-01,Yes,Wood
B118A-SKATEPARK-01,,Concrete
X002-ZN03-SKATEPARK-01,,Metal
X348-SKATEPARK-01,Yes,Concrete
X138-SKATEPARK-01,,
Q163-SKATEPARK-02,,Metal
B548-SKATEPARK-01,,
B018-ZN02-SKATEPARK-01,,Concrete
B127-SKATEPARK-01,,Concrete
X183-SKATEPARK-01,,Concrete
Q108-SKATEPARK-01,,Concrete
M019-SKATEPARK-01,Yes,Concrete
B111A-SKATEPARK-01,,Concrete
B141-SKATEPARK-01,,Concrete
Q162J-SKATEPARK-01,Yes,Concrete
B025-SKATEPARK-01,,Concrete
Q007-SKATEPARK-01,,Concrete
Q128-SKATEPARK-01,Yes,Metal
B243-SKATEPARK-01,,Concrete
B012-SKATEPARK-01,,Concrete
B380-SKATEPARK-01,,Metal
B058-ZN01-SKATEPARK-01,No,Concrete
X148C7-SKATEPARK-01,,
M037-ZN07-SKATEPARK-01,,Concrete
