the_geom,system,gispropnum
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87078469784655, 40.764957750621925], [-73.87076587825936, 40.76486614995662], [-73.87070158038736, 40.76482872126489], [-73.87047651590778, 40.76485545209168], [-73.87050437396125, 40.764991044528415], [-73.87078469784655, 40.764957750621925]]]]}",Q373-SKATEPARK-01,Q373
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84331016402777, 40.743335545390224], [-73.84335497182634, 40.74333262565916], [-73.84339843184166, 40.74332383186363], [-73.84343922447184, 40.74330943146347], [-73.84347610904281, 40.7432898631238], [-73.8435079652892, 40.74326571966168], [-73.84353382653401, 40.74323773638372], [-73.84355290462005, 40.74320676230316], [-73.84356462192524, 40.743173739470826], [-73.84356862209378, 40.743139670571196], [-73.8435647819397, 40.7431055910223], [-73.84355321980928, 40.74307253656857], [-73.84353428736732, 40.74304151085167], [-73.84350855782158, 40.74301345747908], [-73.84347681533951, 40.74298922849227], [-73.8434400231397, 40.74296955910994], [-73.8433992986726, 40.74295504878429], [-73.8433558805269, 40.742946136842754], [-73.84331108700836, 40.74294309522842], [-73.84326627946984, 40.742946014942575], [-73.84322281968353, 40.74295480868867], [-73.84318202722581, 40.74296920811243], [-73.84314514274388, 40.74298877725931], [-73.84311328531658, 40.74301291971989], [-73.84308742516636, 40.743040902905896], [-73.84306834691141, 40.74307187691012], [-73.84305662937817, 40.74310489969241], [-73.8430526289499, 40.743138968574385], [-73.84305646884394, 40.74317304814023], [-73.84306803074533, 40.74320610264339], [-73.84308696301694, 40.74323712843617], [-73.84311269247154, 40.74326518190209], [-73.84314443495055, 40.743289411888824], [-73.84318122724184, 40.74330908046417], [-73.84322195187575, 40.743323591766696], [-73.8432653702495, 40.74333250375826], [-73.84331016402777, 40.743335545390224]]]]}",Q099-ZN06-SKATEPARK-01,Q099
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90228015716708, 40.81494224824052], [-73.90221797171512, 40.81495968588306], [-73.90221334209713, 40.81494999710545], [-73.90191710760628, 40.81503107932198], [-73.90197573961959, 40.815153775148744], [-73.90233550414646, 40.8150553030762], [-73.90228015716708, 40.81494224824052]]]]}",X179-SKATEPARK-01,X179
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90459666862513, 40.67847772161652], [-73.90459615602906, 40.678468925861054], [-73.90459376009736, 40.678460313149536], [-73.90458954555687, 40.67845211406741], [-73.90458362564195, 40.67844455113553], [-73.90457615974557, 40.67843782710173], [-73.90456734987349, 40.67843212313682], [-73.90455743355344, 40.67842759432606], [-73.90454667674992, 40.67842436155883], [-73.9045353703143, 40.678422512426266], [-73.90452381816327, 40.67842209670863], [-73.90421285461397, 40.67841788499078], [-73.90417603618157, 40.67841894485728], [-73.9041200361077, 40.67842055695443], [-73.90406403603112, 40.67842216902431], [-73.90393432208984, 40.67873307257628], [-73.90392942003398, 40.67874482200544], [-73.90395687891322, 40.678746171387836], [-73.90397917251897, 40.67874574604068], [-73.90406954350921, 40.67873532231754], [-73.90457829963476, 40.678676637358905], [-73.90459666862513, 40.67847772161652]]]]}",B219-SKATEPARK-01,B219
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92532913103744, 40.77754482508604], [-73.92526799758899, 40.777548035369264], [-73.92520805686355, 40.777557714704585], [-73.92515048654613, 40.777573672952315], [-73.92509641826496, 40.777595595675585], [-73.9250469150767, 40.77762305223002], [-73.9250029513214, 40.77765550295398], [-73.92496539128877, 40.777692309059645], [-73.92503737264296, 40.777787659701275], [-73.92500599178314, 40.77782099570005], [-73.92500687987435, 40.77784866241926], [-73.92501368203368, 40.77787585031758], [-73.92502621784256, 40.77790183257102], [-73.92504415165881, 40.77792591737342], [-73.92506700444777, 40.77794746055142], [-73.9250941667879, 40.777965887185324], [-73.92512491425447, 40.77798070602753], [-73.92518928977299, 40.777974859452435], [-73.92525199537543, 40.77796233813361], [-73.92531184025084, 40.77794338083562], [-73.9253676855792, 40.777918347026336], [-73.92541847296698, 40.77788771329283], [-73.92546323512393, 40.77785206074075], [-73.92548168061501, 40.77783611486405], [-73.92549755248542, 40.77781864186906], [-73.92551063131944, 40.77779987934771], [-73.92552418799278, 40.77777117918696], [-73.92553123676115, 40.77774115918474], [-73.92553157767378, 40.777710665685284], [-73.92552520030048, 40.777680559562576], [-73.92551228731465, 40.777651688306456], [-73.9254932002995, 40.777624866202856], [-73.92546847977307, 40.77760085092113], [-73.92543882033839, 40.77758031918456], [-73.92540506004165, 40.77756384875404], [-73.92536814958818, 40.777551904901145], [-73.92532913103744, 40.77754482508604]]]]}",Q004-ZN01-SKATEPARK-01,Q004
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.87693604674915, 40.87738926966809], [-73.87662569024181, 40.87715318329003], [-73.8762276812704, 40.8774728194388], [-73.87654854834622, 40.87770105325366], [-73.87693604674915, 40.87738926966809]]]]}",X104-01-SKATEPARK-01,X104
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91996794995755, 40.58884837968505], [-73.91997565080668, 40.58883039078566], [-73.91997925714497, 40.588811669610145], [-73.9199786667465, 40.58879275189933], [-73.9199738954995, 40.58877418248101], [-73.91996507979388, 40.58875649365906], [-73.91995247417374, 40.58874019260472], [-73.91993644072066, 40.5887257487418], [-73.91991743726275, 40.58871357572837], [-73.91989601147907, 40.58870402244734], [-73.91987277728545, 40.5886973639853], [-73.91984840303456, 40.58869379171826], [-73.91982358671733, 40.588693406991275], [-73.9198077849982, 40.58869652708491], [-73.91979287278724, 40.588701587525165], [-73.91977925659695, 40.5887084508161], [-73.91976730756467, 40.58871692810736], [-73.91975735198957, 40.58872678999377], [-73.91974966188297, 40.58873776650879], [-73.91974444668635, 40.588749557924785], [-73.91973814792, 40.588766567118014], [-73.91972817201665, 40.58878252103], [-73.9197148053867, 40.58879696149334], [-73.91969843125187, 40.588809473633326], [-73.9196858582296, 40.58881620526517], [-73.91967497962564, 40.58882447527401], [-73.91966611348779, 40.58883404074127], [-73.91965952357242, 40.588844620888416], [-73.91965540161715, 40.588855904268804], [-73.91960462824373, 40.58884395572832], [-73.91960062690922, 40.58886198861563], [-73.91960078680368, 40.58888027656114], [-73.91960510387125, 40.58889826664039], [-73.91961344528896, 40.588915414843804], [-73.9196255588988, 40.58893120049142], [-73.91964107909004, 40.588945146048935], [-73.91965953623355, 40.588956829741534], [-73.91968036966135, 40.58896589727003], [-73.91970295009544, 40.58897207443435], [-73.91972659263288, 40.5889751743465], [-73.91975058272745, 40.588975102852416], [-73.91974203807054, 40.58893340084044], [-73.91975693446359, 40.58893172006086], [-73.91977126489547, 40.588928191009785], [-73.91978463589369, 40.58892290976874], [-73.91979668345779, 40.58891602196877], [-73.91980707661406, 40.58890771378772], [-73.91982339425029, 40.588897988713505], [-73.91984149782712, 40.588890317176215], [-73.91986094651662, 40.58888488527589], [-73.91988126648035, 40.58888182595899], [-73.91990196386911, 40.588881213624234], [-73.91991378326087, 40.588880378972675], [-73.91992527245054, 40.58887810235143], [-73.91993612778563, 40.58887444298368], [-73.9199460680132, 40.588869497029606], [-73.91995483192295, 40.58886339308235], [-73.91996219015954, 40.58885629217624], [-73.91996794995755, 40.58884837968505]]]]}",B057-06-SKATEPARK-01,B057
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.13590342096855, 40.64052991020963], [-74.13590286421264, 40.64051658137715], [-74.13589570793972, 40.640516268348954], [-74.13587817488188, 40.64051491487472], [-74.13587762391751, 40.64053055214734], [-74.13587108230271, 40.64054414061218], [-74.13586547904764, 40.64055701295542], [-74.135864570975, 40.64057202478876], [-74.13586742790918, 40.640592750472806], [-74.13584119219392, 40.640611366390225], [-74.13581235792142, 40.64061306821044], [-74.13580924834883, 40.64060992906971], [-74.13580557564761, 40.640607165210064], [-74.13580141795772, 40.64060483417246], [-74.13579686285807, 40.640602984481404], [-74.13579200382013, 40.64060165564939], [-74.13579254197954, 40.64059888591629], [-74.13579244525741, 40.640596087215734], [-74.13579171618855, 40.64059334329307], [-74.13579037858311, 40.64059073606748], [-74.13578847161007, 40.6405883429373], [-74.13578605215979, 40.64058623587694], [-74.1357831924725, 40.64058447783742], [-74.13577997658975, 40.64058312185012], [-74.13577650389372, 40.640582207420536], [-74.13577287492491, 40.640581762346066], [-74.13576920083392, 40.640581800003226], [-74.13576558919559, 40.640582319364455], [-74.13576214873756, 40.640583304992646], [-74.13575898342957, 40.640584727047866], [-74.13575618657616, 40.64058654309559], [-74.13575384200105, 40.64058869900566], [-74.13575202050372, 40.64059113075772], [-74.13575077631357, 40.640593764445164], [-74.13575014592, 40.640596522580196], [-74.13575014806922, 40.64059932229294], [-74.13574245255332, 40.640602994690695], [-74.13573565734643, 40.64060758365471], [-74.13572994660939, 40.640612962895005], [-74.13572547845163, 40.64061898453987], [-74.1357223743045, 40.64062548545212], [-74.13572071773754, 40.6406322863298], [-74.13572055566387, 40.64063920341171], [-74.13572189124223, 40.64064604578392], [-74.13572468980938, 40.64065262617925], [-74.13572887298017, 40.64065876638721], [-74.13573432692297, 40.64066429724441], [-74.1357409035597, 40.640669067638086], [-74.13574842175376, 40.640672947206625], [-74.13573626081494, 40.64069154648398], [-74.135715157312, 40.64069297169998], [-74.13571842490425, 40.64072381784183], [-74.13573819915926, 40.64072156481576], [-74.13574127555377, 40.64072698951616], [-74.13574535361454, 40.64073201500436], [-74.1357503480133, 40.64073653692084], [-74.13575615097534, 40.640740458136456], [-74.13576264056722, 40.64074369504693], [-74.13577965060159, 40.64080228707819], [-74.13578188286455, 40.64080535341298], [-74.13578472095749, 40.64080811375623], [-74.13578809499167, 40.64081049885045], [-74.13579191973014, 40.64081244936193], [-74.13579610050058, 40.64081391677442], [-74.13580053201518, 40.64081486429083], [-74.13580510546673, 40.64081526862617], [-74.13580970379701, 40.64081511821194], [-74.13584909910853, 40.64080792335482], [-74.13585280709573, 40.64080594773707], [-74.13585607685268, 40.640803565602106], [-74.13585883164868, 40.64080083107178], [-74.13586100659471, 40.64079780815967], [-74.13586255218655, 40.64079456896594], [-74.13586343192944, 40.6407911882767], [-74.13586362470394, 40.64078774446228], [-74.13586312712864, 40.64078431857333], [-74.13584707603587, 40.640735731994454], [-74.13590995200555, 40.640739231861495], [-74.13591673960855, 40.64074657928267], [-74.1359250643903, 40.64075294241969], [-74.13593468481503, 40.640758137851726], [-74.13594532394953, 40.64076201551914], [-74.13595667183317, 40.640764461422], [-74.13596840086235, 40.64076540570705], [-74.13598016933376, 40.64076482086213], [-74.13599163681621, 40.64076272349909], [-74.13599803318637, 40.64077241723153], [-74.1360062153367, 40.64078129658292], [-74.13601601146821, 40.640789172647004], [-74.13602720962834, 40.64079587637643], [-74.1360395707274, 40.640801264870916], [-74.1360470585352, 40.64079196445199], [-74.13607898759655, 40.64080407738307], [-74.13608157771485, 40.64080870839154], [-74.13608513523762, 40.64081295103171], [-74.1360895606243, 40.640816688353766], [-74.13609473545084, 40.64081981873904], [-74.13610051768272, 40.640822256806196], [-74.1361067475897, 40.640823935205226], [-74.13611325484598, 40.64082480821119], [-74.13611986325901, 40.64082485171854], [-74.13612638959091, 40.64082406504371], [-74.13613265774288, 40.64082247000759], [-74.13613849402265, 40.64082010914028], [-74.13614373896986, 40.64081704746804], [-74.13614825089556, 40.640813368907025], [-74.13615190351362, 40.64080917446505], [-74.13615460012, 40.64080457862264], [-74.13615626413133, 40.640799707543316], [-74.13615685089557, 40.64079469365631], [-74.1361699725315, 40.640787529795055], [-74.13617752853625, 40.640786747301135], [-74.13618480122263, 40.64078500338736], [-74.13619158144633, 40.640782346929534], [-74.13619767548829, 40.640778854701395], [-74.1362029050472, 40.6407746277724], [-74.13620712023632, 40.640769787890314], [-74.13621020075989, 40.64076447477831], [-74.13621205708606, 40.64075884163079], [-74.13621263516454, 40.640753049704905], [-74.13621191878727, 40.64074726651643], [-74.13620992957547, 40.640741659536474], [-74.1362067222381, 40.64073638989305], [-74.1362023916591, 40.64073160966155], [-74.13619706224534, 40.640727455573455], [-74.13620080102814, 40.64072030372168], [-74.13625557689707, 40.64070880223302], [-74.1362658806959, 40.64070592366998], [-74.13627550241213, 40.640701901353985], [-74.13628422352903, 40.64069682559609], [-74.13629184804435, 40.64069081279594], [-74.13629820481674, 40.64068399643335], [-74.13630314757621, 40.64067653247187], [-74.13630768217426, 40.64067585981192], [-74.13631778630607, 40.64067651511957], [-74.13633186961462, 40.64068064441588], [-74.13634474780736, 40.64068684813537], [-74.1363511353752, 40.640669071509905], [-74.13635845609129, 40.64065150179758], [-74.13634457527621, 40.64065332379813], [-74.13633688145292, 40.64065376156746], [-74.13631604384157, 40.64065049847378], [-74.13631247435046, 40.64064850175065], [-74.13630736233482, 40.64062634872562], [-74.13629701253655, 40.64061306662303], [-74.13630113569678, 40.640610059403755], [-74.13630413167299, 40.64060676805575], [-74.1363071267714, 40.640603047160845], [-74.13630918118909, 40.640598326903664], [-74.13631048756237, 40.640594894375624], [-74.1363087778259, 40.64058431799904], [-74.13630291337861, 40.640561880400874], [-74.13630157867992, 40.64055144586173], [-74.13630362433685, 40.64054243734089], [-74.13630716813792, 40.64053128200655], [-74.13632928905375, 40.640504796717714], [-74.13632106101376, 40.64050239217911], [-74.13631257884191, 40.640500582284076], [-74.13630391586318, 40.64049938225445], [-74.13629514657178, 40.64049880100714], [-74.13628438910949, 40.640498331078305], [-74.13627363887865, 40.640498507712984], [-74.13626695952624, 40.64049902262068], [-74.13626988719331, 40.640547956986495], [-74.13626386274271, 40.64054962378297], [-74.13625828192066, 40.64055202487746], [-74.13625329590937, 40.640555094352905], [-74.136249044031, 40.64055874739549], [-74.13624564193694, 40.640562885711645], [-74.1362431816005, 40.640567393926005], [-74.13624173133908, 40.64057215038751], [-74.13624132989389, 40.640577022673945], [-74.13624199000047, 40.64058187929437], [-74.13624369247232, 40.64058658699459], [-74.13623123842856, 40.64058545899005], [-74.13621870832759, 40.640585872763715], [-74.13620642842137, 40.640587816222386], [-74.13619471897383, 40.64059123945826], [-74.1361838859841, 40.64059605385821], [-74.13617421054718, 40.640602132116385], [-74.13616594414552, 40.64060931814537], [-74.13615930391114, 40.64061742257928], [-74.13614526263005, 40.6406338799895], [-74.13612661778797, 40.640629377852036], [-74.13610724149589, 40.640627344901354], [-74.13608769303582, 40.64062783990955], [-74.13606853744997, 40.64063084779963], [-74.13605032544953, 40.64063628237084], [-74.1360335839599, 40.640643987210446], [-74.13601879602919, 40.64065373841881], [-74.13600638903112, 40.64066525633026], [-74.13599677669784, 40.64066170704432], [-74.1359865850005, 40.64065926698226], [-74.13597603511317, 40.64065798991362], [-74.1359653528836, 40.640657902586796], [-74.13595477001886, 40.64065900652881], [-74.1359445122656, 40.64066127895988], [-74.13594954246167, 40.64065435522202], [-74.13595292003025, 40.64064687151357], [-74.13595454140378, 40.64063905488807], [-74.13595435859676, 40.64063114223892], [-74.13595237682831, 40.64062337399869], [-74.13594865450393, 40.640615985133905], [-74.13594330675247, 40.64060920063809], [-74.13593649476665, 40.640603225638976], [-74.13592842579548, 40.64059824179629], [-74.13591934367061, 40.64059439920829], [-74.13590952407573, 40.640591815516984], [-74.13589926507476, 40.64059056871517], [-74.13589085907395, 40.64057914205075], [-74.13589177150733, 40.64056627434911], [-74.13589668528404, 40.640552687806874], [-74.1359022790388, 40.64053457354898], [-74.13590342096855, 40.64052991020963]]]]}",R008-SKATEPARK-01,R008
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.97062187242592, 40.80457854436684], [-73.97011735090041, 40.80531319985958], [-73.97055891580875, 40.805488287525215], [-73.97106343260268, 40.80475363012032], [-73.97062187242592, 40.80457854436684]]]]}",M071-21-SKATEPARK-01,M071
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.90558529874981, 40.68340911206437], [-73.90558894464907, 40.6834115266336], [-73.90566726550917, 40.68340266856992], [-73.90566510397241, 40.683391199646415], [-73.90566339681533, 40.683382142673125], [-73.90566685045954, 40.683379144089685], [-73.90558803694589, 40.68307259113944], [-73.90558373333616, 40.683073537651154], [-73.9055792838378, 40.683073923922926], [-73.90557481030787, 40.68307373834806], [-73.9055704416754, 40.68307298733601], [-73.90556726581053, 40.6830727983232], [-73.90556416618024, 40.683072236559866], [-73.90556121847082, 40.68307131651634], [-73.90555849481078, 40.683070058963715], [-73.9055560590317, 40.68306849637285], [-73.90555397141256, 40.68306666391332], [-73.90555228156951, 40.68306460845272], [-73.90555103083699, 40.68306237775211], [-73.90555024401144, 40.68306000334998], [-73.90554995528396, 40.683057565420185], [-73.90555017048617, 40.683055122500875], [-73.90555088598245, 40.68305273582415], [-73.90555208276456, 40.683050463007305], [-73.90554388760084, 40.68301783424106], [-73.90554138191857, 40.683016351738274], [-73.90553921850308, 40.68301458405331], [-73.90553745288766, 40.683012576257504], [-73.90553613231738, 40.68301037881846], [-73.90553528864804, 40.683008050295804], [-73.90553494427333, 40.683005648340846], [-73.90553510738557, 40.683003235095775], [-73.90553577434663, 40.68300087359371], [-73.9055369285128, 40.68299862235437], [-73.905538539044, 40.68299654078634], [-73.90552806374096, 40.68297106833696], [-73.90552571556593, 40.6829702955686], [-73.90552357600096, 40.682969228503254], [-73.9055217076959, 40.68296789871033], [-73.90552016500867, 40.682966345857096], [-73.90551899401031, 40.68296461410668], [-73.9055182301143, 40.68296275571794], [-73.90551789453515, 40.68296082563977], [-73.90551799784004, 40.68295887971265], [-73.90551853639714, 40.68295697646713], [-73.90551949593375, 40.682955170822844], [-73.9055208456174, 40.68295351678533], [-73.9055192895288, 40.68294973424709], [-73.90550988034003, 40.682941585869486], [-73.90549876109344, 40.68293480036624], [-73.90548626744642, 40.68292958242932], [-73.90547277415986, 40.682926089055734], [-73.90545869155306, 40.68292442684292], [-73.9054444442217, 40.68292464476745], [-73.90543046038817, 40.6829267368775], [-73.90542911241533, 40.682927183325354], [-73.90541651166626, 40.68293242927185], [-73.90540520290455, 40.68293916933219], [-73.90539548803075, 40.682947221851016], [-73.90538762640831, 40.68295637181909], [-73.90538183012555, 40.682966375371635], [-73.90537825215978, 40.682976964281465], [-73.9053769887306, 40.68298785496585], [-73.90537807455499, 40.682998757487724], [-73.90538148047658, 40.68300937915584], [-73.90538711344858, 40.683019436231326], [-73.90542768168811, 40.68306271859226], [-73.90546173001388, 40.683109143780825], [-73.90548884164882, 40.68315814593742], [-73.90550868621345, 40.68320912505294], [-73.90552102207354, 40.68326146047821], [-73.90552569633961, 40.68331451182428], [-73.90552265431238, 40.68336763247782], [-73.90552314897677, 40.68337416881814], [-73.9055250018377, 40.68338056309181], [-73.90552816344375, 40.683386652264964], [-73.90553255594182, 40.68339228138519], [-73.9055380671561, 40.683397308078895], [-73.90554455649901, 40.68340160525801], [-73.90555185969987, 40.683405062924734], [-73.90555979234522, 40.683407594478226], [-73.90556815224704, 40.6834091349153], [-73.9055767265352, 40.683409644438655], [-73.90558529874981, 40.68340911206437]]]]}",B131-SKATEPARK-01,B131
