budgetedunits,sponsorname
120,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
200,"Jewish Community Center of Staten Island, Incorporated"
75,The Jewish Association For Services for the Aged
1317,"Lenox Hill Neighborhood House, Inc."
325,The Jewish Association For Services for the Aged
137,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
1050,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
75,The Jewish Association For Services for the Aged
120,"Hamilton-Madison House, Inc."
460,"Lenox Hill Neighborhood House, Inc."
29433,"Community Agency for Senior Citizens, Inc."
100,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
45,VISIONS/Services for the Blind and Visually Impaired
260,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
1212,"Queens Community House, Inc."
30584,"Sunnyside Community Services, Inc."
110,Presbyterian Senior Services
23505,"Isabella Geriatric Center, Inc."
300,"Jewish Community Center of Staten Island, Incorporated"
15,"Selfhelp Community Services, Inc."
90,"Sunnyside Community Services, Inc."
52190,"New York Foundation for Senior Citizens, Inc."
480,"Heights and Hills, Inc."
32,"Lenox Hill Neighborhood House, Inc."
5400,"Sunnyside Community Services, Inc."
1130,"Community Agency for Senior Citizens, Inc."
66,"Regional Aid for Interim Needs, Inc."
33503,"Selfhelp Community Services, Inc."
240,"Sunnyside Community Services, Inc."
16247,The Jewish Association For Services for the Aged
45,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
150,"Services Now for Adult Persons, Inc."
24,"Lenox Hill Neighborhood House, Inc."
75,"Sunnyside Community Services, Inc."
541,Presbyterian Senior Services
6200,The Jewish Association For Services for the Aged
2496,"Carter Burden Network, Inc."
1317,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
120,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
1030,"Lenox Hill Neighborhood House, Inc."
350,"Sunnyside Community Services, Inc."
16898,"Selfhelp Community Services, Inc."
20,"Hamilton-Madison House, Inc."
75,The Jewish Association For Services for the Aged
100,"Jewish Community Center of Staten Island, Incorporated"
50,Presbyterian Senior Services
120,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
2629,"Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc."
3800,"Hamilton-Madison House, Inc."
1317,"Selfhelp Community Services, Inc."
27,"Catholic Charities Neighborhood Services, Inc."
315,"THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC."
48,"Hamilton-Madison House, Inc."
936,"Carter Burden Network, Inc."
120,VISIONS/Services for the Blind and Visually Impaired
120,VISIONS/Services for the Blind and Visually Impaired
120,"Hamilton-Madison House, Inc."
