programname
"6K3-Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc.-01|DFTABASELINE"
"5K1-Jewish Community Center of Staten Island, Incorporated-01|DFTABASELINE"
2MG-The Jewish Association For Services for the Aged-01|DFTABASELINE
"01|DFTAONETIME-COUNCIL, BUCKET 1"
2K2-The Jewish Association For Services for the Aged-01|DFTABASELINE
"1K5-THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.-01|DFTABASELINE"
"6K3-Services and Advocacy for Gay, Lesbian, Bisexual and Transgender Elders, Inc.-01|DFTABASELINE"
2MK-The Jewish Association For Services for the Aged-01|DFTABASELINE
"3K4-Hamilton-Madison House, Inc.-01|DFTABASELINE"
"3K3-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
"5M4-Community Agency for Senior Citizens, Inc.-01|DFTABASELINE"
"1K5-THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.-01|DFTABASELINE"
6K5-VISIONS/Services for the Blind and Visually Impaired-01|DFTABASELINE
"1K5-THE NEIGHBORHOOD SELF-HELP BY OLDER PERSONS PROJECT, INC.-01|DFTABASELINE"
"4MD-Queens Community House, Inc.-01|DFTABASELINE"
"4MB-Sunnyside Community Services, Inc.-01|DFTABASELINE"
1K1-Presbyterian Senior Services-01|DFTABASELINE
"3MB-Isabella Geriatric Center, Inc.-01|DFTABASELINE"
"5K1-Jewish Community Center of Staten Island, Incorporated-01|DFTABASELINE"
"3M9-Selfhelp Community Services, Inc.-01|DFTABASELINE"
"4K1-Sunnyside Community Services, Inc.-01|DFTABASELINE"
"3M8-New York Foundation for Senior Citizens, Inc.-01|DFTABASELINE"
"2K4-Heights and Hills, Inc.-01|DFTABASELINE"
"3K3-Lenox Hill Neighborhood House, Inc.-01|DFTABASELINE"
"4K1-Sunnyside Community Services, Inc.-01|DFTABASELINE"
"5M4-Community Agency for Senior Citizens, Inc.-01|DFTABASELINE"
"1MA-Regional Aid for Interim Needs, Inc.-01|DFTABASELINE"
"3M9-Selfhelp Community Services, Inc.-01|DFTABASELINE"
"4K1-Sunnyside Community Services, Inc.-01|DFTABASELINE"
2MJ-The Jewish Association For Services for the Aged-01DFTABASELINE
