dbn,school_name,link_to_school_s_virtual,link_to_school_s_myschools
02M131,Sun Yat Sen Middle School  (02M131),{'url': 'https://ms131131.org/admissions/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16275'}
03M247,M.S. M247 Dual Language Middle School  (03M247),{'url': 'https://www.duallanguagemiddleschool.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18460'}
30Q286,"Young Women's Leadership School, Astoria  (30Q286)",{'url': 'https://www.tywls-astoria.org/apps/pages/index.jsp?uREC_ID=1638857&type=d&pREC_ID=1780956'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/19593'}
03M245,M.S. M245 The Computer School  (03M245),{'url': 'https://www.thecomputerschool.org/apps/pages/index.jsp?uREC_ID=1607833&type=d&pREC_ID=1737173'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18111'}
29Q259,Pathways College Preparatory School: A College Board School  (29Q259),{'url': 'https://pathwaysprep.org/admissions/open-house/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17685'}
22K890,M.S. 890  (22K890),{'url': 'https://www.ms890.org/open-house-information.html'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16949'}
14K614,Young Women's Leadership School of Brooklyn  (14K614),{'url': 'https://www.tywlsbrooklyn.org/applying-to-our-school'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16085'}
25Q281,East-West School of International Studies  (25Q281),{'url': 'https://www.ewsis.org/middle-school-open-house'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16660'}
21K281,I.S. 281 Joseph B Cavallaro  (21K281),{'url': 'https://prezi.com/view/8WpGeHfPVCrfadMsFLsv/'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16849'}
03M054,J.H.S. 054 Booker T. Washington  (03M054),{'url': 'https://www.ms54.org/admissions.html'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17865'}
19K935,M.S. 935  (19K935),{'url': 'https://sites.google.com/view/ms935/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/18649'}
03M862,Mott Hall II  (03M862),{'url': 'http://www.motthall2.org/admissions'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/16329'}
02M347,The 47 American Sign Language & English Lower School  (02M347),{'url': 'https://www.ps347.org/middle_school_enrollment'},{'url': 'https://www.myschools.nyc/en/schools/middle-school/17623'}
