report_date,age_group,engagement_category,citywide_count
2025-10-09T00:00:00.000,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1373
2025-12-08T00:00:00.000,18-20 Years,IN ENGAGEMENT REVIEW PROCESS,1403
2025-12-08T00:00:00.000,18-20 Years,PENDING WECARE SCHEDULING/OUT,45
2025-10-09T00:00:00.000,21-24 Years,CONCILIATION/CONFERENCE,26
2025-12-08T00:00:00.000,18-20 Years,WELLNESS/REHAB PROGRAM,2
2025-12-08T00:00:00.000,21-24 Years,PREGNANT,1
2025-11-03T00:00:00.000,21-24 Years,EMPLOYMENT-BUDGETED,1824
2025-12-08T00:00:00.000,21-24 Years,PENDING CASAC SCHEDULING/OUT,11
2025-10-09T00:00:00.000,18-20 Years,RECEIVING SSI,16
2025-10-09T00:00:00.000,21-24 Years,NEEDED AT HOME,5
2025-12-08T00:00:00.000,16-17 Years,ACTIVE SINGLE ISSUE CASES,6
2025-12-08T00:00:00.000,18-20 Years,TEMP. INCAPACITATED - HEALTH,9
2025-10-09T00:00:00.000,21-24 Years,NOI ISSUED,25
2025-12-08T00:00:00.000,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
2025-10-09T00:00:00.000,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
2025-12-08T00:00:00.000,16-17 Years,STUDENT OVER AGE 15,5
2025-12-08T00:00:00.000,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,4
2025-11-03T00:00:00.000,18-20 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,25
2025-12-08T00:00:00.000,18-20 Years,ASSIGNED JOB SEARCH,627
2025-12-08T00:00:00.000,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,180
2025-10-09T00:00:00.000,21-24 Years,ACTIVE SINGLE ISSUE CASES,491
2025-12-08T00:00:00.000,21-24 Years,IN ENGAGEMENT REVIEW PROCESS,6576
2025-10-09T00:00:00.000,21-24 Years,SUBSTANCE ABUSE CONCURRENT,1
2025-10-09T00:00:00.000,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
2025-12-08T00:00:00.000,18-20 Years,NULL PIW STATUS,1
2025-12-08T00:00:00.000,21-24 Years,ASSIGNED JOB SEARCH,2853
2025-12-08T00:00:00.000,21-24 Years,DASIS CASES,335
2025-11-03T00:00:00.000,21-24 Years,AGE 60 OR OVER,1
2025-11-03T00:00:00.000,21-24 Years,UNDERCARE AWAITING SCHEDULING,1298
2025-11-03T00:00:00.000,16-17 Years,UNENGAGED,3
2025-11-03T00:00:00.000,18-20 Years,CALL-IN APPOINTMENT SCHEDULED,172
2025-10-09T00:00:00.000,18-20 Years,UNENGAGED,9
2025-11-03T00:00:00.000,21-24 Years,WELLNESS/REHAB PROGRAM,9
2025-11-03T00:00:00.000,18-20 Years,SSI PENDING/APPEALING,2
2025-12-08T00:00:00.000,16-17 Years,IN ENGAGEMENT REVIEW PROCESS,1
2025-12-08T00:00:00.000,18-20 Years,EMPLOYMENT-BUDGETED,271
2025-10-09T00:00:00.000,21-24 Years,AWAITING CONCILIATION SCHED.,4
2025-11-03T00:00:00.000,18-20 Years,RECEIVING SSI,17
2025-10-09T00:00:00.000,18-20 Years,WELLNESS/REHAB PROGRAM,3
2025-10-09T00:00:00.000,16-17 Years,CALL-IN APPOINTMENT SCHEDULED,2
2025-11-03T00:00:00.000,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,3
2025-11-03T00:00:00.000,18-20 Years,EDUCATION/TRAINING,61
2025-12-08T00:00:00.000,18-20 Years,SANCTION IN EFFECT,1
2025-12-08T00:00:00.000,21-24 Years,FAIR HEARING (CONTESTING),13
2025-10-09T00:00:00.000,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,35
2025-12-08T00:00:00.000,16-17 Years,UNENGAGED,3
2025-11-03T00:00:00.000,16-17 Years,ACTIVE SINGLE ISSUE CASES,4
2025-12-08T00:00:00.000,21-24 Years,WELLNESS/REHAB PROGRAM,5
2025-12-08T00:00:00.000,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,3
2025-12-08T00:00:00.000,18-20 Years,FAIR HEARING (CONTESTING),1
2025-11-03T00:00:00.000,21-24 Years,SUBSTANCE ABUSE & JOB SEARCH,3
2025-12-08T00:00:00.000,21-24 Years,FTR/FTC,2
2025-12-08T00:00:00.000,18-20 Years,PENDING CASAC SCHEDULING/OUT,4
2025-10-09T00:00:00.000,18-20 Years,STUDENT OVER AGE 15,7
2025-11-03T00:00:00.000,18-20 Years,SUBSTANCE ABUSE TREATMENT,1
2025-12-08T00:00:00.000,21-24 Years,WECARE VOCATIONAL REHABILITAT,58
2025-11-03T00:00:00.000,18-20 Years,WECARE ASSESSMENT SCHEDULED/P,54
2025-12-08T00:00:00.000,18-20 Years,WECARE VOCATIONAL REHABILITAT,5
2025-12-08T00:00:00.000,18-20 Years,NEEDED AT HOME,1
2025-11-03T00:00:00.000,21-24 Years,ELIGIBILITY CALL-IN APPT SCHD,47
2025-11-03T00:00:00.000,21-24 Years,DASIS CASES,330
2025-10-09T00:00:00.000,21-24 Years,AGE 60 OR OVER,1
2025-10-09T00:00:00.000,21-24 Years,TEMPORARILY EXEMPT,214
2025-12-08T00:00:00.000,21-24 Years,EMPLOYMENT-BUDGETED,1890
2025-10-09T00:00:00.000,18-20 Years,ASSIGNED JOB SEARCH,685
2025-12-08T00:00:00.000,21-24 Years,ACTIVE SINGLE ISSUE CASES,459
2025-12-08T00:00:00.000,21-24 Years,AWAITING CONCILIATION SCHED.,4
2025-10-09T00:00:00.000,21-24 Years,UNENGAGED,23
2025-11-03T00:00:00.000,18-20 Years,SANCTION IN EFFECT,1
2025-11-03T00:00:00.000,18-20 Years,FAIR HEARING (CONTESTING),1
2025-11-03T00:00:00.000,16-17 Years,UNDERCARE AWAITING SCHEDULING,1
2025-11-03T00:00:00.000,21-24 Years,SUBSTANCE ABUSE RESIDENTIAL,35
2025-11-03T00:00:00.000,21-24 Years,CONCILIATION/CONFERENCE,15
2025-11-03T00:00:00.000,18-20 Years,ELIGIBILITY CALL-IN APPT SCHD,12
2025-10-09T00:00:00.000,21-24 Years,PENDING CASAC SCHEDULING/OUT,1
2025-11-03T00:00:00.000,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,399
2025-11-03T00:00:00.000,21-24 Years,WECARE VOCATIONAL REHABILITAT,60
2025-10-09T00:00:00.000,18-20 Years,TEMPORARILY EXEMPT,45
2025-12-08T00:00:00.000,21-24 Years,WECARE & SUBSTANCE ABUSE,3
2025-11-03T00:00:00.000,18-20 Years,TEMPORARILY EXEMPT,41
2025-12-08T00:00:00.000,18-20 Years,EMPLOYMENT- GRANT DIVERSION,1
2025-11-03T00:00:00.000,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,950
2025-12-08T00:00:00.000,16-17 Years,EMPLOYMENT-BUDGETED,4
2025-12-08T00:00:00.000,18-20 Years,STUDENT OVER AGE 15,10
2025-12-08T00:00:00.000,18-20 Years,UNDERCARE AWAITING SCHEDULING,243
2025-11-03T00:00:00.000,21-24 Years,NULL PIW STATUS,3
2025-11-03T00:00:00.000,21-24 Years,EMPLOYMENT- GRANT DIVERSION,8
2025-11-03T00:00:00.000,21-24 Years,TEMP. INCAPACITATED - HEALTH,174
2025-12-08T00:00:00.000,16-17 Years,ASSIGNED JOB SEARCH,1
2025-10-09T00:00:00.000,18-20 Years,ACTIVE SINGLE ISSUE CASES,174
2025-11-03T00:00:00.000,18-20 Years,SUBSTANCE ABUSE RESIDENTIAL,15
2025-11-03T00:00:00.000,21-24 Years,AWAITING CONCILIATION SCHED.,6
2025-11-03T00:00:00.000,21-24 Years,NEEDED AT HOME,6
2025-12-08T00:00:00.000,18-20 Years,TEMPORARILY EXEMPT,37
2025-11-03T00:00:00.000,18-20 Years,STUDENT OVER AGE 15,8
2025-11-03T00:00:00.000,21-24 Years,SANCTION IN EFFECT,2
2025-12-08T00:00:00.000,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,3
2025-10-09T00:00:00.000,21-24 Years,WECARE ASSESSMENT SCHEDULED/P,370
2025-10-09T00:00:00.000,21-24 Years,FTR/FTC,1
2025-12-08T00:00:00.000,21-24 Years,NOI ISSUED,12
2025-10-09T00:00:00.000,21-24 Years,EMPLOYMENT-NOT BUDGETED: NO AID TO CONTINUE,197
2025-10-09T00:00:00.000,21-24 Years,EMPLOYMENT-BUDGETED,1528
2025-12-08T00:00:00.000,21-24 Years,PENDING WECARE SCHEDULING/OUT,260
2025-12-08T00:00:00.000,21-24 Years,EDUCATION/TRAINING,216
2025-11-03T00:00:00.000,18-20 Years,EMPLOYMENT- GRANT DIVERSION,1
2025-12-08T00:00:00.000,21-24 Years,CALL-IN APPOINTMENT SCHEDULED,935
2025-12-08T00:00:00.000,18-20 Years,CONCILIATION/CONFERENCE,3
2025-10-09T00:00:00.000,16-17 Years,SUBSTANCE ABUSE RESIDENTIAL,3
2025-11-03T00:00:00.000,21-24 Years,FTR/FTC,1
2025-10-09T00:00:00.000,16-17 Years,ASSIGNED JOB SEARCH,4
2025-11-03T00:00:00.000,18-20 Years,WECARE VOCATIONAL REHABILITAT,6
