platestate,companyname,conditionrestrictions,permittype
,NYC U.S. MARINES CORPS. (FLEET WEEK),MAY PARK IN ALL NO PARKING ZONES INCLUDING:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS,SPECIAL PARKING PERMIT
NY,SLOAN PUBLIC SERVICE AWARDS (OFFICIAL CITY BUSINESS),PERMIT VALID FOR UP TO 45 MINUTES PER LOCATION INCLUDING NO PERMIT AREAS; NO PARKING ANYTIME AND SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING AND AT METERS.,SPECIAL PARKING PERMIT
NY,NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE,MAY PARK IN ALL NO PARKING ZONES ANYTIME SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***,SPECIAL PARKING PERMIT
NY,DEPARTMENT OF EDUCATION,MAY PARK IN ALL NO PARKING ZONES: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS,SPECIAL PARKING PERMIT
NY,NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE,MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS;  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS. ***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***,SPECIAL PARKING PERMIT
NY,LINCOLN CENTER FOR THE PERFORMING ARTS,MAY PARK FOR THE DURATION OF ALL PERFORMANCES IN: ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.,SPECIAL PARKING PERMIT
AZ,UNITED STATES MARINES - TOYS FOR TOTS,MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS,SPECIAL PARKING PERMIT
NY,NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE,MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***,SPECIAL PARKING PERMIT
NY,DEPARTMENT OF EDUCATION,MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS,SPECIAL PARKING PERMIT
NY,NYC DEPARTMENT OF MENTAL HYGIENE,MAY PARK IN ALL NO PARKING ZONES ANYTIME/ SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR FIELD TEAMS & TEAM SUPERVISORS FOR DOHMH ONLY.***,SPECIAL PARKING PERMIT
NJ,DEPARTMENT OF EDUCATION,MAY PARK IN ALL NO PARKING ZONES: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS,SPECIAL PARKING PERMIT
NY,NYC BOARD OF ELECTIONS,"MAY PARK IN ALL NO PARKING ZONES INCLUDING: AUTHORIZED VEHICLES; NO STANDING AUTHORIZED VEHICLES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.
**VALID ON PRIMARY DAY ONLY.** [QUEENS ONLY]",SPECIAL PARKING PERMIT
NY,UNITED STATES MARINES - TOYS FOR TOTS,MAY PARK IN ALL SIGNED AREAS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME / SPECIFIC HOURS  AND AT METERS.,SPECIAL PARKING PERMIT
NY,DEPARTMENT OF EDUCATION,MAY PARK IN ALL NO PARKING ZONES:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  AND AT METERS,SPECIAL PARKING PERMIT
NY,NYC DEPARTMENT OF HEALTH BUREAU OF IMMUNIZATION,MAY PARK IN ALL SIGNED AREAS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING;  NO PARKING ANYTIME / SPECIFIC HOURS AND AT METERS,SPECIAL PARKING PERMIT
,"P.S. 156  AND I.S. 392, DISTRICT 23, WAVERLY SCHOOL",MAY PARK IN ALL AREAS SIGNED:  NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME SPECIFIC HOURS AND AT METERS,SPECIAL PARKING PERMIT
NY,NYC DEPARTMENT OF HEALTH & MENTAL HYGIENE,MAY PARK IN ALL NO PARKING ZONES ANYTIME/SPECIFIC HOURS; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS.***PERMIT VALID FOR DELIVERY OF SUPPLIES FOR DOHMH ONLY.***,SPECIAL PARKING PERMIT
MD,CWA LOCAL 1180 /NAPFA FOUNDATION,MAY PARK IN ALL NO PARKING ZONES INCLUDING: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS,SPECIAL PARKING PERMIT
NJ,WFUV RADIO/ FORDHAM UNIVERSITY,MAY PARK IN AREAS SIGNED: NO STANDING EXCEPT TRUCKS LOADING & UNLOADING; NO PARKING ANYTIME SPECIFIC HOURS AND AT METERS.,SPECIAL PARKING PERMIT
NY,DEPARTMENT OF EDUCATION,MAY PARK IN ALL NO PARKING ZONES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS,SPECIAL PARKING PERMIT
AZ,UNITED STATES MARINES - TOYS FOR TOTS,MAY PARK IN ALL SIGNED AREAS: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; NO PARKING ANYTIME /  SPECIFIC HOURS AND AT METERS.,SPECIAL PARKING PERMIT
NY,NYC BOARD OF ELECTIONS,MAY PARK IN ALL NO PARKING ZONES INCLUDING: AUTHORIZED VEHICLES; NO STANDING AUTHORIZED VEHICLES; NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS. ** VALID FOR PRIMARY DAY ELECTION ONLY.**,SPECIAL PARKING PERMIT
,NYC U.S. MARINES CORPS. (FLEET WEEK),MAY PARK IN ALL NO PARKING ZONES INCLUDING: NO STANDING EXCEPT TRUCKS LOADING/UNLOADING; AND AT METERS,SPECIAL PARKING PERMIT
