expiration_date,permitprintdate,validdates
2008-05-29T00:00:00.000,2008-05-20T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2008-03-13T00:00:00.000,2008-03-03T00:00:00.000,"MARCH 12, 2008"
2010-02-28T00:00:00.000,2009-10-23T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28, 2010"
2009-09-30T00:00:00.000,2009-07-29T00:00:00.000,"AUGUST 24, 2009 - SEPTEMBER 30, 2009"
2010-01-31T00:00:00.000,2009-10-21T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2007-09-03T00:00:00.000,2007-07-12T00:00:00.000,"JULY 23, 2007 - SEPTEMBER 3, 2007"
2008-01-05T00:00:00.000,2007-12-05T00:00:00.000,"DECEMBER 05, 2007 - JANUARY 05, 2008"
2010-01-31T00:00:00.000,2009-10-22T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2010-02-28T00:00:00.000,2009-10-22T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28, 2010"
2009-09-30T00:00:00.000,2009-07-29T00:00:00.000,"AUGUST  24, 2009 - SEPTEMBER 30, 2009"
2008-09-10T00:00:00.000,2008-08-27T00:00:00.000,"SEPTEMBER 9, 2008 (TUESDAY) *PRIMARY DAY ONLY*"
2008-01-05T00:00:00.000,2007-10-16T00:00:00.000,"OCTOBER 16, 2007 - JANUARY 5, 2008"
2007-10-05T00:00:00.000,2007-08-06T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2008-12-19T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - DECEMBER 19, 2008"
2008-01-17T00:00:00.000,2008-01-09T00:00:00.000,"JANUARY 17, 2008"
2010-01-31T00:00:00.000,2009-10-22T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2010-10-20T00:00:00.000,2009-10-16T00:00:00.000,"OCTOBER 20, 2009  (TUESDAY)"
2007-11-27T00:00:00.000,2007-11-16T00:00:00.000,"NOVEMBER 27, 2007"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2008-01-05T00:00:00.000,2007-12-05T00:00:00.000,"DECEMBER 05, - JANUARY 05, 2008"
2008-09-10T00:00:00.000,2008-08-27T00:00:00.000,"SEPTEMBER 9, 2008 (TUESDAY)*PRIMARY DAY ONLY*"
2008-05-29T00:00:00.000,2008-05-20T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2008-12-31T00:00:00.000,2008-04-23T00:00:00.000,"APRIL 24, 2008 - DECEMBER 31, 2008"
2010-02-28T00:00:00.000,2009-10-22T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28, 2010"
2008-12-31T00:00:00.000,2008-04-23T00:00:00.000,"APRIL 24, 2008 - DECEMBER 31, 2008"
2007-12-22T00:00:00.000,2007-10-24T00:00:00.000,"OCTOBER 1, 2007 - DECEMBER 22, 2007"
2008-12-31T00:00:00.000,2007-12-06T00:00:00.000,"DECEMBER 06, 2007 - DECEMBER 31, 2008"
2008-06-04T00:00:00.000,2008-06-02T00:00:00.000,"JUNE 3, 2008 (TUESDAY)"
2007-10-05T00:00:00.000,2007-08-03T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2008-11-25T00:00:00.000,2008-11-17T00:00:00.000,"NOVEMBER 21, & NOVEMBER 24 - NOVEMBER 25, 2008"
2009-12-31T00:00:00.000,2009-01-13T00:00:00.000,"JANUARY 14, 2009 - DECEMBER 31, 2009"
2009-12-31T00:00:00.000,2009-01-13T00:00:00.000,"JANUARY 14, 2009 - DECEMBER 31, 2009"
2010-01-31T00:00:00.000,2009-10-22T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2009-12-31T00:00:00.000,2009-10-06T00:00:00.000,"OCTOBER 6, 2009 - DECEMBER 21, 2009"
2009-12-31T00:00:00.000,2009-03-19T00:00:00.000,"MARCH 19, 2009 - DECEMBER 31, 2009"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2009-12-31T00:00:00.000,2009-03-19T00:00:00.000,"MARCH 19, 2009 - DECEMBER 31, 2009"
2008-06-23T00:00:00.000,2008-06-03T00:00:00.000,"JUNE 14, 15, & JUNE 21, 22, 2008"
2009-12-31T00:00:00.000,2009-10-06T00:00:00.000,"OCTOBER 01, 2009 - DECEMBER 31, 2009"
2009-02-01T00:00:00.000,2008-05-01T00:00:00.000,"MAY 1, 2008 - FEBRUARY 1, 2009"
2009-12-31T00:00:00.000,2009-10-06T00:00:00.000,"OCTOBER 6, 2009, DECEMBER 31, 2009"
2008-06-19T00:00:00.000,2008-06-05T00:00:00.000,"JUNE 18, 2008"
2010-01-31T00:00:00.000,2009-10-22T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2008-01-05T00:00:00.000,2007-10-16T00:00:00.000,"OCTOBER 16, 2007 - JANUARY 5, 2008"
2007-12-22T00:00:00.000,2007-10-24T00:00:00.000,"OCTOBER 1, 2007 -  DECEMBER 22, 2007"
2009-01-05T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - JANURARY 05, 2009"
2010-01-31T00:00:00.000,2009-10-22T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2008-05-29T00:00:00.000,2008-05-16T00:00:00.000,"MAY 23, 2008"
2008-09-10T00:00:00.000,2008-08-27T00:00:00.000,"SEPTEMBER 9, 2008 (TUESDAY) * PRIMARY DAY ONLY*"
2008-01-05T00:00:00.000,2007-12-06T00:00:00.000,"DECEMBER 05, 2007 - JANUARY 05, 2008"
2008-05-29T00:00:00.000,2008-05-16T00:00:00.000,"MAY 23, 2008"
2009-12-31T00:00:00.000,2009-01-13T00:00:00.000,"JANUARY 14, 2009 - DECEMBER 31, 2009"
2009-01-05T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - JANUARY 05, 2009"
2009-09-30T00:00:00.000,2009-07-30T00:00:00.000,"AUGUST 24, 2009 - SEPTEMBER 30, 2009"
2007-08-27T00:00:00.000,2007-08-22T00:00:00.000,"AUGUST 24, 2007 -   AUGUST 27, 2007"
2007-12-22T00:00:00.000,2007-10-24T00:00:00.000,"OCTOBER 1, 2007 - DECEMBER 22, 2007"
2009-12-31T00:00:00.000,2009-10-06T00:00:00.000,"OCTOBER 6, 2009 - DECEMBER 31,2009"
2007-10-05T00:00:00.000,2007-08-03T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2008-09-10T00:00:00.000,2008-08-27T00:00:00.000,"SEPTEMBER 9, 2008 (TUESDAY) *PRIMARY DAY ONLY*"
2007-10-05T00:00:00.000,2007-08-06T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2007-10-05T00:00:00.000,2007-08-03T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2007-10-05T00:00:00.000,2007-08-03T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2008-05-29T00:00:00.000,2008-05-20T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2008-12-19T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - DECEMBER 19, 2008"
2007-12-10T00:00:00.000,2007-12-06T00:00:00.000,"DECEMBER 07, 2007 - DECEMBER 10, 2007"
2007-10-05T00:00:00.000,2007-08-06T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2009-02-28T00:00:00.000,2009-01-06T00:00:00.000,"JANUARY 6, 2009 - FEBRUARY 28, 2009"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2009-09-30T00:00:00.000,2009-07-30T00:00:00.000,"AUGUST 24, 2009 - SEPTEMBER 30, 2009"
2008-12-19T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - DECEMBER 19, 2008"
2010-02-28T00:00:00.000,2009-10-23T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28, 2010"
2008-12-31T00:00:00.000,2007-12-10T00:00:00.000,"DECEMBER 10, 2007 - DECEMBER 31, 2008"
2010-01-31T00:00:00.000,2009-10-22T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2009-01-05T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - JANUARY 05, 2009"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2008-12-31T00:00:00.000,2007-12-10T00:00:00.000,"DECEMBER 10, 2007 - DECEMBER 31, 2008"
2009-09-30T00:00:00.000,2009-07-29T00:00:00.000,"AUGUST 24, 2009 - SEPTEMBER 30, 2009"
2009-12-31T00:00:00.000,2009-01-13T00:00:00.000,"JANUARY 14, 2009 - DECEMBER 31, 2009"
2008-01-28T00:00:00.000,2008-01-09T00:00:00.000,"JANUARY 28, 2008"
2008-09-27T00:00:00.000,2008-09-24T00:00:00.000,"OSEPTEMBER 27, 2008"
2007-10-05T00:00:00.000,2007-08-03T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2010-01-31T00:00:00.000,2009-10-21T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2009-01-05T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - JANUARY 05, 2009"
2009-12-31T00:00:00.000,2009-03-09T00:00:00.000,"MARCH 10, 2009 -  DECEMBER 31, 2009"
2007-12-21T00:00:00.000,2007-10-23T00:00:00.000,"OCTOBER 1, 2007 - DECEMBER 21, 2007"
2010-02-28T00:00:00.000,2009-10-23T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28, 2010"
2008-05-29T00:00:00.000,2008-05-16T00:00:00.000,"MAY 24, 2008"
2009-06-22T00:00:00.000,2009-04-30T00:00:00.000,"JUNE 13, 14, 2009 AND JUNE 20, 21, 2009"
2008-12-31T00:00:00.000,2007-11-27T00:00:00.000,"NOVEMBER 28, 2007 - DECEMBER 31. 2008"
2010-02-28T00:00:00.000,2009-10-22T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28,2010"
2008-12-19T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - DECEMBER 19, 2008"
2010-01-31T00:00:00.000,2009-10-21T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2008-01-05T00:00:00.000,2007-12-06T00:00:00.000,"DECEMBER 05, 2007 - JANUARY 05, 2008"
2010-02-28T00:00:00.000,2009-10-23T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28, 2010"
2008-05-29T00:00:00.000,2008-05-20T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2009-03-12T00:00:00.000,2009-02-26T00:00:00.000,"MARCH 11, 2009 (WEDNESDAY)"
2008-01-05T00:00:00.000,2007-12-05T00:00:00.000,"DECEMBER 05, 2007 - JANUARY 05, 2008"
2007-10-05T00:00:00.000,2007-08-06T00:00:00.000,"AUGUST 13, 2007 - OCTOBER 5, 2007"
2008-05-29T00:00:00.000,2008-05-16T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2008-08-30T00:00:00.000,2008-06-16T00:00:00.000,"AUGUST 1, 2008 - AUGUST 29, 2008"
2007-12-22T00:00:00.000,2007-10-29T00:00:00.000,"OCTOBER 1, 2007 - DECEMBER 22, 2007"
2009-09-30T00:00:00.000,2009-07-30T00:00:00.000,"AUGUST 24, 2009 - SEPTEMBER 30, 2009"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2010-01-31T00:00:00.000,2009-10-21T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2008-09-10T00:00:00.000,2008-08-27T00:00:00.000,"SEPTEMBER 9, 2008 (TUESDAY) *PRIMARY DAY ONLY*"
2009-12-31T00:00:00.000,2009-10-15T00:00:00.000,"OCTOBER 15, 2009 - DECEMBER 31, 2009"
2010-02-28T00:00:00.000,2009-10-22T00:00:00.000,"NOVEMBER 2, 2009 - FEBRUARY 28, 2010"
2010-01-31T00:00:00.000,2009-10-22T00:00:00.000,"OCTOBER 26, 2009 - JANUARY 31, 2010"
2008-05-29T00:00:00.000,2008-05-16T00:00:00.000,"MAY 24, 2008"
2008-01-05T00:00:00.000,2007-12-05T00:00:00.000,"DECEMBER 05, 2007 - JANUARY 05, 2008"
2009-09-30T00:00:00.000,2009-07-30T00:00:00.000,"AUGUST 24, 2009 - SEPTEMBER 30, 2009"
2008-12-31T00:00:00.000,2007-11-27T00:00:00.000,"NOVEMBER 28, 2007 - DECEMBER 31, 2008"
2008-12-19T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29, 2008 - DECEMBER 19, 2008"
2009-01-05T00:00:00.000,2008-10-28T00:00:00.000,"OCTOBER 29,2008 - JANUARY 05, 2009"
2008-08-01T00:00:00.000,2008-06-16T00:00:00.000,"JUNE 20, 2008 - JULY 31, 2008"
2008-01-28T00:00:00.000,2008-01-09T00:00:00.000,"JANUARY 28, 2008"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2008-05-29T00:00:00.000,2008-05-16T00:00:00.000,"MAY 24, 2008"
2008-01-05T00:00:00.000,2007-12-05T00:00:00.000,"DECEMBER 05, 2007 - JANUARY 05, 2008"
2008-12-31T00:00:00.000,2007-11-27T00:00:00.000,"NOVEMBER 28, 2007 - DECEMBER 31, 2008"
2009-01-05T00:00:00.000,2008-10-29T00:00:00.000,"OCTOBER 29, 2008 - JANUARY 05, 2009"
2008-09-26T00:00:00.000,2008-08-21T00:00:00.000,"AUGUST 21, 2008 - SEPTEMBER 26, 2008"
2009-06-21T00:00:00.000,2009-05-08T00:00:00.000,"JUNE 7, 2009 AND JUNE 20, 2009"
2009-12-31T00:00:00.000,2009-01-13T00:00:00.000,"JANUARY 14, 2009 - DECEMBER 31, 2009"
2008-12-31T00:00:00.000,2007-12-04T00:00:00.000,"DECEMBER 4, 2007 - DECEMBER 31, 2008"
2008-05-29T00:00:00.000,2008-05-20T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2008-06-04T00:00:00.000,2008-06-02T00:00:00.000,"JUNE 3, 2008 (TUESDAY)"
2008-09-10T00:00:00.000,2008-08-27T00:00:00.000,"SEPTEMBER 9, 2008 (TUESDAY) *PRIMARY DAY ONLY *"
2008-05-29T00:00:00.000,2008-05-20T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2009-02-28T00:00:00.000,2008-12-31T00:00:00.000,"JANUARY 1, 2009 - DECEMBER 31, 2009"
2008-12-31T00:00:00.000,2008-01-28T00:00:00.000,"JANUARY 28, 2008 - DECEMBER 31, 2008"
2008-01-05T00:00:00.000,2007-12-05T00:00:00.000,"DECEMBER 05, 2007 - JANUARY 05, 2008"
2009-09-30T00:00:00.000,2009-07-30T00:00:00.000,"AUGUST 24, 2009 - SEPTEMBER 30, 2009"
2008-05-29T00:00:00.000,2008-05-16T00:00:00.000,"MAY 21, 2008 - MAY 28, 2008"
2008-03-19T00:00:00.000,2008-02-14T00:00:00.000,"MARCH 18, 2008"
