purpose,zipcode,validtimes,issuedate
FLEET WEEK,10022.0,9:30AM - 12 NOON,2008-05-16T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-01-13T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-28T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-30T00:00:00.000
NOISE MONITORING,10016.0,7 DAYS A WEEK 24 HOURS A DAY,2007-08-22T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY 7:00AM - 8:00PM,2007-10-24T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2009-10-06T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-03T00:00:00.000
PRIMARY ELECTION,10004.0,5:00AM - 10:00PM,2008-08-27T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-06T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-03T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-03T00:00:00.000
FLEET WEEK,10022.0,8:00 AM  - 10:00 PM,2008-05-20T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY 7:00AM - 8:00PM,2008-10-28T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,8:00AM - 6:00PM FRIDAY - MONDAY,2007-12-06T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-06T00:00:00.000
OFFICIAL BUSINESS,11101.0,MONDAY - FRIDAY 7:00AM - 6:00PM,2009-01-06T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-30T00:00:00.000
INFLUENZA OUTREACH VANS CARRYING MEDICAL EQUIPMENT,10007.0,MONDAY - FRIDAY  7:00AM - 8:00PM,2008-10-28T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,MONDAY - SUNDAY 7:00AM - 8:00PM,2009-10-23T00:00:00.000
OFFICAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-12-10T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY  -  SUNDAY 7:00AM - 7:00PM,2009-10-22T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00PM (SUNDAY - SATURDAY),2008-10-28T00:00:00.000
SCHOOL ENROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2008-08-21T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,24 HOURS SEVEN DAYS A WEEK,2007-12-10T00:00:00.000
SCHOOL ENROLLMENT,10007.0,MONDAY - FRIDAY (7:00AM - 7:00PM),2009-07-29T00:00:00.000
OFFICIAL CITY BUSINESS,11101.0,7 DAYS A WEEK 24 HOURS A DAY,2009-01-13T00:00:00.000
FUNDRAISER FOR NON -PROFIT,10458.0,MONDAY 12:00 NOON - 12 MIDNIGHT,2008-01-09T00:00:00.000
BREAST CANCER (MAMMOGRAMS),11231.0,SATURDAY  10:00AM - 5:00PM,2008-09-24T00:00:00.000
SCHOOL EMROLLMENT,,MONDAY - FRIDAY (7:00AM - 7:00PM),2007-08-03T00:00:00.000
OFFICIAL CITY BUSINESS DELIVERY OF SUPPLIES,10013.0,MONDAY  - SUNDAY 7:00AM - 7:00PM,2009-10-21T00:00:00.000
CAMPAIGN - TOYS FOR TOTS,11234.0,7:00AM - 10:00 PM (SUNDAY -SATURDAY),2008-10-28T00:00:00.000
OFFICIAL CITY BUSINESS,10013.0,7 DAYS A WEEK 24 HOURS A DAY,2009-03-09T00:00:00.000
