total,deny
118,91
222,183
89,71
114,79
3672,2532
5928,4051
76,61
195,141
176,127
5249,3553
2992,1740
155,117
191,140
67,58
3532,2220
5041,3051
3668,1852
4519,2547
4032,1908
3884,2718
2500,1821
5799,3661
148,116
113,68
2721,2008
138,88
3267,2044
3838,1956
4403,2479
125,91
6106,4242
96,63
98,47
3840,2562
59,52
5929,4074
83,33
233,194
3522,1472
156,109
