total,date_to,age_group_of_cash_assistance,wd,ac
118,2020-12-31T00:00:00.000,16-17 (Unduplicated),5,22
222,2023-12-31T00:00:00.000,16-17 (Unduplicated),2,37
89,2024-06-30T00:00:00.000,16-17 (All Applications),1,17
114,2021-06-30T00:00:00.000,16-17 (All Applications),5,30
3672,2024-12-31T00:00:00.000,18-20 (All Applications),32,1108
5928,2023-06-30T00:00:00.000,18-20 (All Applications),156,1721
76,2024-06-30T00:00:00.000,16-17 (Unduplicated),1,14
195,2023-06-30T00:00:00.000,16-17 (All Applications),14,40
176,2023-06-30T00:00:00.000,16-17 (Unduplicated),13,36
5249,2023-06-30T00:00:00.000,18-20 (Unduplicated),140,1556
2992,2021-06-30T00:00:00.000,18-20 (Unduplicated),73,1179
155,2021-12-31T00:00:00.000,16-17 (All Applications),7,31
191,2022-12-31T00:00:00.000,16-17 (All Applications),10,41
67,2024-12-31T00:00:00.000,16-17 (All Applications),0,9
3532,2021-06-30T00:00:00.000,18-20 (All Applications),85,1227
5041,2022-12-31T00:00:00.000,18-20 (Unduplicated),114,1876
3668,2022-06-30T00:00:00.000,18-20 (Unduplicated),97,1719
4519,2021-12-31T00:00:00.000,18-20 (All Applications),100,1872
4032,2020-06-30T00:00:00.000,18-20 (All Applications),105,2019
3884,2024-06-30T00:00:00.000,18-20 (All Applications),33,1133
2500,2024-12-31T00:00:00.000,18-20 (Unduplicated),25,654
5799,2022-12-31T00:00:00.000,18-20 (All Applications),129,2009
148,2020-12-31T00:00:00.000,16-17 (All Applications),9,23
113,2022-06-30T00:00:00.000,16-17 (Unduplicated),4,41
2721,2024-06-30T00:00:00.000,18-20 (Unduplicated),22,691
138,2022-06-30T00:00:00.000,16-17 (All Applications),4,46
3267,2020-12-31T00:00:00.000,18-20 (Unduplicated),66,1157
3838,2021-12-31T00:00:00.000,18-20 (Unduplicated),77,1805
4403,2022-06-30T00:00:00.000,18-20 (All Applications),125,1799
125,2021-12-31T00:00:00.000,16-17 (Unduplicated),6,28
6106,2023-12-31T00:00:00.000,18-20 (All Applications),56,1808
96,2021-06-30T00:00:00.000,16-17 (Unduplicated),3,30
98,2020-06-30T00:00:00.000,16-17 (All Applications),9,42
3840,2020-12-31T00:00:00.000,18-20 (All Applications),88,1190
59,2024-12-31T00:00:00.000,16-17 (Unduplicated),0,7
5929,2023-12-31T00:00:00.000,18-20 (Unduplicated),56,1799
83,2020-06-30T00:00:00.000,16-17 (Unduplicated),9,41
233,2023-12-31T00:00:00.000,16-17 (All Applications),2,37
3522,2020-06-30T00:00:00.000,18-20 (Unduplicated),90,1960
156,2022-12-31T00:00:00.000,16-17 (Unduplicated),10,37
