sub_district,total_january_2016_identified_need,number_of_seats_in_scope_design
Gravesend/Ocean Parkway,456,
Ozone Park / South Ozone Park / Richmond Hill / Woodhaven *,1096,124.0
Williamsburg / Greenpoint *,1563,
West Shore,456,
Spuyten Duyvil / Riverdale / Fieldston / North Riverdale *,456,
Throgs Neck,456,344.0
,6880,3595.0
Rego Park / Forest Hills / Kew Gardens / Jamaica *,3162,1716.0
South Jamaica / Rochdale / Kew Gardens,476,
Van Nest / Pelham Parkway,1920,548.0
Mill Basin,824,416.0
DUMBO/ Navy Yard / Fort Greene *,2777,665.0
Concourse *,456,
Howard Beach / Lindenwood,640,516.0
Dyker Heights *,4647,364.0
Tribeca / Village *,1970,1928.0
West Harlem,245,245.0
Melrose,572,
