sub_district,additional_need_unfunded,january_2016_funded_need
Upper West Side,0,692
Cypress Hills / East New York,0,1000
Carroll Gardens / Gowanus / Red Hook *,728,1464
New Dorp *,20,456
Kingsbridge / Norwood / Bedford Park *,1280,2104
Sunset Park,1613,997
Long Island City / Ravenswood *,308,1720
"Borough Park / Kensington, Bensonhurst *",1426,912
Woodlawn / Williamsbridge,572,0
Middle Village,1013,773
"Glendale, Ridgewood",476,0
University Heights,892,388
Fordham / Belmont,572,0
Tremont / West Farms *,572,912
Woodside / Sunnyside,825,725
Oakland Gardens / Fresh Meadows *,1008,456
Astoria / Steinway *,0,1000
